id,neighborhood,radius,mean_neighbor_count,median_neighbor_count,n_residues
ADI-37125,CLOSEST_SC,10.0,25.586206896551722,24.0,232
ADI-38498,CENTROID,4.0,1.2553191489361701,1.0,235
ADI-38498,CENTROID,5.0,2.5914893617021275,2.0,235
ADI-38498,CENTROID,6.0,4.702127659574468,5.0,235
ADI-38498,CENTROID,7.5,8.310638297872341,8.0,235
ADI-38498,CENTROID,8.0,9.774468085106383,10.0,235
ADI-38498,CENTROID,10.0,17.8,18.0,235
ADI-38498,CLOSEST_SC,4.0,3.4170212765957446,3.0,235
ADI-38498,CLOSEST_SC,5.0,5.851063829787234,5.0,235
ADI-38498,CLOSEST_SC,6.0,8.659574468085106,8.0,235
ADI-38498,CLOSEST_SC,7.5,13.663829787234043,13.0,235
ADI-38498,CLOSEST_SC,8.0,15.842553191489362,15.0,235
ADI-38498,CLOSEST_SC,10.0,25.893617021276597,25.0,235
ADI-38499,CENTROID,4.0,1.1746724890829694,1.0,229
ADI-38499,CENTROID,5.0,2.6244541484716155,3.0,229
ADI-38499,CENTROID,6.0,4.799126637554585,5.0,229
ADI-38499,CENTROID,7.5,8.572052401746724,8.0,229
ADI-38499,CENTROID,8.0,9.969432314410481,10.0,229
ADI-38499,CENTROID,10.0,17.978165938864628,17.0,229
ADI-38499,CLOSEST_SC,4.0,3.148471615720524,3.0,229
ADI-38499,CLOSEST_SC,5.0,5.899563318777292,5.0,229
ADI-38499,CLOSEST_SC,6.0,8.624454148471616,8.0,229
ADI-38499,CLOSEST_SC,7.5,13.497816593886462,13.0,229
ADI-38499,CLOSEST_SC,8.0,15.593886462882097,15.0,229
ADI-38499,CLOSEST_SC,10.0,25.480349344978166,25.0,229
ADI-38500,CENTROID,4.0,1.2758620689655173,1.0,232
ADI-38500,CENTROID,5.0,2.5775862068965516,2.0,232
ADI-38500,CENTROID,6.0,4.905172413793103,5.0,232
ADI-38500,CENTROID,7.5,8.689655172413794,9.0,232
ADI-38500,CENTROID,8.0,9.982758620689655,10.0,232
ADI-38500,CENTROID,10.0,18.137931034482758,18.0,232
ADI-38500,CLOSEST_SC,4.0,3.456896551724138,3.0,232
ADI-38500,CLOSEST_SC,5.0,5.836206896551724,5.0,232
ADI-38500,CLOSEST_SC,6.0,8.663793103448276,8.0,232
ADI-38500,CLOSEST_SC,7.5,13.732758620689655,13.0,232
ADI-38500,CLOSEST_SC,8.0,15.827586206896552,15.0,232
ADI-38500,CLOSEST_SC,10.0,25.862068965517242,24.5,232
ADI-38501,CENTROID,4.0,1.1850220264317182,1.0,227
ADI-38501,CENTROID,5.0,2.60352422907489,3.0,227
ADI-38501,CENTROID,6.0,4.71806167400881,5.0,227
ADI-38501,CENTROID,7.5,8.374449339207048,8.0,227
ADI-38501,CENTROID,8.0,9.731277533039648,10.0,227
ADI-38501,CENTROID,10.0,17.863436123348016,17.0,227
ADI-38501,CLOSEST_SC,4.0,3.4757709251101323,3.0,227
ADI-38501,CLOSEST_SC,5.0,5.854625550660793,5.0,227
ADI-38501,CLOSEST_SC,6.0,8.744493392070485,8.0,227
ADI-38501,CLOSEST_SC,7.5,13.722466960352422,13.0,227
ADI-38501,CLOSEST_SC,8.0,16.004405286343612,15.0,227
ADI-38501,CLOSEST_SC,10.0,25.889867841409693,25.0,227
ADI-38502,CENTROID,4.0,1.182608695652174,1.0,230
ADI-38502,CENTROID,5.0,2.5391304347826087,2.0,230
ADI-38502,CENTROID,6.0,4.678260869565217,4.5,230
ADI-38502,CENTROID,7.5,8.295652173913043,8.0,230
ADI-38502,CENTROID,8.0,9.73913043478261,10.0,230
ADI-38502,CENTROID,10.0,17.408695652173915,17.0,230
ADI-38502,CLOSEST_SC,4.0,3.408695652173913,3.0,230
ADI-38502,CLOSEST_SC,5.0,5.913043478260869,5.0,230
ADI-38502,CLOSEST_SC,6.0,8.730434782608695,8.0,230
ADI-38502,CLOSEST_SC,7.5,13.6,13.0,230
ADI-38502,CLOSEST_SC,8.0,15.704347826086957,15.0,230
ADI-38502,CLOSEST_SC,10.0,25.791304347826088,25.0,230
ADI-38503,CENTROID,4.0,1.2155172413793103,1.0,232
ADI-38503,CENTROID,5.0,2.5344827586206895,2.0,232
ADI-38503,CENTROID,6.0,4.646551724137931,5.0,232
ADI-38503,CENTROID,7.5,8.46551724137931,8.0,232
ADI-38503,CENTROID,8.0,9.827586206896552,10.0,232
ADI-38503,CENTROID,10.0,18.0,18.0,232
ADI-38503,CLOSEST_SC,4.0,3.353448275862069,3.0,232
ADI-38503,CLOSEST_SC,5.0,5.724137931034483,5.0,232
ADI-38503,CLOSEST_SC,6.0,8.689655172413794,8.0,232
ADI-38503,CLOSEST_SC,7.5,13.586206896551724,13.0,232
ADI-38503,CLOSEST_SC,8.0,15.681034482758621,15.0,232
ADI-38503,CLOSEST_SC,10.0,25.5,25.0,232
ADI-45368,CENTROID,4.0,1.1754385964912282,1.0,228
ADI-45368,CENTROID,5.0,2.491228070175439,2.0,228
ADI-45368,CENTROID,6.0,4.614035087719298,5.0,228
ADI-45368,CENTROID,7.5,8.219298245614034,8.0,228
ADI-45368,CENTROID,8.0,9.535087719298245,9.0,228
ADI-45368,CENTROID,10.0,17.535087719298247,17.0,228
ADI-45368,CLOSEST_SC,4.0,3.412280701754386,3.0,228
ADI-45368,CLOSEST_SC,5.0,5.868421052631579,5.0,228
ADI-45368,CLOSEST_SC,6.0,8.74561403508772,8.0,228
ADI-45368,CLOSEST_SC,7.5,13.692982456140351,13.0,228
ADI-45368,CLOSEST_SC,8.0,15.824561403508772,15.0,228
ADI-45368,CLOSEST_SC,10.0,25.63157894736842,25.0,228
ADI-45370,CENTROID,4.0,1.2280701754385965,1.0,228
ADI-45370,CENTROID,5.0,2.587719298245614,3.0,228
ADI-45370,CENTROID,6.0,4.7894736842105265,5.0,228
ADI-45370,CENTROID,7.5,8.385964912280702,8.0,228
ADI-45370,CENTROID,8.0,9.912280701754385,10.0,228
ADI-45370,CENTROID,10.0,17.92105263157895,18.0,228
ADI-45370,CLOSEST_SC,4.0,3.3596491228070176,3.0,228
ADI-45370,CLOSEST_SC,5.0,5.587719298245614,5.0,228
ADI-45370,CLOSEST_SC,6.0,8.543859649122806,8.0,228
ADI-45370,CLOSEST_SC,7.5,13.543859649122806,12.5,228
ADI-45370,CLOSEST_SC,8.0,15.701754385964913,15.0,228
ADI-45370,CLOSEST_SC,10.0,25.54385964912281,24.0,228
ADI-45373,CENTROID,4.0,1.182608695652174,1.0,230
ADI-45373,CENTROID,5.0,2.617391304347826,2.0,230
ADI-45373,CENTROID,6.0,4.730434782608696,5.0,230
ADI-45373,CENTROID,7.5,8.478260869565217,9.0,230
ADI-45373,CENTROID,8.0,9.860869565217392,10.0,230
ADI-45373,CENTROID,10.0,18.11304347826087,18.0,230
ADI-45373,CLOSEST_SC,4.0,3.4,3.0,230
ADI-45373,CLOSEST_SC,5.0,5.913043478260869,5.0,230
ADI-45373,CLOSEST_SC,6.0,8.678260869565218,8.0,230
ADI-45373,CLOSEST_SC,7.5,13.843478260869565,13.0,230
ADI-45373,CLOSEST_SC,8.0,16.026086956521738,15.0,230
ADI-45373,CLOSEST_SC,10.0,25.765217391304347,24.0,230
ADI-45375,CENTROID,4.0,1.1864406779661016,1.0,236
ADI-45375,CENTROID,5.0,2.6271186440677967,2.0,236
ADI-45375,CENTROID,6.0,4.796610169491525,5.0,236
ADI-45375,CENTROID,7.5,8.322033898305085,8.0,236
ADI-45375,CENTROID,8.0,9.669491525423728,10.0,236
ADI-45375,CENTROID,10.0,17.75423728813559,17.0,236
ADI-45375,CLOSEST_SC,4.0,3.483050847457627,3.0,236
ADI-45375,CLOSEST_SC,5.0,5.788135593220339,5.0,236
ADI-45375,CLOSEST_SC,6.0,8.754237288135593,8.0,236
ADI-45375,CLOSEST_SC,7.5,13.864406779661017,13.0,236
ADI-45375,CLOSEST_SC,8.0,16.008474576271187,15.0,236
ADI-45375,CLOSEST_SC,10.0,25.838983050847457,24.5,236
ADI-45378,CENTROID,4.0,1.1940928270042195,1.0,237
ADI-45378,CENTROID,5.0,2.5274261603375527,2.0,237
ADI-45378,CENTROID,6.0,4.713080168776371,5.0,237
ADI-45378,CENTROID,7.5,8.40084388185654,8.0,237
ADI-45378,CENTROID,8.0,9.751054852320674,10.0,237
ADI-45378,CENTROID,10.0,17.616033755274263,17.0,237
ADI-45378,CLOSEST_SC,4.0,3.5147679324894514,3.0,237
ADI-45378,CLOSEST_SC,5.0,5.936708860759493,5.0,237
ADI-45378,CLOSEST_SC,6.0,8.924050632911392,8.0,237
ADI-45378,CLOSEST_SC,7.5,13.90295358649789,14.0,237
ADI-45378,CLOSEST_SC,8.0,16.11392405063291,15.0,237
ADI-45378,CLOSEST_SC,10.0,25.88607594936709,25.0,237
ADI-45379,CENTROID,4.0,1.1858407079646018,1.0,226
ADI-45379,CENTROID,5.0,2.5309734513274336,2.0,226
ADI-45379,CENTROID,6.0,4.814159292035399,5.0,226
ADI-45379,CENTROID,7.5,8.274336283185841,8.0,226
ADI-45379,CENTROID,8.0,9.654867256637168,9.0,226
ADI-45379,CENTROID,10.0,17.601769911504423,17.0,226
ADI-45379,CLOSEST_SC,4.0,3.495575221238938,3.0,226
ADI-45379,CLOSEST_SC,5.0,5.84070796460177,5.0,226
ADI-45379,CLOSEST_SC,6.0,8.84070796460177,8.0,226
ADI-45379,CLOSEST_SC,7.5,13.725663716814159,13.0,226
ADI-45379,CLOSEST_SC,8.0,15.849557522123893,15.0,226
ADI-45379,CLOSEST_SC,10.0,25.690265486725664,24.5,226
ADI-45382,CENTROID,4.0,1.134453781512605,1.0,238
ADI-45382,CENTROID,5.0,2.4789915966386555,2.0,238
ADI-45382,CENTROID,6.0,4.630252100840337,5.0,238
ADI-45382,CENTROID,7.5,8.084033613445378,8.0,238
ADI-45382,CENTROID,8.0,9.487394957983193,9.0,238
ADI-45382,CENTROID,10.0,17.386554621848738,17.0,238
ADI-45382,CLOSEST_SC,4.0,3.310924369747899,3.0,238
ADI-45382,CLOSEST_SC,5.0,5.781512605042017,5.0,238
ADI-45382,CLOSEST_SC,6.0,8.529411764705882,8.0,238
ADI-45382,CLOSEST_SC,7.5,13.61344537815126,13.0,238
ADI-45382,CLOSEST_SC,8.0,15.705882352941176,15.0,238
ADI-45382,CLOSEST_SC,10.0,25.521008403361346,24.5,238
ADI-45383,CENTROID,4.0,1.205128205128205,1.0,234
ADI-45383,CENTROID,5.0,2.5555555555555554,2.0,234
ADI-45383,CENTROID,6.0,4.547008547008547,5.0,234
ADI-45383,CENTROID,7.5,8.256410256410257,8.0,234
ADI-45383,CENTROID,8.0,9.495726495726496,9.0,234
ADI-45383,CENTROID,10.0,17.581196581196583,17.0,234
ADI-45383,CLOSEST_SC,4.0,3.264957264957265,3.0,234
ADI-45383,CLOSEST_SC,5.0,5.786324786324786,5.0,234
ADI-45383,CLOSEST_SC,6.0,8.632478632478632,8.0,234
ADI-45383,CLOSEST_SC,7.5,13.581196581196581,13.0,234
ADI-45383,CLOSEST_SC,8.0,15.623931623931623,15.0,234
ADI-45383,CLOSEST_SC,10.0,25.65811965811966,24.5,234
ADI-45388,CENTROID,4.0,1.1794871794871795,1.0,234
ADI-45388,CENTROID,5.0,2.547008547008547,2.0,234
ADI-45388,CENTROID,6.0,4.888888888888889,5.0,234
ADI-45388,CENTROID,7.5,8.452991452991453,8.0,234
ADI-45388,CENTROID,8.0,9.726495726495726,10.0,234
ADI-45388,CENTROID,10.0,17.837606837606838,17.0,234
ADI-45388,CLOSEST_SC,4.0,3.41025641025641,3.0,234
ADI-45388,CLOSEST_SC,5.0,5.837606837606837,5.0,234
ADI-45388,CLOSEST_SC,6.0,8.743589743589743,8.0,234
ADI-45388,CLOSEST_SC,7.5,13.495726495726496,13.0,234
ADI-45388,CLOSEST_SC,8.0,15.658119658119658,14.0,234
ADI-45388,CLOSEST_SC,10.0,25.77777777777778,25.0,234
ADI-45389,CENTROID,4.0,1.2026431718061674,1.0,227
ADI-45389,CENTROID,5.0,2.462555066079295,2.0,227
ADI-45389,CENTROID,6.0,4.797356828193832,5.0,227
ADI-45389,CENTROID,7.5,8.506607929515418,8.0,227
ADI-45389,CENTROID,8.0,9.92511013215859,10.0,227
ADI-45389,CENTROID,10.0,17.58149779735683,17.0,227
ADI-45389,CLOSEST_SC,4.0,3.2731277533039647,3.0,227
ADI-45389,CLOSEST_SC,5.0,5.845814977973569,5.0,227
ADI-45389,CLOSEST_SC,6.0,8.638766519823788,8.0,227
ADI-45389,CLOSEST_SC,7.5,13.466960352422907,13.0,227
ADI-45389,CLOSEST_SC,8.0,15.704845814977974,15.0,227
ADI-45389,CLOSEST_SC,10.0,25.39647577092511,25.0,227
ADI-45390,CENTROID,4.0,1.1746724890829694,1.0,229
ADI-45390,CENTROID,5.0,2.589519650655022,2.0,229
ADI-45390,CENTROID,6.0,4.755458515283843,5.0,229
ADI-45390,CENTROID,7.5,8.43231441048035,8.0,229
ADI-45390,CENTROID,8.0,9.812227074235809,10.0,229
ADI-45390,CENTROID,10.0,17.646288209606986,17.0,229
ADI-45390,CLOSEST_SC,4.0,3.480349344978166,3.0,229
ADI-45390,CLOSEST_SC,5.0,5.777292576419214,5.0,229
ADI-45390,CLOSEST_SC,6.0,8.65065502183406,8.0,229
ADI-45390,CLOSEST_SC,7.5,13.602620087336245,13.0,229
ADI-45390,CLOSEST_SC,8.0,15.698689956331878,15.0,229
ADI-45390,CLOSEST_SC,10.0,25.74235807860262,25.0,229
ADI-45391,CENTROID,4.0,1.2456140350877194,1.0,228
ADI-45391,CENTROID,5.0,2.56140350877193,2.5,228
ADI-45391,CENTROID,6.0,4.7894736842105265,5.0,228
ADI-45391,CENTROID,7.5,8.508771929824562,8.5,228
ADI-45391,CENTROID,8.0,9.87719298245614,10.0,228
ADI-45391,CENTROID,10.0,17.80701754385965,18.0,228
ADI-45391,CLOSEST_SC,4.0,3.482456140350877,3.0,228
ADI-45391,CLOSEST_SC,5.0,5.912280701754386,5.0,228
ADI-45391,CLOSEST_SC,6.0,8.631578947368421,8.0,228
ADI-45391,CLOSEST_SC,7.5,13.666666666666666,13.0,228
ADI-45391,CLOSEST_SC,8.0,15.75438596491228,15.5,228
ADI-45391,CLOSEST_SC,10.0,25.640350877192983,25.0,228
ADI-45393,CENTROID,4.0,1.1904761904761905,1.0,231
ADI-45393,CENTROID,5.0,2.567099567099567,2.0,231
ADI-45393,CENTROID,6.0,4.705627705627705,5.0,231
ADI-45393,CENTROID,7.5,8.316017316017316,8.0,231
ADI-45393,CENTROID,8.0,9.562770562770563,9.0,231
ADI-45393,CENTROID,10.0,17.658008658008658,17.0,231
ADI-45393,CLOSEST_SC,4.0,3.380952380952381,3.0,231
ADI-45393,CLOSEST_SC,5.0,5.822510822510822,5.0,231
ADI-45393,CLOSEST_SC,6.0,8.636363636363637,8.0,231
ADI-45393,CLOSEST_SC,7.5,13.58874458874459,12.0,231
ADI-45393,CLOSEST_SC,8.0,15.770562770562771,14.0,231
ADI-45393,CLOSEST_SC,10.0,25.614718614718615,24.0,231
ADI-45395,CENTROID,4.0,1.173913043478261,1.0,230
ADI-45395,CENTROID,5.0,2.608695652173913,3.0,230
ADI-45395,CENTROID,6.0,4.773913043478261,5.0,230
ADI-45395,CENTROID,7.5,8.469565217391304,8.0,230
ADI-45395,CENTROID,8.0,9.8,10.0,230
ADI-45395,CENTROID,10.0,17.91304347826087,17.0,230
ADI-45395,CLOSEST_SC,4.0,3.2956521739130435,3.0,230
ADI-45395,CLOSEST_SC,5.0,5.773913043478261,5.0,230
ADI-45395,CLOSEST_SC,6.0,8.773913043478261,8.0,230
ADI-45395,CLOSEST_SC,7.5,13.773913043478261,13.0,230
ADI-45395,CLOSEST_SC,8.0,15.791304347826086,15.0,230
ADI-45395,CLOSEST_SC,10.0,25.617391304347827,24.0,230
ADI-45397,CENTROID,4.0,1.1762114537444934,1.0,227
ADI-45397,CENTROID,5.0,2.6123348017621146,2.0,227
ADI-45397,CENTROID,6.0,4.762114537444934,5.0,227
ADI-45397,CENTROID,7.5,8.45374449339207,8.0,227
ADI-45397,CENTROID,8.0,9.872246696035242,10.0,227
ADI-45397,CENTROID,10.0,18.030837004405285,17.0,227
ADI-45397,CLOSEST_SC,4.0,3.237885462555066,3.0,227
ADI-45397,CLOSEST_SC,5.0,5.722466960352423,5.0,227
ADI-45397,CLOSEST_SC,6.0,8.58590308370044,8.0,227
ADI-45397,CLOSEST_SC,7.5,13.502202643171806,13.0,227
ADI-45397,CLOSEST_SC,8.0,15.51101321585903,15.0,227
ADI-45397,CLOSEST_SC,10.0,25.449339207048457,25.0,227
ADI-45402,CENTROID,4.0,1.219409282700422,1.0,237
ADI-45402,CENTROID,5.0,2.4936708860759493,2.0,237
ADI-45402,CENTROID,6.0,4.670886075949367,5.0,237
ADI-45402,CENTROID,7.5,8.08860759493671,8.0,237
ADI-45402,CENTROID,8.0,9.632911392405063,10.0,237
ADI-45402,CENTROID,10.0,17.565400843881857,17.0,237
ADI-45402,CLOSEST_SC,4.0,3.4725738396624473,3.0,237
ADI-45402,CLOSEST_SC,5.0,5.843881856540085,5.0,237
ADI-45402,CLOSEST_SC,6.0,8.603375527426161,8.0,237
ADI-45402,CLOSEST_SC,7.5,13.50632911392405,13.0,237
ADI-45402,CLOSEST_SC,8.0,15.666666666666666,15.0,237
ADI-45402,CLOSEST_SC,10.0,25.69198312236287,25.0,237
ADI-45404,CENTROID,4.0,1.1888412017167382,1.0,233
ADI-45404,CENTROID,5.0,2.665236051502146,3.0,233
ADI-45404,CENTROID,6.0,4.639484978540772,5.0,233
ADI-45404,CENTROID,7.5,8.244635193133048,8.0,233
ADI-45404,CENTROID,8.0,9.65236051502146,9.0,233
ADI-45404,CENTROID,10.0,17.781115879828327,17.0,233
ADI-45404,CLOSEST_SC,4.0,3.4978540772532187,3.0,233
ADI-45404,CLOSEST_SC,5.0,5.789699570815451,5.0,233
ADI-45404,CLOSEST_SC,6.0,8.793991416309012,8.0,233
ADI-45404,CLOSEST_SC,7.5,13.815450643776824,13.0,233
ADI-45404,CLOSEST_SC,8.0,16.012875536480685,15.0,233
ADI-45404,CLOSEST_SC,10.0,25.738197424892704,25.0,233
ADI-45405,CENTROID,4.0,1.2164502164502164,1.0,231
ADI-45405,CENTROID,5.0,2.5324675324675323,2.0,231
ADI-45405,CENTROID,6.0,4.584415584415584,4.0,231
ADI-45405,CENTROID,7.5,8.385281385281385,8.0,231
ADI-45405,CENTROID,8.0,9.779220779220779,10.0,231
ADI-45405,CENTROID,10.0,17.58874458874459,17.0,231
ADI-45405,CLOSEST_SC,4.0,3.311688311688312,3.0,231
ADI-45405,CLOSEST_SC,5.0,5.597402597402597,5.0,231
ADI-45405,CLOSEST_SC,6.0,8.541125541125542,8.0,231
ADI-45405,CLOSEST_SC,7.5,13.597402597402597,13.0,231
ADI-45405,CLOSEST_SC,8.0,15.554112554112555,15.0,231
ADI-45405,CLOSEST_SC,10.0,25.493506493506494,25.0,231
ADI-45406,CENTROID,4.0,1.1746724890829694,1.0,229
ADI-45406,CENTROID,5.0,2.537117903930131,2.0,229
ADI-45406,CENTROID,6.0,4.764192139737991,5.0,229
ADI-45406,CENTROID,7.5,8.414847161572052,8.0,229
ADI-45406,CENTROID,8.0,9.698689956331878,10.0,229
ADI-45406,CENTROID,10.0,17.655021834061134,17.0,229
ADI-45406,CLOSEST_SC,4.0,3.3056768558951966,3.0,229
ADI-45406,CLOSEST_SC,5.0,5.759825327510917,5.0,229
ADI-45406,CLOSEST_SC,6.0,8.65065502183406,8.0,229
ADI-45406,CLOSEST_SC,7.5,13.68995633187773,13.0,229
ADI-45406,CLOSEST_SC,8.0,15.820960698689957,14.0,229
ADI-45406,CLOSEST_SC,10.0,25.445414847161572,24.0,229
ADI-45407,CENTROID,4.0,1.2127659574468086,1.0,235
ADI-45407,CENTROID,5.0,2.6425531914893616,3.0,235
ADI-45407,CENTROID,6.0,4.889361702127659,5.0,235
ADI-45407,CENTROID,7.5,8.540425531914893,8.0,235
ADI-45407,CENTROID,8.0,10.004255319148935,10.0,235
ADI-45407,CENTROID,10.0,18.22553191489362,17.0,235
ADI-45407,CLOSEST_SC,4.0,3.425531914893617,3.0,235
ADI-45407,CLOSEST_SC,5.0,5.68936170212766,5.0,235
ADI-45407,CLOSEST_SC,6.0,8.565957446808511,8.0,235
ADI-45407,CLOSEST_SC,7.5,13.561702127659574,13.0,235
ADI-45407,CLOSEST_SC,8.0,15.782978723404256,15.0,235
ADI-45407,CLOSEST_SC,10.0,25.76595744680851,25.0,235
ADI-45408,CENTROID,4.0,1.25,1.0,232
ADI-45408,CENTROID,5.0,2.5344827586206895,2.0,232
ADI-45408,CENTROID,6.0,4.862068965517241,5.0,232
ADI-45408,CENTROID,7.5,8.431034482758621,8.0,232
ADI-45408,CENTROID,8.0,9.913793103448276,10.0,232
ADI-45408,CENTROID,10.0,17.71551724137931,17.0,232
ADI-45408,CLOSEST_SC,4.0,3.5517241379310347,3.0,232
ADI-45408,CLOSEST_SC,5.0,5.853448275862069,5.0,232
ADI-45408,CLOSEST_SC,6.0,8.71551724137931,8.0,232
ADI-45408,CLOSEST_SC,7.5,13.46551724137931,13.0,232
ADI-45408,CLOSEST_SC,8.0,15.706896551724139,15.0,232
ADI-45408,CLOSEST_SC,10.0,25.655172413793103,25.0,232
ADI-45409,CENTROID,4.0,1.1965811965811965,1.0,234
ADI-45409,CENTROID,5.0,2.547008547008547,2.0,234
ADI-45409,CENTROID,6.0,4.829059829059829,5.0,234
ADI-45409,CENTROID,7.5,8.512820512820513,8.0,234
ADI-45409,CENTROID,8.0,9.837606837606838,10.0,234
ADI-45409,CENTROID,10.0,17.94017094017094,17.0,234
ADI-45409,CLOSEST_SC,4.0,3.4444444444444446,3.0,234
ADI-45409,CLOSEST_SC,5.0,5.794871794871795,5.0,234
ADI-45409,CLOSEST_SC,6.0,8.675213675213675,8.0,234
ADI-45409,CLOSEST_SC,7.5,13.444444444444445,13.0,234
ADI-45409,CLOSEST_SC,8.0,15.649572649572649,15.0,234
ADI-45409,CLOSEST_SC,10.0,25.76923076923077,24.5,234
ADI-45410,CENTROID,4.0,1.2042553191489362,1.0,235
ADI-45410,CENTROID,5.0,2.5829787234042554,2.0,235
ADI-45410,CENTROID,6.0,4.642553191489362,5.0,235
ADI-45410,CENTROID,7.5,8.34468085106383,8.0,235
ADI-45410,CENTROID,8.0,9.570212765957447,10.0,235
ADI-45410,CENTROID,10.0,17.77446808510638,17.0,235
ADI-45410,CLOSEST_SC,4.0,3.3659574468085105,3.0,235
ADI-45410,CLOSEST_SC,5.0,5.859574468085106,5.0,235
ADI-45410,CLOSEST_SC,6.0,8.574468085106384,8.0,235
ADI-45410,CLOSEST_SC,7.5,13.578723404255319,13.0,235
ADI-45410,CLOSEST_SC,8.0,15.825531914893617,15.0,235
ADI-45410,CLOSEST_SC,10.0,25.54468085106383,25.0,235
ADI-45411,CENTROID,4.0,1.2202643171806167,1.0,227
ADI-45411,CENTROID,5.0,2.488986784140969,2.0,227
ADI-45411,CENTROID,6.0,4.726872246696035,5.0,227
ADI-45411,CENTROID,7.5,8.383259911894273,8.0,227
ADI-45411,CENTROID,8.0,9.722466960352422,10.0,227
ADI-45411,CENTROID,10.0,17.58149779735683,17.0,227
ADI-45411,CLOSEST_SC,4.0,3.555066079295154,3.0,227
ADI-45411,CLOSEST_SC,5.0,5.81057268722467,5.0,227
ADI-45411,CLOSEST_SC,6.0,8.62114537444934,8.0,227
ADI-45411,CLOSEST_SC,7.5,13.555066079295154,13.0,227
ADI-45411,CLOSEST_SC,8.0,15.79295154185022,15.0,227
ADI-45411,CLOSEST_SC,10.0,25.599118942731277,25.0,227
ADI-45422,CENTROID,4.0,1.147186147186147,1.0,231
ADI-45422,CENTROID,5.0,2.6103896103896105,3.0,231
ADI-45422,CENTROID,6.0,4.774891774891775,5.0,231
ADI-45422,CENTROID,7.5,8.497835497835498,8.0,231
ADI-45422,CENTROID,8.0,9.7012987012987,10.0,231
ADI-45422,CENTROID,10.0,17.761904761904763,17.0,231
ADI-45422,CLOSEST_SC,4.0,3.4675324675324677,3.0,231
ADI-45422,CLOSEST_SC,5.0,5.891774891774892,5.0,231
ADI-45422,CLOSEST_SC,6.0,8.714285714285714,8.0,231
ADI-45422,CLOSEST_SC,7.5,13.632034632034632,13.0,231
ADI-45422,CLOSEST_SC,8.0,15.813852813852813,15.0,231
ADI-45422,CLOSEST_SC,10.0,25.865800865800868,24.0,231
ADI-45425,CENTROID,4.0,1.2025316455696202,1.0,237
ADI-45425,CENTROID,5.0,2.6371308016877637,2.0,237
ADI-45425,CENTROID,6.0,4.780590717299578,5.0,237
ADI-45425,CENTROID,7.5,8.40084388185654,8.0,237
ADI-45425,CENTROID,8.0,9.717299578059071,10.0,237
ADI-45425,CENTROID,10.0,17.91983122362869,17.0,237
ADI-45425,CLOSEST_SC,4.0,3.5063291139240507,3.0,237
ADI-45425,CLOSEST_SC,5.0,5.8354430379746836,5.0,237
ADI-45425,CLOSEST_SC,6.0,8.721518987341772,8.0,237
ADI-45425,CLOSEST_SC,7.5,13.717299578059071,13.0,237
ADI-45425,CLOSEST_SC,8.0,15.936708860759493,15.0,237
ADI-45425,CLOSEST_SC,10.0,25.70886075949367,25.0,237
ADI-45428,CENTROID,4.0,1.2,1.0,240
