id,sequence,label,psr_score,b_cell_subset,source
ADI-47258,WAS,0,0.3093158886759509,IgG memory,shehata2019
ADI-46677,AAS,0,0.0,IgG memory,shehata2019
ADI-45491,WAS,0,0.1376458831153558,IgG memory,shehata2019
ADI-47313,KAS,0,0.0,IgG memory,shehata2019
ADI-45373,GAS,0,0.0,IgG memory,shehata2019
ADI-47132,GAA,0,0.076218251658723,IgG memory,shehata2019
ADI-47237,EVI,0,0.0,IgG memory,shehata2019
ADI-47238,LGS,0,0.0890293347238142,IgG memory,shehata2019
ADI-47135,EDD,0,0.0,IgG memory,shehata2019
ADI-47243,DAS,0,0.0,IgG memory,shehata2019
ADI-45375,RND,0,0.0,IgG memory,shehata2019
ADI-47244,GAF,0,0.0057989175668546,IgG memory,shehata2019
ADI-47247,GAS,0,0.0526186295551947,IgG memory,shehata2019
ADI-47140,KVS,0,0.0,IgG memory,shehata2019
ADI-47317,EVS,0,0.2062584454933397,IgG memory,shehata2019
ADI-45448,DVT,0,0.0,IgG memory,shehata2019
ADI-47143,AAF,0,0.0,IgG memory,shehata2019
ADI-45382,DAS,0,0.0,IgG memory,shehata2019
ADI-47253,AAS,0,0.2369622298171949,IgG memory,shehata2019
ADI-47256,EGS,0,0.1295836385874788,IgG memory,shehata2019
ADI-47166,DNT,0,0.0,IgG memory,shehata2019
ADI-45428,EVS,0,0.1084065458206572,IgG memory,shehata2019
ADI-47149,LGY,0,0.0,IgG memory,shehata2019
ADI-47151,SNN,0,0.0,IgG memory,shehata2019
ADI-47152,STS,0,0.0,IgG memory,shehata2019
ADI-47259,LGS,0,0.0,IgG memory,shehata2019
ADI-47260,TAS,0,0.0,IgG memory,shehata2019
ADI-47261,DAS,0,0.0,IgG memory,shehata2019
ADI-47155,AAS,0,0.0,IgG memory,shehata2019
ADI-47153,DVS,0,0.0,IgG memory,shehata2019
ADI-47158,DAS,0,0.0021826123100923,IgG memory,shehata2019
ADI-45438,GVS,0,0.0,IgG memory,shehata2019
ADI-47161,LGS,0,0.0162677823196167,IgG memory,shehata2019
ADI-47266,RNN,0,0.0235080968428092,IgG memory,shehata2019
ADI-45418,GAF,0,0.0197215401691421,IgG memory,shehata2019
ADI-45446,DVN,0,0.0,IgG memory,shehata2019
ADI-45420,DVS,0,0.0695663768197178,IgG memory,shehata2019
ADI-45413,KDT,0,0.0069921809081575,IgG memory,shehata2019
ADI-46679,SNN,0,0.0,IgG memory,shehata2019
ADI-46680,GNS,0,0.031272848128049,IgG memory,shehata2019
ADI-47319,GTS,0,0.0,IgG memory,shehata2019
ADI-45432,WAS,0,0.2222412413051792,IgG memory,shehata2019
ADI-45377,GAS,0,0.0,IgG memory,shehata2019
ADI-46683,GAS,0,0.0,IgG memory,shehata2019
ADI-47270,DND,0,0.0,IgG memory,shehata2019
ADI-47321,GAS,0,0.0707195109367576,IgG memory,shehata2019
ADI-47167,GAS,0,0.035748541243449,IgG memory,shehata2019
ADI-45437,GAS,0,0.0,IgG memory,shehata2019
ADI-45416,MAS,0,0.0611535973458628,IgG memory,shehata2019
ADI-46676,QDA,0,0.0,IgG memory,shehata2019
ADI-45445,WAS,0,0.0,IgG memory,shehata2019
ADI-47170,EVS,0,0.0097091249378542,IgG memory,shehata2019
ADI-45444,LNSDGSH,0,0.0135832945188422,IgG memory,shehata2019
ADI-47269,ENN,0,0.0,IgG memory,shehata2019
ADI-38498,DDS,0,0.0163371957366757,IgM memory,shehata2019
ADI-38500,GNT,0,0.0,IgM memory,shehata2019
ADI-38499,VNS,0,0.0,IgM memory,shehata2019
ADI-45397,TNN,0,0.0,IgM memory,shehata2019
ADI-45456,KTS,0,0.0016772990783864,IgM memory,shehata2019
ADI-45455,GAS,0,0.0,IgM memory,shehata2019
ADI-45450,GAS,0,0.0,IgM memory,shehata2019
ADI-45465,LNSDGSH,0,0.003403485477614,IgM memory,shehata2019
ADI-45464,AAS,0,0.0,IgM memory,shehata2019
ADI-46692,AAS,0,0.0,IgM memory,shehata2019
ADI-45390,DVS,0,0.0,IgM memory,shehata2019
ADI-45395,GAS,0,0.0,IgM memory,shehata2019
ADI-46690,KAS,0,0.0,IgM memory,shehata2019
ADI-45393,GAS,0,0.0,IgM memory,shehata2019
ADI-46685,DAS,0,0.0,IgM memory,shehata2019
ADI-45460,EVS,0,0.0,IgM memory,shehata2019
ADI-45389,STN,0,0.0070083897155399,IgM memory,shehata2019
ADI-46689,DAS,0,0.0,IgM memory,shehata2019
ADI-45459,EVN,0,0.0,IgM memory,shehata2019
ADI-45463,GNS,0,0.0273541395772481,IgM memory,shehata2019
ADI-45470,EVS,0,0.0015461836796813,IgM memory,shehata2019
ADI-47295,DND,0,0.0,IgM memory,shehata2019
ADI-45452,AAS,0,0.0,IgM memory,shehata2019
ADI-45454,WAS,0,0.0,IgM memory,shehata2019
ADI-45388,WGS,0,0.0,IgM memory,shehata2019
ADI-47205,SAS,0,0.0,IgM memory,shehata2019
ADI-46695,AAS,0,0.0,IgM memory,shehata2019
ADI-46684,GAS,0,0.0,IgM memory,shehata2019
ADI-47213,DVN,0,0.0,IgM memory,shehata2019
ADI-46696,DDS,0,0.0,IgM memory,shehata2019
ADI-46697,LGS,0,0.0,IgM memory,shehata2019
ADI-47104,ETS,0,0.009711509637982,IgM memory,shehata2019
ADI-47219,WAS,0,0.0,IgM memory,shehata2019
ADI-45391,STN,0,0.0,IgM memory,shehata2019
ADI-45461,LGS,0,0.0,IgM memory,shehata2019
ADI-47116,WAS,0,0.0,IgM memory,shehata2019
ADI-47309,AAS,0,0.0,IgM memory,shehata2019
ADI-45453,AAS,0,0.0,IgM memory,shehata2019
ADI-46693,GAS,0,0.0,IgM memory,shehata2019
ADI-47233,DAS,0,0.0,IgM memory,shehata2019
ADI-47137,DAV,0,0.0,IgM memory,shehata2019
ADI-45383,DAS,0,0.0,IgM memory,shehata2019
ADI-45469,EVS,0,0.0,IgM memory,shehata2019
ADI-45422,GAS,0,0.0,IgM memory,shehata2019
ADI-45485,EVN,0,0.0046199789393404,IgM memory,shehata2019
ADI-45495,DVN,0,0.1513497284919668,IgM memory,shehata2019
ADI-46691,GAS,0,0.0,IgM memory,shehata2019
ADI-45425,DNN,0,0.0063540117880379,IgM memory,shehata2019
ADI-45451,WAS,0,0.0,IgM memory,shehata2019
ADI-45499,GAS,1,0.7102380771184466,IgM memory,shehata2019
ADI-45497,AAS,0,0.2128699307678428,IgM memory,shehata2019
ADI-46698,GAS,0,0.0,IgM memory,shehata2019
ADI-46694,KAS,0,0.0,IgM memory,shehata2019
ADI-47185,QDI,0,0.0,IgM memory,shehata2019
ADI-45467,DAS,0,0.0,IgM memory,shehata2019
ADI-47086,SND,0,0.0,IgM memory,shehata2019
ADI-45466,AAT,0,0.0,IgM memory,shehata2019
ADI-47273,KAS,0,0.2638420452856294,IgM memory,shehata2019
ADI-47169,AAS,0,0.0,IgM memory,shehata2019
ADI-45384,DVS,0,0.0194122025557616,IgM memory,shehata2019
ADI-46709,EGS,0,0.1013232811742947,IgM memory,shehata2019
ADI-47318,WAS,0,0.1461556217485341,IgM memory,shehata2019
ADI-46686,EVS,0,0.0,IgM memory,shehata2019
ADI-45419,SNN,0,0.0100263091313634,IgM memory,shehata2019
ADI-45487,GAS,0,0.2486898582610438,IgM memory,shehata2019
ADI-37123,AAS,0,0.0,LLPCs,shehata2019
ADI-37125,GAS,0,0.0,LLPCs,shehata2019
ADI-38503,EVN,0,0.0059731572321558,LLPCs,shehata2019
ADI-47223,GAS,0,0.0,LLPCs,shehata2019
ADI-37124,HDD,0,0.0,LLPCs,shehata2019
ADI-37121,LGS,0,0.0,LLPCs,shehata2019
ADI-47176,GAS,0,0.0,LLPCs,shehata2019
ADI-47061,YDS,0,0.0082721830296269,LLPCs,shehata2019
ADI-45402,WAS,0,0.0,LLPCs,shehata2019
ADI-46701,DAS,0,0.0,LLPCs,shehata2019
ADI-47286,KAS,0,0.0,LLPCs,shehata2019
ADI-47065,WAS,0,0.0,LLPCs,shehata2019
ADI-47287,GSS,0,0.1124592255368346,LLPCs,shehata2019
ADI-47071,AAS,0,0.0,LLPCs,shehata2019
ADI-47072,WAS,0,0.0045593595324976,LLPCs,shehata2019
ADI-45472,DDS,0,0.0,LLPCs,shehata2019
ADI-47075,RAS,0,0.0,LLPCs,shehata2019
ADI-47288,SAS,0,0.0,LLPCs,shehata2019
ADI-45404,LGF,0,0.0,LLPCs,shehata2019
ADI-47076,AAS,0,0.0,LLPCs,shehata2019
ADI-47189,WAS,0,0.0,LLPCs,shehata2019
ADI-47078,DSS,0,0.0,LLPCs,shehata2019
ADI-47190,KVS,0,0.1056989498582899,LLPCs,shehata2019
ADI-47081,DAS,0,0.0,LLPCs,shehata2019
ADI-47194,GAS,0,0.0,LLPCs,shehata2019
ADI-47193,DAS,0,0.0,LLPCs,shehata2019
ADI-47291,AAS,0,0.0,LLPCs,shehata2019
ADI-47082,LAS,0,0.0,LLPCs,shehata2019
ADI-47197,WAS,0,0.1288441175820064,LLPCs,shehata2019
ADI-47085,AAT,0,0.0,LLPCs,shehata2019
ADI-47084,DAS,0,0.0,LLPCs,shehata2019
ADI-47087,DAS,0,0.0,LLPCs,shehata2019
ADI-47292,DTF,0,0.0,LLPCs,shehata2019
ADI-47200,AAS,0,0.0,LLPCs,shehata2019
ADI-47089,DDS,0,0.0,LLPCs,shehata2019
ADI-47090,DNY,0,0.244954239566193,LLPCs,shehata2019
ADI-47202,GAS,0,0.0047482893295442,LLPCs,shehata2019
ADI-47203,KVS,0,0.0038756729862299,LLPCs,shehata2019
ADI-47294,KVS,0,0.0,LLPCs,shehata2019
ADI-47091,LAS,0,0.0,LLPCs,shehata2019
ADI-47296,AAS,0,0.1029922251565445,LLPCs,shehata2019
ADI-47092,DND,0,0.0130373424340691,LLPCs,shehata2019
ADI-47206,SGS,0,0.003633151704731,LLPCs,shehata2019
ADI-47094,DAS,0,0.0,LLPCs,shehata2019
ADI-47207,WAS,0,0.0,LLPCs,shehata2019
ADI-47208,EAS,0,0.0,LLPCs,shehata2019
ADI-47095,WAS,0,0.0855176453362944,LLPCs,shehata2019
ADI-47096,LAS,0,0.0,LLPCs,shehata2019
ADI-47097,GGS,0,0.0,LLPCs,shehata2019
ADI-47298,STS,0,0.0,LLPCs,shehata2019
ADI-47299,KVS,0,0.1283716139783214,LLPCs,shehata2019
ADI-47098,DDA,0,0.0069276181594349,LLPCs,shehata2019
ADI-47212,AAS,0,0.0,LLPCs,shehata2019
ADI-47214,AAS,0,0.0,LLPCs,shehata2019
ADI-47102,ETS,0,0.0,LLPCs,shehata2019
ADI-47103,LGS,0,0.0,LLPCs,shehata2019
ADI-47107,KVS,0,0.0,LLPCs,shehata2019
ADI-47220,KAS,0,0.0,LLPCs,shehata2019
ADI-47111,WAS,0,0.0,LLPCs,shehata2019
ADI-47303,GTS,0,0.2013956365348482,LLPCs,shehata2019
ADI-47221,RAF,0,0.0,LLPCs,shehata2019
ADI-47222,DTS,0,0.0,LLPCs,shehata2019
ADI-47305,GAS,0,0.0837458015830105,LLPCs,shehata2019
ADI-47114,WAS,0,0.0,LLPCs,shehata2019
ADI-47226,AAS,0,0.0,LLPCs,shehata2019
ADI-47227,WAS,0,0.0363324138596753,LLPCs,shehata2019
ADI-47118,SAS,0,0.0,LLPCs,shehata2019
ADI-47306,GAS,0,0.0,LLPCs,shehata2019
ADI-47267,KAS,0,0.0,LLPCs,shehata2019
ADI-47307,KAS,0,0.0,LLPCs,shehata2019
ADI-47228,WAS,0,0.0,LLPCs,shehata2019
ADI-47310,GAS,0,0.0,LLPCs,shehata2019
ADI-47229,GAS,0,0.0,LLPCs,shehata2019
ADI-47230,AAS,0,0.0,LLPCs,shehata2019
ADI-47124,DDY,0,0.1058643372594724,LLPCs,shehata2019
ADI-47125,GAS,0,0.0,LLPCs,shehata2019
ADI-47127,KVS,0,0.0,LLPCs,shehata2019
ADI-47234,DAS,0,0.0,LLPCs,shehata2019
ADI-47312,VAS,0,0.0117080816482264,LLPCs,shehata2019
ADI-47236,DAY,0,0.0,LLPCs,shehata2019
ADI-47249,GAS,0,0.0,LLPCs,shehata2019
ADI-47129,DAS,0,0.017148287733659,LLPCs,shehata2019
ADI-47131,RTS,0,0.0,LLPCs,shehata2019
ADI-47246,ATS,0,0.2041337102462897,LLPCs,shehata2019
ADI-47133,GAS,0,0.0,LLPCs,shehata2019
ADI-47134,WAS,0,0.1898560955738424,LLPCs,shehata2019
ADI-47316,NTD,0,0.0859512164424335,LLPCs,shehata2019
ADI-47239,KAS,0,0.0,LLPCs,shehata2019
ADI-47240,GAS,0,0.1591987598783779,LLPCs,shehata2019
ADI-47241,DAF,0,0.0,LLPCs,shehata2019
ADI-47139,DVS,0,0.0086860863726581,LLPCs,shehata2019
ADI-47181,DAS,0,0.0,LLPCs,shehata2019
ADI-47248,KAS,0,0.0,LLPCs,shehata2019
ADI-47141,KAS,0,0.0,LLPCs,shehata2019
ADI-47250,GAS,0,0.0,LLPCs,shehata2019
ADI-47251,DVS,0,0.0,LLPCs,shehata2019
ADI-47252,TAP,0,0.0,LLPCs,shehata2019
ADI-47145,WAS,0,0.0,LLPCs,shehata2019
ADI-47254,SAT,0,0.10427481973656,LLPCs,shehata2019
ADI-47146,GAS,0,0.0,LLPCs,shehata2019
ADI-47147,RVS,0,0.0,LLPCs,shehata2019
ADI-45489,LGS,0,0.1133003218271335,LLPCs,shehata2019
ADI-47165,DAF,0,0.0,LLPCs,shehata2019
ADI-47148,AAS,0,0.0,LLPCs,shehata2019
ADI-47159,GAS,0,0.0,LLPCs,shehata2019
ADI-47156,VNSDGSH,0,0.0,LLPCs,shehata2019
ADI-47154,SAS,0,0.0,LLPCs,shehata2019
ADI-47263,DAY,0,0.1386930964636857,LLPCs,shehata2019
ADI-47160,EVT,0,0.0309499712047133,LLPCs,shehata2019
ADI-47265,GAS,1,0.4878169409491567,LLPCs,shehata2019
ADI-47163,GAS,0,0.0314311523446121,LLPCs,shehata2019
ADI-47126,GAS,0,0.0,LLPCs,shehata2019
ADI-47168,DAS,0,0.0,LLPCs,shehata2019
ADI-47323,AAS,0,0.1147128423098872,LLPCs,shehata2019
ADI-47276,KAS,1,0.5670425356300807,LLPCs,shehata2019
ADI-47322,AAS,0,0.0176562000907523,LLPCs,shehata2019
ADI-47268,AAS,0,0.0,LLPCs,shehata2019
ADI-37126,GAS,0,0.0,LLPCs,shehata2019
ADI-47275,WAS,1,0.4180418995872287,LLPCs,shehata2019
ADI-47080,EDR,0,0.0,LLPCs,shehata2019
ADI-47088,DDD,0,0.0,LLPCs,shehata2019
ADI-47210,GNH,0,0.0,LLPCs,shehata2019
ADI-47211,ARN,0,0.1116914074605342,LLPCs,shehata2019
ADI-47101,KDS,0,0.0,LLPCs,shehata2019
ADI-47108,EDT,0,0.0,LLPCs,shehata2019
ADI-47110,EVN,0,0.0,LLPCs,shehata2019
ADI-47115,DAS,0,0.0,LLPCs,shehata2019
ADI-47128,EDN,0,0.0080690087995322,LLPCs,shehata2019
ADI-47314,DVS,0,0.0418465863205134,LLPCs,shehata2019
ADI-47315,DVT,0,0.1320204245221387,LLPCs,shehata2019
ADI-47242,EVS,0,0.0223626458220238,LLPCs,shehata2019
ADI-47136,DVT,0,0.0,LLPCs,shehata2019
ADI-47138,DVN,0,0.0,LLPCs,shehata2019
ADI-47142,EDS,0,0.0,LLPCs,shehata2019
ADI-47144,DNN,0,0.0,LLPCs,shehata2019
ADI-47157,AAS,0,0.0,LLPCs,shehata2019
ADI-47150,GNT,0,0.0,LLPCs,shehata2019
ADI-47164,DVN,0,0.0,LLPCs,shehata2019
ADI-47171,DAS,0,0.0940763965764926,LLPCs,shehata2019
ADI-47272,DAS,0,0.0794021855718404,LLPCs,shehata2019
ADI-47325,GTS,0,0.11,LLPCs,shehata2019
ADI-47274,DVS,0,0.1139251549795599,LLPCs,shehata2019
ADI-47172,KAS,0,0.03,LLPCs,shehata2019
ADI-45411,EDN,0,0.0,Naïve,shehata2019
ADI-45488,GAS,0,0.0669375843757492,Naïve,shehata2019
ADI-45478,YDS,0,0.0,Naïve,shehata2019
ADI-47285,AAS,0,0.1086429658720111,Naïve,shehata2019
ADI-46713,GAS,0,0.190104290461843,Naïve,shehata2019
ADI-46708,AAS,0,0.0,Naïve,shehata2019
ADI-45406,GAS,0,0.0,Naïve,shehata2019
ADI-46704,GAS,0,0.0,Naïve,shehata2019
ADI-46706,DAS,0,0.0,Naïve,shehata2019
ADI-45430,WAS,0,0.2608664213159722,Naïve,shehata2019
ADI-45409,DAS,0,0.0,Naïve,shehata2019
ADI-45405,EVS,0,0.0,Naïve,shehata2019
ADI-47188,YYSDSDK,0,0.0,Naïve,shehata2019
ADI-45408,WAS,0,0.0,Naïve,shehata2019
ADI-45479,AAS,0,0.0,Naïve,shehata2019
ADI-45407,ENN,0,0.0,Naïve,shehata2019
ADI-47218,AAS,0,0.0,Naïve,shehata2019
ADI-45476,DNN,0,0.0,Naïve,shehata2019
ADI-45480,AAS,0,0.0,Naïve,shehata2019
ADI-45481,YDS,0,0.0,Naïve,shehata2019
ADI-47117,AAS,0,0.0,Naïve,shehata2019
ADI-47120,SNN,0,0.0,Naïve,shehata2019
ADI-46705,AAS,0,0.0,Naïve,shehata2019
ADI-47235,EVS,0,0.0,Naïve,shehata2019
ADI-47130,DVS,0,0.0,Naïve,shehata2019
ADI-47255,AAS,0,0.0,Naïve,shehata2019
ADI-46707,GAS,0,0.0,Naïve,shehata2019
ADI-47257,DNN,0,0.0,Naïve,shehata2019
ADI-45477,LGS,0,0.0,Naïve,shehata2019
ADI-45493,WAS,0,0.1380624778527795,Naïve,shehata2019
ADI-47262,AAS,0,0.0,Naïve,shehata2019
ADI-45410,GAS,0,0.0,Naïve,shehata2019
ADI-47264,DVS,0,0.1823048826773842,Naïve,shehata2019
ADI-47162,GNS,0,0.0,Naïve,shehata2019
ADI-45435,WAS,1,0.4571773287043954,Naïve,shehata2019
ADI-45433,LGS,1,0.3645644966771303,Naïve,shehata2019
ADI-45498,DNN,1,0.71069495966422,Naïve,shehata2019
ADI-45486,EVS,0,0.0461948765785336,Naïve,shehata2019
ADI-45412,AAS,0,0.0,Naïve,shehata2019
ADI-47245,SNN,0,0.0,Naïve,shehata2019
ADI-45475,GAS,0,0.0,Naïve,shehata2019
ADI-47271,AAS,0,0.0718937144770553,Naïve,shehata2019
ADI-47324,GAS,0,0.1247124104560291,Naïve,shehata2019
ADI-46712,KVS,0,0.1274854468585371,Naïve,shehata2019
