feature,family,molecular_scope,region,condition_source,mathematical_definition,units,normalization,notes
DELTA_GEOM__K_CDR_q90,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_HCDR3_median,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_chi1_mean,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_chi1_median,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_GEOM__K_chi1_q90,DELTA_GEOM,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,B_minus_A,"feat(B) − feat(A) on shared VAR_COLS; A=isolated Fv FeNNix-v2, B=Fab-geom Fv R1",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_all_bb_mean,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_all_bb_median,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_all_bb_q90,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_all_bb_iqr,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_all_bb_frac_neg,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_FW_mean,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_FW_median,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_FW_q90,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_CDR_mean,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_CDR_median,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_CDR_q90,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_HCDR3_mean,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_HCDR3_median,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_HCDR3_q90,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_chi1_mean,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_chi1_median,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
DELTA_ENV__K_chi1_q90,DELTA_ENV,Fab_reconstructed (VH+CH1 / VL+CL),variable_Fv,C_minus_M,"feat(C_var) − feat(M_var); same Fv coords with/without constant-domain environment (M=matched Fv from C, no re-relax)",FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_mean,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_median,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_q10,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_q90,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_iqr,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_frac_neg,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_n,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_mean,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_median,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_q10,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_q90,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_iqr,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_frac_neg,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CL_n,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_mean,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_median,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_q10,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_q90,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_iqr,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_frac_neg,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CH1_CL_n,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CONST_mean_median,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_CONST_diff_median,CONSTANT,Fab_reconstructed (VH+CH1 / VL+CL),constant_domains_and_CH1_CL_prefix_overlap,C,CH1/CL region-site curvature aggregates (+ CONST mean/diff of medians). Note: frozen startswith also pulls K_CH1_CL_* into CONSTANT,FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_mean,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_median,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_q10,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_q90,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_iqr,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_frac_neg,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VH_CH1_n,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_mean,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_median,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
K_VL_CL_q10,INTERFACE,Fab_reconstructed (VH+CH1 / VL+CL),domain_interfaces,C,Region-site curvature aggregates on VH–CH1 / VL–CL / CH1–CL interface sites (condition C),FeNNix local curvature / K aggregates (protocol-defined; not absolute energy Δ across different atom counts),none beyond site-level aggregates in extraction,target_used=NO; A/B/C/M per FENNIX_FAB_CONTEXT_SPEC
