id,role,sequence_group,HIC,TmApp
ADI-46684,Train,87,9.037,69.0
ADI-47213,Train,42,9.081,71.0
ADI-46696,Private,96,9.085,73.5
ADI-46697,Train,53,9.095,65.0
ADI-47104,Public,97,9.124,74.5
ADI-47219,Train,28,9.144,75.0
ADI-45391,Train,90,9.153,68.5
ADI-45461,Train,53,9.202,68.5
ADI-47116,Private,47,9.246,70.0
ADI-47309,Train,24,9.284,74.0
ADI-45453,Train,98,9.357,61.5
ADI-46693,Private,47,9.357,74.5
ADI-47233,Train,9,9.367,69.5
ADI-47137,Public,99,9.687,74.0
ADI-45383,Private,75,9.712,73.5
ADI-45469,Private,7,9.998,72.5
ADI-45422,Train,87,10.143,72.0
ADI-45485,Private,7,10.211,70.5
ADI-45495,Train,42,10.381,73.5
ADI-46691,Public,31,10.687,68.5
ADI-45425,Train,100,11.09,74.0
ADI-45451,Train,28,11.138,69.0
ADI-45499,Train,87,12.216,68.5
ADI-45497,Train,24,12.74,71.0
ADI-37123,Train,101,8.566,69.0
ADI-37125,Private,47,8.867,68.5
ADI-38503,Private,7,8.93,63.0
ADI-47223,Train,102,9.202,67.5
ADI-37124,Public,103,9.653,66.5
ADI-47176,Train,104,8.697,72.5
ADI-47061,Train,105,8.731,66.0
ADI-45402,Train,106,8.736,68.5
ADI-46701,Private,107,8.76,77.5
ADI-47286,Public,108,8.76,67.0
ADI-47065,Train,109,8.775,62.5
ADI-47287,Private,4,8.804,71.0
ADI-47071,Public,110,8.814,60.5
ADI-47072,Train,28,8.823,69.5
ADI-45472,Public,60,8.828,69.5
ADI-47075,Train,28,8.838,69.0
ADI-47288,Train,111,8.843,76.5
ADI-45404,Public,112,8.857,71.5
ADI-47076,Train,24,8.857,58.5
ADI-47189,Train,113,8.862,70.5
ADI-47078,Train,114,8.867,62.0
ADI-47190,Private,115,8.877,66.0
ADI-47081,Train,116,8.906,68.0
ADI-47194,Private,4,8.906,70.5
ADI-47193,Private,117,8.906,74.0
ADI-47291,Public,118,8.916,78.0
ADI-47082,Public,119,8.916,70.5
ADI-47197,Private,120,8.92,66.0
ADI-47085,Public,121,8.925,67.5
ADI-47084,Public,122,8.925,74.5
ADI-47087,Train,123,8.93,64.5
ADI-47292,Train,124,8.935,70.5
ADI-47200,Public,125,8.935,72.0
ADI-47089,Train,126,8.94,66.0
ADI-47090,Public,36,8.94,62.0
ADI-47202,Private,127,8.945,72.5
ADI-47203,Public,6,8.95,72.0
ADI-47294,Public,6,8.954,71.0
ADI-47091,Train,53,8.959,74.5
ADI-47296,Private,128,8.964,75.0
ADI-47092,Private,129,8.988,65.5
ADI-47206,Public,130,8.993,72.0
ADI-47094,Train,131,9.003,77.0
ADI-47207,Train,132,9.008,75.0
ADI-47208,Public,19,9.017,80.0
ADI-47095,Train,28,9.022,72.0
ADI-47096,Train,53,9.027,74.5
ADI-47097,Train,53,9.037,70.5
ADI-47298,Private,133,9.047,69.5
ADI-47299,Public,6,9.051,77.0
ADI-47098,Train,134,9.066,60.5
ADI-47212,Train,135,9.081,68.5
ADI-47214,Private,136,9.085,74.0
ADI-47102,Train,137,9.115,71.0
ADI-47103,Train,138,9.119,69.5
ADI-47107,Public,6,9.134,72.5
ADI-47220,Private,139,9.168,59.0
ADI-47111,Train,28,9.173,74.5
ADI-47303,Public,140,9.187,73.0
ADI-47221,Private,141,9.192,52.5
ADI-47222,Public,142,9.197,72.5
ADI-47305,Private,47,9.197,71.5
ADI-47114,Train,143,9.236,69.0
ADI-47226,Private,144,9.246,69.0
ADI-47227,Train,28,9.246,74.0
ADI-47118,Train,145,9.25,68.0
ADI-47306,Private,4,9.255,70.5
ADI-47267,Train,146,9.26,70.5
ADI-47307,Public,147,9.265,72.0
ADI-47228,Train,28,9.265,73.0
ADI-47310,Public,148,9.294,75.5
ADI-47229,Private,47,9.309,75.5
ADI-47230,Train,135,9.318,66.5
ADI-47124,Private,149,9.328,68.0
ADI-47125,Private,150,9.362,63.5
ADI-47127,Private,151,9.377,70.0
ADI-47234,Train,131,9.377,66.5
ADI-47312,Train,24,9.391,73.0
ADI-47236,Train,152,9.406,68.5
ADI-47249,Train,87,9.44,68.0
ADI-47129,Public,153,9.508,62.0
ADI-47131,Train,154,9.527,73.0
ADI-47246,Private,155,9.561,72.0
ADI-47133,Private,47,9.566,71.0
ADI-47134,Train,28,9.585,65.5
ADI-47316,Train,156,9.605,67.0
ADI-47239,Private,157,9.61,69.0
ADI-47240,Train,158,9.644,66.0
ADI-47241,Train,159,9.648,72.5
ADI-47139,Train,160,9.75,69.0
ADI-47181,Train,9,9.77,62.5
ADI-47248,Public,161,9.799,74.5
ADI-47141,Train,162,9.833,75.0
ADI-47250,Train,87,9.93,71.5
ADI-47251,Private,163,9.935,68.5
ADI-47252,Train,164,9.94,69.0
ADI-47145,Train,28,9.978,68.0
ADI-47254,Train,165,9.998,71.5
ADI-47146,Train,15,10.032,65.0
ADI-47147,Train,166,10.076,74.0
ADI-45489,Public,167,10.168,70.5
ADI-47165,Train,168,10.187,76.0
ADI-47148,Private,169,10.352,70.0
ADI-47159,Train,170,10.41,71.0
ADI-47156,Train,171,10.541,70.5
ADI-47154,Train,172,10.949,72.5
ADI-47263,Private,173,11.279,80.5
ADI-47160,Private,174,11.745,68.5
ADI-47265,Train,87,11.886,69.5
ADI-47163,Train,175,12.148,61.0
ADI-47126,Private,47,12.905,74.5
ADI-45411,Public,37,8.93,67.0
ADI-45488,Train,176,9.275,64.5
ADI-47285,Train,24,8.751,82.5
ADI-46713,Private,47,8.76,77.0
ADI-46708,Train,24,8.765,69.5
ADI-45406,Train,15,8.78,69.5
ADI-46704,Train,87,8.78,68.5
ADI-46706,Private,117,8.799,78.5
ADI-45430,Train,28,8.799,80.0
ADI-45409,Private,117,8.823,72.0
ADI-45405,Private,7,8.838,74.5
ADI-47188,Train,177,8.857,70.0
ADI-45408,Train,28,8.964,75.0
ADI-45479,Train,24,9.003,73.0
ADI-45407,Public,36,9.11,77.5
ADI-47218,Train,24,9.119,70.5
ADI-45476,Public,36,9.178,72.5
ADI-45480,Train,24,9.212,83.5
ADI-45481,Public,60,9.241,81.5
ADI-47117,Train,24,9.25,79.0
ADI-47120,Public,43,9.265,72.5
ADI-46705,Train,24,9.304,74.0
ADI-47235,Private,7,9.386,76.0
ADI-47130,Train,57,9.522,68.5
ADI-47255,Private,178,10.003,69.5
ADI-46707,Public,31,10.245,73.0
ADI-47257,Private,92,10.26,79.0
ADI-45477,Public,167,10.362,74.0
ADI-45493,Train,28,10.406,75.0
ADI-47262,Train,24,11.046,69.0
ADI-45410,Public,31,11.235,72.5
ADI-47264,Private,7,11.454,75.0
ADI-47162,Train,85,11.866,71.0
ADI-45435,Train,28,11.905,76.5
ADI-45433,Public,167,12.08,80.5
ADI-45498,Public,36,12.449,75.5
ADI-45486,Public,179,13.856,70.5
