id,seq_Y_count,seq_W_count,seq_F_count,seq_YWF_total,seq_YWF_fraction,CDR_seq_Y_count,CDR_seq_W_count,CDR_seq_F_count,CDR_seq_YWF_total,seq_polar_count,seq_polar_fraction,seq_donor_capable_count,seq_acceptor_capable_count,seq_polar_uncharged_count,seq_charged_count,CDR_seq_polar_count,CDR_seq_polar_fraction,fv_length
ADI-45497,17,7,7,31,0.13191489361702127,9,1,2,12,136,0.5787234042553191,122,111,103,33,35,0.6363636363636364,235
ADI-45499,19,5,7,31,0.1297071129707113,10,1,2,13,129,0.5397489539748954,113,102,89,40,35,0.5932203389830508,239
ADI-46677,12,5,9,26,0.11555555555555555,4,1,3,8,122,0.5422222222222223,104,99,83,39,27,0.6,225
ADI-46682,9,6,9,24,0.10762331838565023,1,2,4,7,117,0.5246636771300448,99,91,78,39,24,0.5581395348837209,223
ADI-46684,18,6,6,30,0.12605042016806722,10,0,1,11,133,0.5588235294117647,117,108,97,36,36,0.6206896551724138,238
ADI-46685,17,5,7,29,0.12554112554112554,8,1,2,11,121,0.5238095238095238,104,94,82,39,30,0.5882352941176471,231
ADI-46690,13,6,7,26,0.11764705882352941,4,2,2,8,123,0.5565610859728507,108,98,89,34,29,0.7073170731707317,221
ADI-46695,11,6,12,29,0.1277533039647577,4,2,3,9,121,0.5330396475770925,105,97,86,35,26,0.5531914893617021,227
ADI-46697,14,7,5,26,0.11158798283261803,6,2,1,9,128,0.5493562231759657,108,99,84,44,34,0.6415094339622641,233
ADI-46704,15,5,7,27,0.11392405063291139,7,1,2,10,132,0.5569620253164557,116,106,93,39,35,0.6140350877192983,237
ADI-46705,15,6,9,30,0.12987012987012986,8,2,3,13,124,0.5367965367965368,106,98,85,39,31,0.6078431372549019,231
ADI-46708,13,7,8,28,0.1222707423580786,5,3,3,11,129,0.5633187772925764,111,102,90,39,33,0.673469387755102,229
ADI-46710,16,4,7,27,0.11637931034482758,7,0,2,9,132,0.5689655172413793,117,106,94,38,33,0.6346153846153846,232
ADI-47054,11,5,4,20,0.0881057268722467,4,0,1,5,124,0.5462555066079295,107,103,91,33,28,0.5833333333333334,227
ADI-47060,12,4,8,24,0.10619469026548672,4,0,2,6,126,0.5575221238938053,107,103,88,38,28,0.6086956521739131,226
ADI-47061,10,6,6,22,0.09565217391304348,3,2,3,8,120,0.5217391304347826,98,94,73,47,30,0.5882352941176471,230
ADI-47063,9,8,8,25,0.10869565217391304,3,4,3,10,131,0.5695652173913044,113,104,92,39,38,0.76,230
ADI-47064,10,6,6,22,0.09523809523809523,2,2,2,6,121,0.5238095238095238,100,94,79,42,32,0.6153846153846154,231
ADI-47065,10,5,7,22,0.09401709401709402,3,1,2,6,130,0.5555555555555556,105,104,82,48,37,0.6851851851851852,234
ADI-47066,14,4,8,26,0.11063829787234042,5,1,2,8,133,0.5659574468085107,110,107,85,48,35,0.6363636363636364,235
ADI-47068,14,6,8,28,0.12017167381974249,6,2,4,12,129,0.5536480686695279,109,103,88,41,33,0.6226415094339622,233
ADI-47069,14,4,10,28,0.12121212121212122,7,0,2,9,128,0.5541125541125541,104,104,82,46,34,0.6666666666666666,231
ADI-47072,14,7,8,29,0.12446351931330472,7,2,3,12,133,0.5708154506437768,112,104,89,44,35,0.660377358490566,233
ADI-47073,14,5,7,26,0.11304347826086956,6,1,3,10,134,0.5826086956521739,117,112,97,37,35,0.6862745098039216,230
ADI-47074,13,6,6,25,0.10638297872340426,6,1,1,8,136,0.5787234042553191,118,111,98,38,37,0.6727272727272727,235
ADI-47075,14,4,9,27,0.1148936170212766,6,0,4,10,132,0.5617021276595745,110,108,90,42,39,0.7090909090909091,235
ADI-47076,13,5,8,26,0.1111111111111111,5,1,2,8,131,0.5598290598290598,111,105,89,42,37,0.6851851851851852,234
ADI-47078,12,3,6,21,0.0945945945945946,3,0,1,4,119,0.536036036036036,102,98,83,36,28,0.6666666666666666,222
ADI-47079,14,4,8,26,0.1111111111111111,6,1,3,10,126,0.5384615384615384,109,105,89,37,33,0.6111111111111112,234
ADI-47081,14,6,8,28,0.12389380530973451,6,1,2,9,130,0.5752212389380531,111,105,90,40,35,0.7608695652173914,226
ADI-47087,10,6,10,26,0.11555555555555555,2,2,4,8,117,0.52,97,90,75,42,29,0.6444444444444445,225
ADI-47089,10,7,6,23,0.09745762711864407,2,3,3,8,125,0.5296610169491526,101,100,78,47,33,0.5789473684210527,236
ADI-47091,14,4,8,26,0.1092436974789916,5,0,3,8,129,0.542016806722689,104,104,81,48,35,0.603448275862069,238
ADI-47094,16,6,7,29,0.12608695652173912,6,2,2,10,127,0.5521739130434783,107,100,84,43,35,0.7,230
ADI-47095,14,5,7,26,0.11255411255411256,7,1,2,10,129,0.5584415584415584,108,103,84,45,35,0.6862745098039216,231
ADI-47096,14,4,8,26,0.1092436974789916,5,0,3,8,127,0.5336134453781513,104,102,81,46,33,0.5689655172413793,238
ADI-47097,11,4,9,24,0.1038961038961039,3,0,4,7,122,0.5281385281385281,104,100,84,38,30,0.5882352941176471,231
ADI-47098,10,5,6,21,0.09130434782608696,2,1,2,5,111,0.4826086956521739,90,88,68,43,23,0.45098039215686275,230
ADI-47099,11,6,8,25,0.1091703056768559,4,2,3,9,126,0.5502183406113537,107,100,85,41,31,0.6326530612244898,229
ADI-47100,13,5,5,23,0.09787234042553192,6,0,1,7,124,0.5276595744680851,104,101,84,40,29,0.5272727272727272,235
ADI-47102,9,4,11,24,0.10572687224669604,2,0,6,8,127,0.5594713656387665,109,105,85,42,30,0.6382978723404256,227
ADI-47103,11,5,6,22,0.09482758620689655,3,1,2,6,123,0.5301724137931034,102,98,81,42,31,0.5961538461538461,232
ADI-47105,16,5,8,29,0.1288888888888889,7,1,3,11,123,0.5466666666666666,105,99,86,37,29,0.6444444444444445,225
ADI-47111,15,5,6,26,0.11206896551724138,7,1,2,10,129,0.5560344827586207,111,105,92,37,35,0.6730769230769231,232
ADI-47114,16,5,7,28,0.12121212121212122,7,1,2,10,130,0.5627705627705628,109,105,87,43,34,0.6666666666666666,231
ADI-47117,16,6,8,30,0.125,7,2,3,12,134,0.5583333333333333,116,109,96,38,37,0.6166666666666667,240
ADI-47118,11,5,8,24,0.10344827586206896,4,1,3,8,127,0.5474137931034483,110,104,87,40,29,0.5576923076923077,232
ADI-47122,13,5,7,25,0.10638297872340426,5,1,2,8,122,0.5191489361702127,97,97,75,47,28,0.509090909090909,235
ADI-47123,9,7,7,23,0.10043668122270742,3,1,1,5,125,0.5458515283842795,110,102,93,32,27,0.5510204081632653,229
ADI-47130,21,4,4,29,0.12340425531914893,12,0,1,13,131,0.5574468085106383,111,108,91,40,36,0.6428571428571429,235
ADI-47131,14,6,7,27,0.1148936170212766,7,1,1,9,137,0.5829787234042553,118,114,97,40,38,0.6909090909090909,235
ADI-47132,9,8,8,25,0.11160714285714286,3,3,2,8,120,0.5357142857142857,104,95,84,36,26,0.5909090909090909,224
ADI-47134,17,8,6,31,0.1308016877637131,8,3,2,13,141,0.5949367088607594,122,114,101,40,43,0.7543859649122807,237
ADI-47139,17,5,6,28,0.11965811965811966,8,0,2,10,132,0.5641025641025641,117,114,102,30,35,0.6363636363636364,234
ADI-47141,14,6,11,31,0.13304721030042918,6,2,5,13,125,0.5364806866952789,104,98,79,46,33,0.6226415094339622,233
ADI-47145,17,7,5,29,0.12340425531914893,9,2,0,11,130,0.5531914893617021,110,107,91,39,36,0.6545454545454545,235
ADI-47146,13,7,5,25,0.1091703056768559,5,2,0,7,126,0.5502183406113537,111,103,91,35,33,0.673469387755102,229
ADI-47147,15,5,10,30,0.12658227848101267,8,0,4,12,133,0.5611814345991561,116,110,96,37,37,0.6491228070175439,237
ADI-47149,15,5,6,26,0.11016949152542373,7,0,1,8,127,0.538135593220339,111,105,90,37,31,0.5535714285714286,236
ADI-47151,12,5,6,23,0.09913793103448276,4,1,2,7,124,0.5344827586206896,103,100,82,42,32,0.6037735849056604,232
ADI-47153,9,6,6,21,0.09012875536480687,4,1,1,6,126,0.5407725321888412,104,104,83,43,33,0.6111111111111112,233
ADI-47154,13,6,11,30,0.12987012987012986,8,1,2,11,127,0.5497835497835498,111,106,96,31,31,0.6078431372549019,231
ADI-47155,10,5,10,25,0.11013215859030837,3,1,4,8,122,0.5374449339207048,104,99,84,38,26,0.5531914893617021,227
ADI-47156,14,5,5,24,0.10084033613445378,5,1,1,7,135,0.5672268907563025,115,112,93,42,35,0.5932203389830508,238
ADI-47158,9,5,9,23,0.09787234042553192,3,1,3,7,124,0.5276595744680851,104,100,83,41,29,0.5272727272727272,235
ADI-47159,11,6,7,24,0.10126582278481013,5,2,1,8,122,0.5147679324894515,103,93,78,44,31,0.543859649122807,237
ADI-47162,15,7,7,29,0.12033195020746888,6,3,4,13,130,0.5394190871369294,112,106,94,36,39,0.6290322580645161,241
ADI-47163,11,4,7,22,0.09821428571428571,3,0,1,4,117,0.5223214285714286,96,95,78,39,24,0.5454545454545454,224
ADI-47165,13,4,10,27,0.11790393013100436,4,0,5,9,126,0.5502183406113537,105,106,89,37,24,0.4897959183673469,229
ADI-47176,10,5,8,23,0.10043668122270742,3,1,3,7,120,0.5240174672489083,102,96,79,41,29,0.5918367346938775,229
ADI-47177,11,4,9,24,0.10480349344978165,4,0,3,7,123,0.537117903930131,103,97,76,47,31,0.6326530612244898,229
ADI-47180,10,6,10,26,0.11555555555555555,2,2,3,7,119,0.5288888888888889,102,95,80,39,28,0.6222222222222222,225
ADI-47181,8,5,7,20,0.08733624454148471,1,1,2,4,121,0.5283842794759825,102,94,78,43,27,0.5510204081632653,229
ADI-47183,14,5,7,26,0.11555555555555555,5,1,2,8,127,0.5644444444444444,113,104,95,32,33,0.7333333333333333,225
ADI-47187,13,7,7,27,0.1134453781512605,5,2,2,9,137,0.5756302521008403,121,111,99,38,38,0.6551724137931034,238
ADI-47188,17,6,4,27,0.11203319502074689,7,1,1,9,130,0.5394190871369294,113,105,93,37,30,0.5,241
ADI-47189,16,5,8,29,0.12133891213389121,8,2,3,13,134,0.5606694560669456,114,107,90,44,38,0.6440677966101694,239
ADI-47195,15,4,8,27,0.11739130434782609,7,0,3,10,126,0.5478260869565217,111,104,92,34,31,0.6078431372549019,230
ADI-47199,10,7,10,27,0.11790393013100436,4,2,3,9,127,0.5545851528384279,110,100,89,38,32,0.6530612244897959,229
ADI-47204,12,6,6,24,0.10300429184549356,4,2,2,8,122,0.5236051502145923,103,96,80,42,32,0.5925925925925926,233
ADI-47207,14,6,6,26,0.11016949152542373,6,2,2,10,131,0.5550847457627118,112,103,90,41,37,0.6607142857142857,236
ADI-47209,13,6,6,25,0.10638297872340426,5,2,2,9,133,0.5659574468085107,115,107,94,39,35,0.6363636363636364,235
ADI-47212,13,5,9,27,0.11739130434782609,6,1,2,9,123,0.5347826086956522,107,100,86,37,28,0.56,230
ADI-47213,11,7,6,24,0.10434782608695652,6,2,1,9,133,0.5782608695652174,116,108,97,36,38,0.7450980392156863,230
ADI-47215,10,7,10,27,0.11790393013100436,2,3,5,10,123,0.537117903930131,106,96,83,40,31,0.6326530612244898,229
ADI-47216,14,5,7,26,0.11255411255411256,8,0,0,8,134,0.5800865800865801,120,112,101,33,35,0.6862745098039216,231
ADI-47218,15,5,9,29,0.12608695652173912,6,1,3,10,126,0.5478260869565217,110,102,90,36,31,0.62,230
ADI-47219,16,7,6,29,0.12393162393162394,9,2,2,13,142,0.6068376068376068,122,113,100,42,42,0.7777777777777778,234
ADI-47223,11,8,10,29,0.12554112554112554,3,3,4,10,117,0.5064935064935064,101,90,81,36,26,0.5098039215686274,231
ADI-47224,13,6,7,26,0.1111111111111111,4,2,3,9,125,0.5341880341880342,108,100,88,37,29,0.5370370370370371,234
ADI-47225,13,8,7,28,0.12173913043478261,5,3,3,11,131,0.5695652173913044,119,109,100,31,36,0.7058823529411765,230
ADI-47227,15,8,9,32,0.13445378151260504,9,2,4,15,136,0.5714285714285714,118,107,95,41,41,0.7068965517241379,238
ADI-47228,15,6,5,26,0.11016949152542373,7,1,1,9,133,0.5635593220338984,116,106,93,40,35,0.625,236
ADI-47230,11,4,9,24,0.10714285714285714,2,0,3,5,114,0.5089285714285714,98,92,78,36,21,0.4772727272727273,224
ADI-47233,13,7,5,25,0.10638297872340426,6,2,0,8,132,0.5617021276595745,115,106,95,37,38,0.6909090909090909,235
ADI-47234,10,6,10,26,0.11206896551724138,3,2,4,9,120,0.5172413793103449,103,96,83,37,33,0.6346153846153846,232
ADI-47236,11,7,9,27,0.11587982832618025,4,3,3,10,128,0.5493562231759657,108,99,84,44,36,0.6792452830188679,233
ADI-47238,14,4,9,27,0.11297071129707113,6,0,4,10,126,0.5271966527196653,112,104,93,33,32,0.5423728813559322,239
ADI-47240,15,5,10,30,0.12658227848101267,7,2,4,13,130,0.5485232067510548,111,103,88,42,36,0.631578947368421,237
ADI-47241,15,4,8,27,0.1148936170212766,6,0,3,9,130,0.5531914893617021,111,105,86,44,34,0.6181818181818182,235
ADI-47244,12,4,8,24,0.10126582278481013,5,0,2,7,124,0.5232067510548524,110,103,90,34,27,0.47368421052631576,237
ADI-47247,16,5,6,27,0.11842105263157894,7,0,1,8,124,0.543859649122807,110,103,93,31,28,0.5833333333333334,228
ADI-47249,14,4,6,24,0.10344827586206896,7,0,2,9,124,0.5344827586206896,105,100,83,41,31,0.5961538461538461,232
ADI-47250,13,5,9,27,0.11688311688311688,7,0,3,10,127,0.5497835497835498,110,102,89,38,32,0.6274509803921569,231
ADI-47252,13,6,6,25,0.1111111111111111,7,1,1,9,122,0.5422222222222223,108,100,90,32,29,0.6444444444444445,225
ADI-47254,10,6,11,27,0.11587982832618025,5,1,4,10,121,0.51931330472103,104,95,82,39,33,0.6226415094339622,233
ADI-47258,14,5,9,28,0.11715481171548117,6,1,4,11,136,0.5690376569037657,116,110,94,42,34,0.576271186440678,239
ADI-47259,12,5,8,25,0.1059322033898305,4,1,3,8,125,0.5296610169491526,107,100,86,39,34,0.6071428571428571,236
ADI-47260,18,5,8,31,0.12704918032786885,11,0,2,13,138,0.5655737704918032,120,112,95,43,42,0.65625,244
ADI-47262,14,6,7,27,0.11392405063291139,6,1,3,10,129,0.5443037974683544,115,105,97,32,30,0.5263157894736842,237
ADI-47265,13,6,11,30,0.12552301255230125,5,2,5,12,123,0.5146443514644351,107,97,86,37,32,0.5423728813559322,239
ADI-47267,9,6,10,25,0.11160714285714286,2,2,4,8,119,0.53125,104,94,83,36,25,0.5434782608695652,224
ADI-47280,12,7,8,27,0.11688311688311688,6,2,2,10,130,0.5627705627705628,116,104,95,35,36,0.7058823529411765,231
ADI-47283,11,7,10,28,0.11814345991561181,5,2,4,11,129,0.5443037974683544,114,101,90,39,33,0.5789473684210527,237
ADI-47284,9,7,6,22,0.09691629955947137,2,2,2,6,123,0.5418502202643172,107,97,87,36,31,0.6458333333333334,227
ADI-47285,16,5,6,27,0.11538461538461539,7,0,1,8,133,0.5683760683760684,120,110,101,32,34,0.6296296296296297,234
ADI-47288,11,4,11,26,0.11555555555555555,4,0,4,8,119,0.5288888888888889,101,93,74,45,26,0.5777777777777777,225
ADI-47289,10,7,7,24,0.10572687224669604,3,3,2,8,118,0.5198237885462555,101,89,78,40,29,0.6170212765957447,227
ADI-47292,12,5,12,29,0.12608695652173912,4,1,4,9,122,0.5304347826086957,107,94,84,38,31,0.62,230
ADI-47297,12,5,11,28,0.12444444444444444,5,1,4,10,126,0.56,112,102,89,37,31,0.6888888888888889,225
ADI-47300,11,6,6,23,0.09913793103448276,4,1,1,6,134,0.5775862068965517,120,106,97,37,34,0.6538461538461539,232
ADI-47301,16,3,6,25,0.1091703056768559,6,0,3,9,122,0.5327510917030568,110,102,90,32,31,0.62,229
ADI-47302,14,6,6,26,0.11206896551724138,7,2,2,11,134,0.5775862068965517,119,107,98,36,35,0.6730769230769231,232
ADI-47308,13,5,7,25,0.1072961373390558,6,1,1,8,130,0.5579399141630901,117,107,98,32,34,0.6415094339622641,233
ADI-47309,12,6,4,22,0.09734513274336283,5,1,0,6,129,0.5707964601769911,116,105,97,32,31,0.6739130434782609,226
ADI-47312,11,5,7,23,0.10222222222222223,5,0,1,6,129,0.5733333333333334,116,106,96,33,31,0.6888888888888889,225
ADI-47316,13,6,9,28,0.1206896551724138,5,2,4,11,124,0.5344827586206896,110,99,89,35,33,0.6226415094339622,232
ADI-47317,17,6,6,29,0.12340425531914893,8,2,3,13,133,0.5659574468085107,115,105,92,41,39,0.6964285714285714,235
ADI-37124,13,6,6,25,0.10822510822510822,5,2,3,10,125,0.5411255411255411,105,100,82,43,32,0.6153846153846154,231
ADI-37125,11,5,7,23,0.09913793103448276,3,1,2,6,123,0.5301724137931034,105,96,82,41,31,0.5961538461538461,232
ADI-38498,17,6,6,29,0.12340425531914893,7,2,2,11,125,0.5319148936170213,105,99,82,43,35,0.625,235
ADI-38500,14,5,5,24,0.10344827586206896,4,1,2,7,125,0.5387931034482759,108,104,90,35,34,0.6415094339622641,232
ADI-38503,14,6,7,27,0.11637931034482758,5,1,4,10,121,0.521551724137931,105,95,85,36,26,0.49056603773584906,232
ADI-45368,13,6,7,26,0.11403508771929824,5,2,2,9,133,0.5833333333333334,115,105,93,40,32,0.6666666666666666,228
ADI-45370,9,5,8,22,0.09649122807017543,3,1,4,8,116,0.5087719298245614,98,93,77,39,24,0.4897959183673469,228
ADI-45373,12,5,8,25,0.10869565217391304,4,1,3,8,121,0.5260869565217391,107,98,88,33,28,0.56,230
ADI-45375,15,7,6,28,0.11864406779661017,5,2,3,10,129,0.5466101694915254,107,103,86,43,35,0.6140350877192983,236
ADI-45378,17,7,6,30,0.12658227848101267,8,3,2,13,135,0.569620253164557,116,108,95,40,40,0.7017543859649122,237
ADI-45382,14,7,6,27,0.1134453781512605,6,2,1,9,133,0.5588235294117647,115,107,96,37,38,0.6551724137931034,238
ADI-45383,14,6,7,27,0.11538461538461539,7,1,2,10,130,0.5555555555555556,113,104,90,40,36,0.6666666666666666,234
ADI-45393,12,4,9,25,0.10822510822510822,4,0,4,8,126,0.5454545454545454,106,100,82,44,32,0.6274509803921569,231
ADI-45395,16,5,7,28,0.12173913043478261,8,0,1,9,125,0.5434782608695652,111,102,92,33,32,0.64,230
ADI-45397,9,6,7,22,0.09691629955947137,2,1,2,5,120,0.5286343612334802,104,96,86,34,29,0.6041666666666666,227
ADI-45404,11,6,7,24,0.10300429184549356,3,1,3,7,123,0.5278969957081545,104,100,84,39,30,0.5660377358490566,233
ADI-45405,15,5,4,24,0.1038961038961039,7,1,1,9,130,0.5627705627705628,114,107,94,36,33,0.6346153846153846,231
ADI-45407,13,6,5,24,0.10212765957446808,4,2,2,8,123,0.5234042553191489,109,100,92,31,31,0.5535714285714286,235
ADI-45409,14,4,7,25,0.10683760683760683,5,0,2,7,128,0.5470085470085471,109,107,92,36,32,0.5925925925925926,234
ADI-45410,14,7,8,29,0.12340425531914893,5,3,3,11,125,0.5319148936170213,109,99,88,37,31,0.5636363636363636,235
ADI-45411,14,6,6,26,0.1145374449339207,6,2,2,10,133,0.5859030837004405,115,109,95,38,33,0.717391304347826,227
ADI-45428,17,6,4,27,0.1125,9,1,2,12,133,0.5541666666666667,119,108,99,34,35,0.5737704918032787,240
ADI-45429,14,4,8,26,0.11206896551724138,5,1,2,8,124,0.5344827586206896,110,101,90,34,32,0.6153846153846154,232
ADI-45433,18,4,7,29,0.12393162393162394,9,0,3,12,125,0.5341880341880342,107,102,84,41,31,0.5740740740740741,234
ADI-45438,16,5,8,29,0.12554112554112554,7,1,2,10,123,0.5324675324675324,105,100,87,36,26,0.5098039215686274,231
ADI-45442,11,4,11,26,0.11304347826086956,4,0,4,8,116,0.5043478260869565,101,93,82,34,28,0.56,230
ADI-45447,16,6,7,29,0.12663755458515283,9,1,2,12,134,0.5851528384279476,113,108,91,43,36,0.7346938775510204,229
ADI-45448,17,6,6,29,0.12554112554112554,9,1,3,13,130,0.5627705627705628,115,105,95,35,33,0.6346153846153846,231
ADI-45452,15,5,7,27,0.11894273127753303,7,0,2,9,130,0.5726872246696035,115,106,96,34,31,0.6595744680851063,227
ADI-45456,15,4,10,29,0.12608695652173912,6,0,4,10,127,0.5521739130434783,107,104,87,40,33,0.66,230
ADI-45459,13,6,8,27,0.11842105263157894,4,2,4,10,122,0.5350877192982456,105,98,85,37,28,0.5714285714285714,228
ADI-45460,14,4,5,23,0.09871244635193133,4,0,2,6,125,0.5364806866952789,106,102,84,41,32,0.5925925925925926,233
ADI-45469,13,6,7,26,0.11063829787234042,5,1,2,8,126,0.5361702127659574,111,104,94,32,32,0.5714285714285714,235
ADI-45470,16,5,6,27,0.11739130434782609,8,0,1,9,126,0.5478260869565217,111,106,95,31,32,0.6274509803921569,230
ADI-45472,10,5,10,25,0.10869565217391304,2,1,5,8,120,0.5217391304347826,100,99,81,39,32,0.6274509803921569,230
ADI-45476,12,5,5,22,0.09565217391304348,3,1,2,6,118,0.5130434782608696,103,97,87,31,28,0.5490196078431373,230
ADI-45477,17,4,6,27,0.1148936170212766,8,0,2,10,125,0.5319148936170213,107,102,86,39,31,0.5636363636363636,235
ADI-45481,15,6,4,25,0.11061946902654868,7,1,1,9,126,0.5575221238938053,111,104,93,33,33,0.7021276595744681,226
ADI-45485,15,4,6,25,0.11160714285714286,5,0,3,8,122,0.5446428571428571,106,103,90,32,26,0.5777777777777777,224
ADI-45486,17,5,10,32,0.13278008298755187,8,1,3,12,129,0.5352697095435685,108,101,84,45,35,0.5737704918032787,241
ADI-45489,14,5,6,25,0.10548523206751055,6,1,2,9,120,0.5063291139240507,100,96,80,40,28,0.49122807017543857,237
ADI-45498,14,7,4,25,0.1059322033898305,6,3,1,10,126,0.5338983050847458,112,99,92,34,32,0.5614035087719298,236
ADI-46678,13,5,8,26,0.11403508771929824,4,1,2,7,122,0.5350877192982456,109,99,90,32,29,0.6041666666666666,228
ADI-46689,13,4,8,25,0.11210762331838565,5,0,3,8,119,0.5336322869955157,101,97,82,37,28,0.6511627906976745,223
ADI-46691,13,6,8,27,0.12053571428571429,3,2,2,7,120,0.5357142857142857,105,97,86,34,27,0.6136363636363636,224
ADI-46692,11,5,9,25,0.11013215859030837,3,1,3,7,127,0.5594713656387665,108,104,89,38,31,0.6595744680851063,227
ADI-46693,19,5,8,32,0.1350210970464135,10,1,3,14,131,0.5527426160337553,111,105,90,41,39,0.6842105263157895,237
ADI-46696,17,7,4,28,0.12017167381974249,8,2,1,11,130,0.5579399141630901,113,107,94,36,36,0.6666666666666666,233
ADI-46701,11,5,10,26,0.11504424778761062,4,1,4,9,125,0.5530973451327433,106,99,81,44,30,0.6521739130434783,226
ADI-46706,13,4,8,25,0.1091703056768559,4,0,3,7,124,0.5414847161572053,105,103,88,36,27,0.5510204081632653,229
ADI-46707,18,6,7,31,0.13191489361702127,9,2,2,13,130,0.5531914893617021,113,105,93,37,36,0.6545454545454545,235
ADI-46713,13,5,9,27,0.11894273127753303,4,1,4,9,120,0.5286343612334802,104,95,84,36,26,0.5531914893617021,227
ADI-47055,12,5,9,26,0.11403508771929824,4,1,4,9,130,0.5701754385964912,112,107,88,42,32,0.6666666666666666,228
