claim,evidence_tier,supporting_experiments,contradicting_experiments,evaluation_protocol,pre_or_post_external,source_paths,notes,original_tier,validated_tier,claim_type,replication_level,protocol_comparability,external_evidence_class,confidence_notes
HSP BM-R5 / EIS-R8 additive over SURFACE are mainline-supported,Tier2_Supported,"EXP-H102–H113 esp H107,H109",FP not confirmed; bootstrap CIs often include 0,dl_foldlocal_cosine_v3,Confirmatory after atlas (post feature research),developability_drilldown/results/HIC_HSP_MAINLINE_REPORT.md; feature_research/hic_spatial_hydrophobicity/results/PROMOTION_RECOMMENDATION.md; commit 9625151f,H107 Overall 0.393619; do not REPLACE SURFACE,Tier2_Supported,Tier2_Supported,OBSERVATION,two_backbones_permutation_bootstrap,V3; comparable to SURFACE baselines H090/H086,MIXED,Report labels MAINLINE_SUPPORTED_STRONG but bootstrap 95% CIs for Δ vs SURFACE often include 0; rely on TEST_mean+perm jointly. FP NOT_CONFIRMED. Not a SURFACE replacement.
Exposed aromatic geometry adds predictive signal beyond sequence Y/W/F composition counts,Tier2_Supported,AROMATIC-TOPO; SIGNAL_SOURCE_AUDIT,vs Round1 surface: NO_INCREMENT / PROMISING_BUT_REDUNDANT,organizer feature prospecting; post-competition diagnostic,Post-Public/Private (POST_COMPETITION_DIAGNOSTIC),organizer_extension/feature_prospecting/SIGNAL_SOURCE_AUDIT/SIGNAL_SOURCE_AUDIT_JA.md; organizer_extension/feature_prospecting/AROMATIC-TOPO/REPORT_JA.md; commit efc1e17f,Label GEOMETRY_ADDS_SIGNAL; NOT causal claim that 3D aromaticity causes HIC,Tier2_Supported,Tier2_Supported,OBSERVATION,controlled_ablation_post_competition,organizer prospecting protocol; not V3 DL,POST_PRIVATE,GEOMETRY_ADDS_SIGNAL (seq vs AROMATIC vs combo). Concurrently PROMISING_BUT_REDUNDANT vs Round1 surface. NOT causal. Predictive observation only.
ESMFN_Fv_sasa_aromatic associates with HIGH-HIC (Spearman 0.426; Cliffs δ 0.705),Tier2_Supported,GATE-B6.4 structure mechanism,,CAND_12528; HIGH n=13 vs nonHIGH,Diagnostic on incumbent split,gate_b6_4_hic_high_tail/reports/03_high_hic_structure_mechanism.md,Association on small HIGH set; not proven causal,Tier2_Supported,Tier2_Supported,OBSERVATION,single_gate_small_n,CAND_12528 HIGH n=13 association study,MIXED,Association only; small HIGH n; not independent of other structure feats narrative.
Classical H047 SVR (hydro + ESM2_RASA_CDR3) is strong classical champion Overall≈0.427,Tier2_Supported,EXP-H047,bootstrap vs H021 CI includes 0,canonical_simple_tvt_primary_shadow,Internal+external scores in registry,developability_drilldown/results/HIC_CLASSICAL_REFINEMENT.md; experiments.csv,Not protocol-equivalent to V3 Overall,Tier2_Supported,Tier2_Supported,OBSERVATION,refinement_family_canonical_simple,canonical_simple only; NOT directly comparable to V3 Overall,MIXED,Registry Overall 0.427473; bootstrap vs H021 CI includes 0. Protocol-scoped champion.
STATIC_SAP_KD antibody-level late fusion is NOT_SUPPORTED vs SURFACE,Tier1_Established,EXP-H094–H101,,V3,Pre-external freeze then report,developability_drilldown/results/HIC_STATIC_SAP_KD_REPORT.md; commit 076c03f7,Does not negate all SAP-like spatial descriptors (HSP separate),Tier1_Established,Tier1_Established,OBSERVATION,eight_cells_two_backbones,V3 late fusion,MIXED,Negative result under tested STATIC_SAP_KD definition; does not refute HSP spatial families.
SOURCE24 Transformer fusion and SOURCE_SAP24 XGB are NOT_SUPPORTED / no_reproduce,Tier1_Established,EXP-H114–H127,,V3 / V3_xgb,Batch reports,HIC_SOURCE24_TRANSFORMER_FUSION_REPORT.md; HIC_SOURCE_SAP24_XGBOOST_REPORT.md,CASE_C_no_reproduce_0.46 for XGB,Tier1_Established,Tier1_Established,OBSERVATION,multi_cell_batch,V3 / V3_xgb,MIXED,Consistent non-improvement vs controls in batch reports.
Residue-level F1 SURFACE fusion does not beat antibody-level F1 late fusion,Tier1_Established,EXP-H128–H133,,V3,Batch,HIC_RESIDUE_F1_SURFACE_FUSION_REPORT.md; commit ed6bdbc1,CASE G,Tier1_Established,Tier1_Established,OBSERVATION,six_cells_vs_historical_F1,V3,MIXED,CASE G; Ab-level F1 remains better under tested residue compact scheme.
More complex global F1 conditioning (FiLM/gate/token-attn) is not justified over late fusion,Tier2_Supported,EXP-H134–H139,H137 strong external Overall 0.3907 but worse TEST_mean vs F1 hist,V3,Batch CASE D,HIC_GLOBAL_F1_SURFACE_CONDITIONING_REPORT.md; commit 58a0e543,Do not run H140; external cherry-picking risk,Tier2_Supported,Tier2_Supported,INTERPRETATION,six_cells_CASE_D,V3; selection on TEST_mean vs hist F1,MIXED,CASE D decision. H137 strong external Overall but worse TEST_mean — if Pub/Priv used for selection this would be contamination. Keep as supported decision under internal-first rule.
"On CAND_12528, Public is at least as reliable as CV when they disagree (Trust-CV not demonstrated)",Tier3_Suggestive,GATE-B7.1,,CAND_12528 Trust-CV stress,Uses Public/Private,gate_b7_1_trust_cv/reports/GATE_B7_1_TRUST_CV_FINAL.md,TrustCV_rate 0.133; split-specific,Tier2_Supported,Tier3_Suggestive,OBSERVATION,single_split_stress_bank,CAND_12528 ONLY; not shown on GEN_0001,POST_PUBLIC,DOWNGRADE Tier2→Tier3 for future-protocol guidance. Valid historical observation on CAND_12528 (TrustCV_rate 0.133) but split-specific; cannot freeze as GEN_0001 rule.
Virtual competition: limited Public overfitting on CAND_12528; overall MAE gains do not fix HIGH-tail,Tier2_Supported,GATE-B7-VC,,CAND_12528 virtual competition,Live Public then Private reveal,gate_b7_virtual_competition/reports/GATE_B7_VIRTUAL_COMPETITION_FINAL.md,Persona C Private 0.4437,Tier2_Supported,Tier2_Supported,OBSERVATION,multi_persona_same_split,CAND_12528 VC; HIGH-tail lesson portable as qualitative,POST_PRIVATE,Two sub-claims: (a) limited Pub overfit on 12528 — Tier2 split-scoped; (b) overall MAE≠HIGH fix — aligns with Tier1 HIGH underprediction observation.
Organizer BEST_CV ≈ cross-family equal-mean worst≈0.435; stacking skipped for fold mismatch,Tier3_Suggestive,ORG-CROSSFAM-EQUALMEAN,,competition GEN_0001; postmortem Pub/Priv,Post-competition organizer,top_models_feature_bundle/results/cross_family_ensemble/; HIC__STACKING_SKIP.md,Pub/Priv postmortem only for selection narrative,Tier2_Supported,Tier3_Suggestive,OBSERVATION,single_organizer_construction,GEN_0001 postmortem tooling; stacking SKIP intentional,POST_PRIVATE,DOWNGRADE Tier2→Tier3 as scientific HIC claim. Useful engineering record; Pub/Priv postmortem; not independent confirmatory science.
Generic hydrophobicity fields / STATIC-SAP / COPATCH / OpenMM dynamic aromatic SASA do not increment beyond Round1 surface,Tier2_Supported,Physical Batch1; Advanced Batch2; OpenMM,,organizer feature prospecting post-reveal,Post-Public/Private,"organizer_extension/feature_prospecting/; commits c98cf872,6e727c40,3136d09e",Supports specificity of aromatic-local signal vs generic hydro,Tier2_Supported,Tier2_Supported,OBSERVATION,multi_batch_post_reveal,organizer prospecting; not V3,POST_PRIVATE,Negative incremental results post-reveal; supports specificity vs generic hydro but post-hoc relative to competition.
TmApp Representation×Topology×Annotation factorial has NOT been run for HIC,Tier1_Established,none (absence),,N/A,N/A,developability_drilldown/technical_report/tmapp_factorial/; EXPERIMENT_CODES.csv ends H139; TMAPP hard STOP no HIC,HIC V3 annotation FULL only; AbLang2 factorial absent,Tier1_Established,Tier1_Established,OBSERVATION,registry_absence,N/A,INTERNAL_ONLY,EXPERIMENT_CODES ends H139; TmApp factorial hard-STOP no HIC; HIC V3 annotation FULL only.
High-HIC learnability is fundamentally limited by n≈13 HIGH samples,Tier2_Supported,GATE-B6.4,,CAND_12528,Diagnostic,gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,HIC_VALID_BUT_DATA_LIMITED_COMPETITION_TARGET,Tier2_Supported,Tier2_Supported,INTERPRETATION,single_gate_diagnostic_labeled_STRONG,CAND_12528; HIGH n=13 portable as population fact (full N=324 still sparse),MIXED,"Keep Tier2 INTERPRETATION. B6.4 labels sample scarcity STRONG and still says partially learnable. Does NOT establish that representation is adequate. Separate: ""not representation-limited"" is NOT supported."
Exposed aromatic surface is the causal biophysical driver of HIC retention,Tier4_Unresolved_contradictory,associative evidence only,explicit non-causal wording in SIGNAL_SOURCE_AUDIT,post-hoc diagnostics,Post-competition,SIGNAL_SOURCE_AUDIT_JA.md,NOT claimed by repository; associative/geometry-adds-signal only,Tier4_Unresolved_contradictory,Tier4_Unresolved_contradictory,CAUSAL_HYPOTHESIS,as_original_audit,mixed_or_absent,POST_PRIVATE,Carried from original audit; not re-litigated as Tier1/2 focus except noted.
Which PLM is best for HIC (AbLang2 vs ESM2 vs CurrAb factorial),Tier4_Unresolved_contradictory,,,not run for HIC,N/A,TMAPP factorial is TmApp-only,Unresolved by absence of HIC factorial,Tier4_Unresolved_contradictory,Tier4_Unresolved_contradictory,INTERPRETATION,as_original_audit,mixed_or_absent,MIXED,Carried from original audit; not re-litigated as Tier1/2 focus except noted.
Whether local aromatic patches beat global aromatic SASA for predictive HIC,Tier3_Suggestive,B6.4 structure; AROMATIC-TOPO patch features; HSP atlas,residue F1 failed vs Ab-level,mixed,mixed,gate_b6_4; AROMATIC-TOPO; HSP atlas; H128-H133,Patch features exist; residue injection failed; Ab-level SURFACE still wins,Tier3_Suggestive,Tier3_Suggestive,INTERPRETATION,as_original_audit,mixed_or_absent,MIXED,Carried from original audit; not re-litigated as Tier1/2 focus except noted.
VH vs VL dominance for HIC,Tier3_Suggestive,B6.4 VH hydrophobic SASA Cliffs>VL; Phase2A H-only models,,mixed small-n,mixed,gate_b6_4_hic_high_tail/reports/03_high_hic_structure_mechanism.md; EXP-H024–H033,Suggestive VH/CDRH3 enrichment; not factorial-resolved,Tier3_Suggestive,Tier3_Suggestive,INTERPRETATION,as_original_audit,mixed_or_absent,MIXED,Carried from original audit; not re-litigated as Tier1/2 focus except noted.
H137 FiLM external Overall 0.3907 is a confirmed architecture advance,Tier3_Suggestive,EXP-H137,CASE D: worse TEST_mean vs hist F1; do not run H140,V3,External reported after internal,HIC_GLOBAL_F1_SURFACE_CONDITIONING_REPORT.md,Post-hoc external interest; internal selection would not pick it over F1 late fusion,Tier3_Suggestive,Tier3_Suggestive,INTERPRETATION,as_original_audit,mixed_or_absent,POST_PRIVATE,Carried from original audit; not re-litigated as Tier1/2 focus except noted.
HIGH-HIC (HIC>11.5) absolute error is large relative to overall MAE,Tier1_Established,GATE-B6.2 Nested; GATE-B6.4; GATE-B7-VC,,CAND_12528; HIGH band,MIXED,gate_b6_2_hic_validity/reports/06_hic_developability_band_audit.md; gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,Nested HIGH-band MAE Train/Pub/Priv 2.017/3.072/1.605 vs overall ~0.47,Tier1_Established_SPLIT,Tier1_Established,OBSERVATION,multi_model_multi_role,CAND_12528 numeric; qualitative portable,MIXED,SPLIT from compound HIGH claim. Observation only.
Prediction dynamic range is compressed relative to observed HIC (under-dispersion),Tier1_Established,GATE-B6.2 shrinkage; GATE-B6.4 regression-to-center STRONG,,CAND_12528 OOF/CV,INTERNAL_ONLY,gate_b6_2_hic_validity/reports/02_prediction_shrinkage.md,Nested pred_SD/obs_SD≈0.561; artificial α<1 improves MAE,Tier1_Established_SPLIT,Tier1_Established,OBSERVATION,multi_model_shrinkage_grid,CAND_12528,INTERNAL_ONLY,SPLIT: range compression distinct from HIGH underprediction.
HIGH-tail failure is caused solely by insufficient data (n≈13),Tier4_Unresolved_contradictory,GATE-B6.4 sample scarcity STRONG,B6.4 also: partial missing-feature signal; physchem can improve Train HIGH diagnostics; partially learnable,CAND_12528,MIXED,gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,Scarcity is a primary mechanism candidate but not sole cause,NEW_FROM_SPLIT,Tier4_Unresolved_contradictory,CAUSAL_HYPOTHESIS,single_gate_multi_hypothesis,CAND_12528,MIXED,NEW split: sole-cause data-limit REJECTED as Established. Scarcity supported as contributing factor (Tier2 parent claim).
HIGH-tail failure is proven not representation-limited,Tier4_Unresolved_contradictory,,B6.4 incomplete surface/physchem capture; ESMFN closer 8/13; SURFACE/HSP later gains on overall MAE do not prove tail solved,mixed,MIXED,gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md; HIC_H047_FEATURE_FUSION_REPORT.md,No experiment shows representation saturation on HIGH subset,NEW_FROM_SPLIT,Tier4_Unresolved_contradictory,CAUSAL_HYPOTHESIS,absent,N/A,MIXED,NEW: NOT SUPPORTED. Cannot derive from observations 1–3.
V3 architecture results imply a general HIC architecture ceiling independent of representation/annotation/HP,Tier4_Unresolved_contradictory,,"H054–H081 only ESM2|Scratch, annotation FULL, seed 101, fixed LR grid; no AbLang2/CurrAb/annot factorial",dl_foldlocal_cosine_v3,INTERNAL_ONLY,HIC_NEW_DL_MASTER_TABLE.csv; EXP-H054.yaml,GENERAL_ARCHITECTURE_CEILING not warranted,NEW_FROM_SPLIT,Tier4_Unresolved_contradictory,INTERPRETATION,overclaim_vs_28_cells,tested config only,INTERNAL_ONLY,NEW split from plateau claim. Observed plateau remains Tier1 under tested configuration.
SURFACE late fusion is a generally superior HIC representation (beyond tested V3 aux setting),Tier3_Suggestive,H082–H093,Not compared as standalone encoder replacement; organizer AROMATIC redundant vs Round1 surface; HSP additive story,V3 late fusion,MIXED,HIC_H047_FEATURE_FUSION_REPORT.md,Over-scope vs evidence,NEW_FROM_SPLIT,Tier3_Suggestive,INTERPRETATION,single_protocol_aux_setting,V3 aux only,MIXED,NEW: distinguish from Tier1 observation that SURFACE aux improves seq DL backbones.
Aromatic residue count alone (seq Y/W/F) explains HIC as well as exposed-aromatic geometry,Tier4_Unresolved_contradictory,,SIGNAL_SOURCE_AUDIT: AROMATIC and combo beat seq YWF,organizer signal-source audit,POST_PRIVATE,SIGNAL_SOURCE_AUDIT_JA.md,Contradicted by GEOMETRY_ADDS_SIGNAL,NEW_FROM_SPLIT,Tier4_Unresolved_contradictory,INTERPRETATION,directly_contradicted,organizer audit,POST_PRIVATE,NEW negative of seq-only sufficiency.
Aromatic chemistry itself is the causal driver of HIC retention,Tier4_Unresolved_contradictory,,SIGNAL_SOURCE_AUDIT explicit non-causal; original Tier4,post-hoc,POST_PRIVATE,SIGNAL_SOURCE_AUDIT_JA.md,Duplicate strengthened wording of original Tier4 causal claim,Tier4_Unresolved_contradictory,Tier4_Unresolved_contradictory,CAUSAL_HYPOTHESIS,not_claimed_by_repo,N/A,POST_PRIVATE,Remains non-Established. Associative/predictive evidence only.
