feature,family,chain_scope,description,aggregation,units,qc_dependency,notes,target_used
VL_rg_mean,NEW_SHAPE,VL,Mean radius of gyration over physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_rg_mean,NEW_SHAPE,combined_VH_VL,Mean radius of gyration over physical frames,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_rg_mean,NEW_SHAPE,combined_VH_VL,Mean radius of gyration over physical frames,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_rg_mean,NEW_SHAPE,combined_VH_VL,Mean radius of gyration over physical frames,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_rg_sd,NEW_SHAPE,VH,SD of radius of gyration over physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_rg_sd,NEW_SHAPE,VL,SD of radius of gyration over physical frames,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_rg_sd,NEW_SHAPE,combined_VH_VL,SD of radius of gyration over physical frames,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_rg_sd,NEW_SHAPE,combined_VH_VL,SD of radius of gyration over physical frames,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_rg_sd,NEW_SHAPE,combined_VH_VL,SD of radius of gyration over physical frames,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_contact_mean_occ,NEW_CONTACT,VH,"Mean contact-pair occupancy (CA–CA < 0.8 nm, sequence sep≥4)",Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_contact_mean_occ,NEW_CONTACT,VL,"Mean contact-pair occupancy (CA–CA < 0.8 nm, sequence sep≥4)",Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_contact_mean_occ,NEW_CONTACT,combined_VH_VL,"Mean contact-pair occupancy (CA–CA < 0.8 nm, sequence sep≥4)","nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_contact_mean_occ,NEW_CONTACT,combined_VH_VL,"Mean contact-pair occupancy (CA–CA < 0.8 nm, sequence sep≥4)","nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_contact_mean_occ,NEW_CONTACT,combined_VH_VL,"Mean contact-pair occupancy (CA–CA < 0.8 nm, sequence sep≥4)",abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_contact_frac_persistent,NEW_CONTACT,VH,Fraction of contacts with occupancy ≥0.8,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_contact_frac_persistent,NEW_CONTACT,VL,Fraction of contacts with occupancy ≥0.8,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_contact_frac_persistent,NEW_CONTACT,combined_VH_VL,Fraction of contacts with occupancy ≥0.8,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_contact_frac_persistent,NEW_CONTACT,combined_VH_VL,Fraction of contacts with occupancy ≥0.8,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_contact_frac_persistent,NEW_CONTACT,combined_VH_VL,Fraction of contacts with occupancy ≥0.8,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_contact_frac_labile,NEW_CONTACT,VH,"Fraction of contacts with occupancy in (0.2, 0.8)",Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_contact_frac_labile,NEW_CONTACT,VL,"Fraction of contacts with occupancy in (0.2, 0.8)",Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_contact_frac_labile,NEW_CONTACT,combined_VH_VL,"Fraction of contacts with occupancy in (0.2, 0.8)","nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_contact_frac_labile,NEW_CONTACT,combined_VH_VL,"Fraction of contacts with occupancy in (0.2, 0.8)","nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_contact_frac_labile,NEW_CONTACT,combined_VH_VL,"Fraction of contacts with occupancy in (0.2, 0.8)",abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_contact_occ_entropy,NEW_CONTACT,VH,Mean binary entropy of contact occupancy,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_contact_occ_entropy,NEW_CONTACT,VL,Mean binary entropy of contact occupancy,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_contact_occ_entropy,NEW_CONTACT,combined_VH_VL,Mean binary entropy of contact occupancy,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_contact_occ_entropy,NEW_CONTACT,combined_VH_VL,Mean binary entropy of contact occupancy,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_contact_occ_entropy,NEW_CONTACT,combined_VH_VL,Mean binary entropy of contact occupancy,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_rmsf_cdr_mean,NEW_FLEX,VH,Mean CA-RMSF over CDR residues (IMGT map),Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_rmsf_cdr_mean,NEW_FLEX,VL,Mean CA-RMSF over CDR residues (IMGT map),Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_rmsf_cdr_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over CDR residues (IMGT map),"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_rmsf_cdr_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over CDR residues (IMGT map),"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_rmsf_cdr_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over CDR residues (IMGT map),abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_rmsf_fw_mean,NEW_FLEX,VH,Mean CA-RMSF over framework residues,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_rmsf_fw_mean,NEW_FLEX,VL,Mean CA-RMSF over framework residues,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_rmsf_fw_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over framework residues,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_rmsf_fw_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over framework residues,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
absdiff_rmsf_fw_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over framework residues,abs(VH−VL) of per-chain descriptor after independent sampling,nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VH_rmsf_cdr3_mean,NEW_FLEX,VH,Mean CA-RMSF over CDR3 residues,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
VL_rmsf_cdr3_mean,NEW_FLEX,VL,Mean CA-RMSF over CDR3 residues,Aggregated over physically filtered BioEmu frames for that chain (frozen Nphys=8 when available),nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
mean_rmsf_cdr3_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over CDR3 residues,"nanmean(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
max_rmsf_cdr3_mean,NEW_FLEX,combined_VH_VL,Mean CA-RMSF over CDR3 residues,"nanmax(VH, VL) of per-chain descriptor after independent sampling",nm for RMSD/RMSF/Rg; occupancy/fraction/entropy dimensionless for contacts,Requires usable physical frames per chain (see qc.csv vh_usable_frames / vl_usable_frames); cohort features used Nphys=8,VH and VL sampled independently (isolated monomers). Target labels NOT used. Not normalized beyond descriptor definition.,NO
