high_id,high_HIC,control_id,control_HIC,control_band,paired_identity,family_match,match_score
ADI-45435,11.905,ADI-47154,10.949,MEDIUM,0.20922882427307204,1,10.96614412136536
ADI-45433,12.08,ADI-45477,10.362,LOW,0.8961421098517872,2,24.470710549258936
ADI-45433,12.08,ADI-45388,8.984,LOW,0.7453917050691243,2,23.686958525345624
ADI-45433,12.08,ADI-47191,8.882,LOW,0.7368951612903225,2,23.65447580645161
ADI-45433,12.08,ADI-47259,10.717,MEDIUM,0.6530817972350231,2,23.245408986175118
ADI-45433,12.08,ADI-47149,10.503,MEDIUM,0.563508064516129,1,12.797540322580645
ADI-45433,12.08,ADI-45410,11.235,MEDIUM,0.5034001431639227,1,12.467000715819612
ADI-45498,12.449,ADI-47290,8.897,LOW,0.7981240981240981,2,23.96062049062049
ADI-45498,12.449,ADI-47166,10.09,LOW,0.75859375,2,23.77296875
ADI-45498,12.449,ADI-47281,8.644,LOW,0.7345598845598846,2,23.612799422799423
ADI-45498,12.449,ADI-45425,11.09,MEDIUM,0.7350922350922351,1,13.665461175461177
ADI-45498,12.449,ADI-47152,10.551,MEDIUM,0.5824675324675325,1,12.872337662337664
ADI-45498,12.449,ADI-47151,10.546,MEDIUM,0.5201298701298701,1,12.560649350649351
ADI-45486,13.856,ADI-45461,9.202,LOW,0.811704042081949,2,24.038520210409747
ADI-45486,13.856,ADI-47122,9.285,LOW,0.740171650055371,2,23.640858250276857
ADI-45486,13.856,ADI-47190,8.877,LOW,0.6972937430786268,2,23.376468715393134
ADI-45486,13.856,ADI-47259,10.717,MEDIUM,0.720203488372093,2,23.551017441860463
ADI-45486,13.856,ADI-47149,10.503,MEDIUM,0.48646871539313397,1,12.382343576965669
ADI-45486,13.856,ADI-47151,10.546,MEDIUM,0.3588385935769657,1,11.704192967884829
