id,cav_total,cav_largest,cav_count,cav_vol_frac,cav_VH_total,cav_VH_largest,cav_VL_total,cav_VL_largest,cav_CH1_total,cav_CH1_largest,cav_CL_total,cav_CL_largest,pack_fab_mean,pack_fab_median,pack_fab_q10,pack_VH_mean,pack_VH_median,pack_VH_q10,pack_VL_mean,pack_VL_median,pack_VL_q10,pack_CH1_mean,pack_CH1_median,pack_CH1_q10,pack_CL_mean,pack_CL_median,pack_CL_q10,pack_CDR_mean,pack_CDR_median,pack_CDR_q10,pack_FW_mean,pack_FW_median,pack_FW_q10
ADI-47281,204.0,58.0,9.0,0.0007109401137504182,74.05614714424007,74.05614714424007,53.320425943852854,53.320425943852854,50.555663117134564,50.555663117134564,52.333010648596314,52.333010648596314,38.77725118483412,39.0,29.0,39.241379310344826,39.0,31.0,38.925925925925924,39.0,30.3,37.84313725490196,39.0,29.0,39.041666666666664,37.0,29.4,38.36,39.0,31.8,39.298850574712645,39.0,30.6
ADI-47175,123.0,33.0,5.0,0.00041338979632990524,44.46923076923077,44.46923076923077,40.684615384615384,40.684615384615384,29.922115384615385,29.922115384615385,30.986538461538462,30.986538461538462,39.38604651162791,38.0,30.400000000000002,40.625,40.0,33.0,39.31481481481482,39.0,29.0,37.55102040816327,36.0,28.6,39.6875,38.0,31.7,39.96,39.0,33.4,40.043010752688176,39.0,31.200000000000003
ADI-47282,248.0,45.0,10.0,0.0007953612479474548,80.13370473537604,80.13370473537604,90.49582172701949,90.49582172701949,56.41597028783658,56.41597028783658,67.46889507892294,67.46889507892294,39.235849056603776,39.0,30.0,40.3,41.0,29.0,39.679245283018865,39.0,32.0,37.549019607843135,37.0,29.0,39.208333333333336,38.0,31.7,38.22727272727273,39.0,28.1,40.43956043956044,40.0,32.0
ADI-47283,221.0,63.0,8.0,0.0008346173600410888,75.63298379408961,75.63298379408961,63.203050524308864,63.203050524308864,56.67206863679695,56.67206863679695,62.57102001906577,62.57102001906577,39.433179723502306,39.0,30.0,40.04838709677419,40.0,30.0,40.421052631578945,40.0,29.6,37.55102040816327,37.0,29.8,39.38775510204081,38.0,30.8,41.13793103448276,40.0,30.0,39.93333333333333,39.0,29.0
ADI-47059,200.0,42.0,8.0,0.0006098750975800156,58.435438265787,58.435438265787,65.03298774740811,65.03298774740811,57.30442978322338,57.30442978322338,60.69745523091423,60.69745523091423,39.51923076923077,39.0,30.0,41.23728813559322,41.0,32.8,39.0377358490566,39.0,27.6,37.97959183673469,37.0,29.0,39.51063829787234,38.0,32.0,37.91304347826087,39.0,29.2,40.78651685393258,40.0,32.0
ADI-47060,217.0,64.0,8.0,0.0007775826853477622,69.84134179510426,69.84134179510426,67.87398005439711,67.87398005439711,60.00453309156845,60.00453309156845,64.52946509519492,64.52946509519492,39.33170731707317,38.0,30.0,40.41379310344828,39.5,29.7,39.21153846153846,38.0,28.0,37.895833333333336,37.0,30.0,39.59574468085106,38.0,31.6,37.19047619047619,33.0,27.0,40.47191011235955,39.0,31.8
ADI-47178,304.0,61.0,12.0,0.0009616540449573266,110.23551401869159,110.23551401869159,81.82429906542056,81.82429906542056,81.82429906542056,81.82429906542056,82.10841121495328,82.10841121495328,39.38388625592417,38.0,30.0,39.725806451612904,40.0,30.0,39.9811320754717,39.0,30.0,38.0,37.5,30.4,39.666666666666664,38.0,32.0,40.041666666666664,38.5,33.0,39.79120879120879,40.0,30.0
ADI-47177,158.0,42.0,7.0,0.0005445271574303832,48.63891577928364,48.63891577928364,49.709583736689254,49.709583736689254,39.30880929332043,39.30880929332043,41.29719264278799,41.29719264278799,39.371980676328505,38.0,30.0,40.903225806451616,41.0,30.1,38.7,38.0,30.0,37.8125,36.0,30.0,39.659574468085104,38.0,31.6,39.52173913043478,39.0,29.2,40.02247191011236,40.0,30.0
ADI-47284,217.0,74.0,8.0,0.0007297551789077213,82.9083820662768,82.9083820662768,67.0458089668616,67.0458089668616,57.31676413255361,57.31676413255361,48.43372319688109,48.43372319688109,39.128571428571426,39.0,29.0,40.067796610169495,39.0,30.0,38.839285714285715,39.0,29.0,38.276595744680854,39.0,29.0,39.145833333333336,36.5,29.4,38.08695652173913,38.0,29.0,39.81521739130435,39.0,30.0
ADI-47179,162.0,45.0,6.0,0.0004400559577328969,54.72073921971252,54.72073921971252,43.74332648870636,43.74332648870636,44.90759753593429,44.90759753593429,47.06981519507187,47.06981519507187,39.45754716981132,39.0,30.0,40.9344262295082,41.0,33.0,39.666666666666664,39.0,29.0,37.53846153846154,37.0,29.0,39.4375,37.5,31.7,41.25,39.0,32.9,40.16304347826087,40.0,31.0
ADI-47180,208.0,49.0,9.0,0.000575858250276855,65.73776908023484,65.73776908023484,68.3835616438356,68.3835616438356,55.154598825831705,55.154598825831705,58.00391389432485,58.00391389432485,39.526315789473685,38.0,30.0,41.54385964912281,42.0,32.0,39.333333333333336,38.5,30.0,37.32,37.0,28.700000000000003,39.645833333333336,38.0,32.0,40.578947368421055,41.0,31.6,40.44565217391305,39.0,30.1
ADI-45439,317.0,123.0,9.0,0.0009036900200693304,99.0097604259095,99.0097604259095,91.97781721384206,91.97781721384206,83.53948535936112,83.53948535936112,106.04170363797692,106.04170363797692,38.7122641509434,38.0,30.0,38.95,38.0,29.9,38.886792452830186,39.0,28.4,37.627450980392155,37.0,29.0,39.375,38.0,31.7,39.1578947368421,40.0,30.8,38.87234042553192,38.0,29.0
ADI-45368,303.0,43.0,11.0,0.0010238423485524287,108.04446381865736,108.04446381865736,82.42022667829119,82.42022667829119,89.28857890148213,89.28857890148213,84.79773321708807,84.79773321708807,39.44651162790698,39.0,30.400000000000002,40.79032258064516,40.0,32.1,39.867924528301884,39.0,30.2,37.333333333333336,36.0,28.0,39.48979591836735,38.0,30.8,40.3,39.5,29.9,40.37894736842105,39.0,31.4
ADI-47062,140.0,25.0,7.0,0.00045457497240080524,39.14988814317673,39.14988814317673,39.77628635346756,39.77628635346756,44.630872483221474,44.630872483221474,40.71588366890381,40.71588366890381,39.333333333333336,38.0,30.0,40.23728813559322,40.0,30.6,39.490196078431374,39.0,30.0,37.61224489795919,36.0,29.8,39.8125,38.0,32.0,38.3,36.5,27.9,40.24444444444445,39.5,30.9
ADI-47182,237.0,66.0,8.0,0.0008858488450325185,87.62241887905606,87.62241887905606,77.83480825958702,77.83480825958702,50.56932153392331,50.56932153392331,65.25073746312685,65.25073746312685,39.1042654028436,38.0,30.0,40.16129032258065,40.0,31.0,38.886792452830186,39.0,28.2,37.61224489795919,36.0,28.8,39.51063829787234,38.0,31.6,37.84,38.0,29.200000000000003,40.05555555555556,40.0,29.9
ADI-47063,172.0,43.0,7.0,0.00048635931773967334,47.86386386386386,47.86386386386386,58.53853853853854,58.53853853853854,45.28128128128128,45.28128128128128,49.75775775775775,49.75775775775775,39.12019230769231,39.0,30.0,39.295081967213115,39.0,31.0,39.55769230769231,39.0,31.1,37.583333333333336,37.0,28.0,39.97872340425532,38.0,32.0,39.0,38.5,30.0,39.505376344086024,39.0,31.200000000000003
ADI-47183,202.0,46.0,8.0,0.0006046455938697318,58.09018036072145,58.09018036072145,56.875751503006015,56.875751503006015,59.30460921843688,59.30460921843688,66.38877755511022,66.38877755511022,39.53883495145631,38.0,31.0,40.21666666666667,39.0,32.0,39.92156862745098,39.0,31.0,37.854166666666664,37.0,29.7,39.97872340425532,38.0,32.0,40.77777777777778,38.5,32.0,39.946236559139784,39.0,31.0
ADI-47064,247.0,45.0,9.0,0.0007986910520733631,70.53505154639174,70.53505154639174,84.79484536082474,84.79484536082474,64.4237113402062,64.4237113402062,57.80309278350516,57.80309278350516,39.04390243902439,39.0,29.0,39.766666666666666,39.0,29.9,38.55769230769231,38.0,27.0,38.212765957446805,39.0,29.6,39.5,38.5,29.5,37.68181818181818,38.5,27.2,39.577777777777776,39.0,29.0
ADI-47066,169.0,44.0,6.0,0.0005764652108361816,52.28542914171657,52.28542914171657,57.513972055888225,57.513972055888225,44.02095808383233,44.02095808383233,46.719560878243506,46.719560878243506,39.61611374407583,39.0,31.0,40.70175438596491,41.0,31.6,40.03508771929825,39.0,32.0,38.208333333333336,37.0,29.7,39.244897959183675,37.0,31.8,40.0,39.0,31.1,40.45652173913044,40.5,32.0
ADI-45379,159.0,37.0,8.0,0.0005612741983310035,46.77349624060151,46.77349624060151,55.590225563909776,55.590225563909776,40.34774436090226,40.34774436090226,44.53195488721804,44.53195488721804,39.907766990291265,39.0,31.0,41.1551724137931,41.5,32.7,40.27777777777778,39.5,31.3,38.06521739130435,37.5,29.5,39.75,38.0,32.0,40.5,40.0,30.8,40.78260869565217,40.5,32.0
ADI-47067,364.0,70.0,14.0,0.0009844010298349236,140.30285152409044,140.30285152409044,113.45919370698131,113.45919370698131,88.7630285152409,88.7630285152409,85.89970501474926,85.89970501474926,38.889952153110045,39.0,28.0,40.03333333333333,40.0,29.9,38.24074074074074,38.0,28.3,37.6530612244898,38.0,25.8,39.47826086956522,38.0,31.0,36.458333333333336,37.0,25.6,39.91111111111111,40.0,30.0
ADI-47068,163.0,41.0,6.0,0.000557447914529213,47.76784015223597,47.76784015223597,50.0941960038059,50.0941960038059,48.23311132254995,48.23311132254995,49.318744053282586,49.318744053282586,39.78365384615385,39.0,31.0,40.96610169491525,43.0,31.8,40.425925925925924,39.5,31.0,37.791666666666664,37.0,30.0,39.59574468085106,38.0,31.6,42.291666666666664,44.0,31.900000000000002,40.28089887640449,40.0,31.0
ADI-47069,377.0,125.0,9.0,0.0011031132958801498,127.4449685534591,127.4449685534591,112.03301886792453,112.03301886792453,112.92216981132076,112.92216981132076,119.73899371069182,119.73899371069182,39.44859813084112,39.0,30.0,39.86206896551724,39.5,31.4,40.56140350877193,41.0,32.6,38.08,38.0,29.9,39.06122448979592,38.0,30.8,38.13636363636363,37.5,32.1,40.69892473118279,41.0,32.0
ADI-47070,236.0,43.0,10.0,0.0006551551829437566,72.37651821862347,72.37651821862347,79.78137651821864,79.78137651821864,66.40485829959513,66.40485829959513,63.060728744939276,63.060728744939276,38.716981132075475,38.5,28.1,38.84126984126984,39.0,29.0,39.166666666666664,39.5,29.3,38.08695652173913,37.5,27.5,38.6530612244898,36.0,28.0,36.64,38.0,27.4,39.630434782608695,39.5,29.1
ADI-45442,103.0,37.0,4.0,0.0003815040891312078,29.951055662188104,29.951055662188104,34.59692898272553,34.59692898272553,27.87523992322457,27.87523992322457,29.456813819577736,29.456813819577736,39.10328638497653,38.0,30.0,39.640625,39.0,29.0,38.72727272727273,38.0,28.0,38.12765957446808,37.0,31.0,39.787234042553195,38.0,32.0,38.09090909090909,36.0,30.0,39.47422680412371,39.0,28.6
ADI-47184,165.0,37.0,8.0,0.0004980440452042886,61.395348837209305,61.395348837209305,44.127906976744185,44.127906976744185,42.68895348837209,42.68895348837209,44.44767441860465,44.44767441860465,39.39810426540284,38.0,31.0,40.145161290322584,40.0,31.1,39.698113207547166,39.0,30.0,38.06122448979592,37.0,30.8,39.46808510638298,38.0,32.0,40.083333333333336,40.0,32.3,39.9010989010989,40.0,30.0
ADI-47073,225.0,45.0,9.0,0.0007014590347923681,75.0,75.0,77.602523659306,77.602523659306,54.17981072555205,54.17981072555205,53.47003154574132,53.47003154574132,39.45023696682465,39.0,30.0,41.29824561403509,41.0,31.6,39.25454545454546,39.0,31.0,37.84313725490196,38.0,29.0,39.1875,37.5,29.4,40.63636363636363,40.0,34.0,40.21111111111111,39.0,31.0
ADI-46682,200.0,43.0,8.0,0.000691519891569681,52.46212121212122,52.46212121212122,57.1969696969697,57.1969696969697,65.3409090909091,65.3409090909091,65.3409090909091,65.3409090909091,39.779411764705884,39.0,31.0,41.50877192982456,42.0,32.0,39.94,39.0,30.9,37.520833333333336,36.0,28.7,39.816326530612244,38.0,32.0,41.05882352941177,38.0,32.6,40.72222222222222,40.0,31.0
ADI-47074,190.0,57.0,7.0,0.0005952380952380953,66.38799571275456,66.38799571275456,53.15112540192926,53.15112540192926,47.44908896034298,47.44908896034298,51.92926045016077,51.92926045016077,39.54794520547945,38.0,30.0,40.13636363636363,40.0,30.0,40.41818181818182,39.0,31.4,37.97959183673469,38.0,29.0,39.3469387755102,38.0,30.8,39.3448275862069,39.0,30.0,40.55434782608695,40.5,31.0
ADI-47186,137.0,26.0,6.0,0.00039883783893938246,47.39885057471264,47.39885057471264,45.0367816091954,45.0367816091954,33.85632183908046,33.85632183908046,34.95862068965518,34.95862068965518,38.986301369863014,39.0,29.0,40.114754098360656,40.0,31.0,38.96363636363636,39.0,27.4,37.92156862745098,38.0,28.0,38.73076923076923,37.0,30.0,37.416666666666664,36.0,25.5,40.130434782608695,40.0,29.1
ADI-45370,113.0,26.0,6.0,0.00028893161781250637,34.985310734463276,34.985310734463276,40.092655367231636,40.092655367231636,30.51638418079096,30.51638418079096,27.068926553672316,27.068926553672316,39.308457711442784,39.0,30.0,39.78947368421053,39.0,31.0,39.31372549019608,40.0,30.0,38.354166666666664,39.0,29.7,39.71111111111111,38.0,30.8,39.04761904761905,38.0,31.0,39.689655172413794,40.0,30.6
ADI-47077,149.0,32.0,7.0,0.00039417989417989417,55.12227979274611,55.12227979274611,41.997927461139895,41.997927461139895,38.44663212435233,38.44663212435233,37.983419689119174,37.983419689119174,39.3696682464455,39.0,29.0,39.67741935483871,38.5,30.200000000000003,39.96363636363636,39.0,30.0,38.48936170212766,38.0,29.0,39.148936170212764,37.0,28.0,36.84,36.0,29.8,40.619565217391305,40.0,30.0
ADI-47079,166.0,49.0,6.0,0.00059391771019678,44.135629709364906,44.135629709364906,57.0010764262648,57.0010764262648,45.20775026910657,45.20775026910657,46.279870828848225,46.279870828848225,38.949074074074076,38.0,29.0,39.442622950819676,39.0,31.0,39.648148148148145,40.0,29.0,37.3921568627451,36.0,29.0,39.18,38.0,31.9,38.608695652173914,38.0,29.0,39.77173913043478,39.0,29.1
ADI-47289,330.0,98.0,9.0,0.0009500941456926186,95.59040590405904,95.59040590405904,133.6439114391144,133.6439114391144,84.63099630996311,84.63099630996311,92.85055350553506,92.85055350553506,39.480582524271846,38.0,31.0,40.59322033898305,40.0,31.0,39.34615384615385,38.0,31.0,38.32608695652174,38.0,30.5,39.36734693877551,38.0,31.6,40.6,39.0,31.9,39.879120879120876,39.0,29.0
ADI-47191,299.0,105.0,9.0,0.0010890151515151516,90.00252951096121,90.00252951096121,85.71669477234403,85.71669477234403,93.53204047217538,93.53204047217538,104.12057335581787,104.12057335581787,39.367441860465114,39.0,31.0,41.61904761904762,41.0,33.0,38.301886792452834,39.0,30.0,37.745098039215684,37.0,29.0,39.3125,38.0,31.7,39.5,39.0,31.3,40.26086956521739,40.0,31.1
ADI-47192,363.0,41.0,14.0,0.00101836422090929,146.06507791017415,146.06507791017415,117.45096241979836,117.45096241979836,87.50595783684693,87.50595783684693,78.5224564619615,78.5224564619615,38.649532710280376,38.0,29.0,39.53225806451613,40.0,29.200000000000003,37.767857142857146,36.0,27.5,38.255319148936174,39.0,28.400000000000002,38.91836734693877,36.0,29.6,37.851851851851855,39.0,31.6,38.94505494505494,38.0,28.0
ADI-47290,133.0,56.0,4.0,0.0004685408299866131,51.14300847457627,51.14300847457627,40.858050847457626,40.858050847457626,28.741525423728813,28.741525423728813,31.559322033898304,31.559322033898304,38.820754716981135,39.0,29.0,39.698412698412696,40.0,31.0,38.666666666666664,39.0,30.0,37.59183673469388,39.0,26.0,39.08163265306123,37.0,28.8,39.03846153846154,39.0,30.5,39.29545454545455,39.5,30.700000000000003
ADI-47195,185.0,57.0,7.0,0.0005294184981684981,57.486965589155375,57.486965589155375,49.770594369134514,49.770594369134514,53.05005213764338,53.05005213764338,60.18769551616267,60.18769551616267,38.98571428571429,39.0,30.0,39.17741935483871,39.5,30.1,39.0377358490566,39.0,30.0,38.40425531914894,39.0,29.0,39.25,37.5,29.4,37.25,36.5,29.3,39.604395604395606,39.0,30.0
ADI-47196,244.0,80.0,7.0,0.0006723985890652557,65.50499001996008,65.50499001996008,87.66467065868264,87.66467065868264,68.18363273453093,68.18363273453093,67.69660678642714,67.69660678642714,38.84651162790698,39.0,29.0,40.47540983606557,41.0,31.0,38.214285714285715,37.5,28.5,37.62,38.5,27.700000000000003,38.791666666666664,36.5,28.7,38.30769230769231,38.5,29.5,39.7032967032967,40.0,29.0
ADI-47083,345.0,82.0,13.0,0.0009334415584415584,142.85834031852474,142.85834031852474,114.51802179379716,114.51802179379716,77.50209555741827,77.50209555741827,76.34534786253144,76.34534786253144,38.925233644859816,38.0,29.0,39.73770491803279,38.0,32.0,39.05357142857143,37.5,29.0,37.372549019607845,38.0,27.0,39.41304347826087,38.0,29.5,38.607142857142854,38.5,29.4,39.662921348314605,38.0,31.0
ADI-47198,298.0,112.0,8.0,0.001042278743109768,73.10391822827938,73.10391822827938,76.9114139693356,76.9114139693356,104.32538330494037,104.32538330494037,104.57921635434413,104.57921635434413,39.45497630331754,38.0,30.0,40.32786885245902,40.0,30.0,39.666666666666664,38.0,31.0,37.83673469387755,37.0,29.8,39.765957446808514,38.0,32.0,40.65,40.0,28.9,39.88421052631579,39.0,31.0
ADI-47199,287.0,51.0,11.0,0.0009173666781737051,92.0326855123675,92.0326855123675,88.99028268551237,88.99028268551237,74.79240282685512,74.79240282685512,88.48321554770318,88.48321554770318,39.509433962264154,39.0,31.0,40.59322033898305,40.0,32.0,40.0,39.0,32.0,37.84,37.0,28.9,39.36734693877551,38.0,32.0,40.31818181818182,39.5,30.3,40.30769230769231,40.0,32.0
ADI-47201,245.0,38.0,11.0,0.0006272401433691756,72.66533066132266,72.66533066132266,79.04809619238476,79.04809619238476,66.0370741482966,66.0370741482966,72.41983967935872,72.41983967935872,38.6303317535545,38.0,28.0,39.793103448275865,39.5,31.0,37.836363636363636,38.0,26.0,37.72,38.0,28.0,39.083333333333336,36.5,28.7,36.59090909090909,34.5,26.4,39.38461538461539,39.0,29.0
ADI-45447,270.0,73.0,9.0,0.0009282497335579468,87.80296425457716,87.80296425457716,97.45422842197036,97.45422842197036,61.90932868352223,61.90932868352223,66.38186573670444,66.38186573670444,39.25592417061611,38.0,29.0,40.62903225806452,40.0,32.1,39.0188679245283,39.0,29.2,37.32,37.0,27.9,39.78260869565217,38.0,32.0,39.77272727272727,42.5,27.2,39.913978494623656,39.0,30.400000000000002
ADI-47293,337.0,68.0,13.0,0.0011648646406548129,113.769820971867,113.769820971867,104.00170502983804,104.00170502983804,87.62574595055413,87.62574595055413,82.74168797953965,82.74168797953965,38.971830985915496,39.0,29.0,40.0,40.0,31.0,38.54716981132076,39.0,27.2,37.7,37.0,29.0,39.4375,38.0,31.7,37.75,39.5,26.900000000000002,39.747252747252745,40.0,29.0
ADI-45378,231.0,100.0,7.0,0.0007984680474518154,83.81614785992218,83.81614785992218,66.96303501945526,66.96303501945526,57.75,57.75,66.28891050583657,66.28891050583657,39.91904761904762,39.0,30.900000000000002,40.77049180327869,40.0,31.0,40.75,40.0,31.5,38.19565217391305,37.5,30.0,39.51063829787234,38.0,31.6,42.28,40.0,30.8,40.34782608695652,40.0,31.1
ADI-47204,126.0,34.0,6.0,0.0002983420704939692,36.17289220917823,36.17289220917823,37.65208110992529,37.65208110992529,35.76947705442903,35.76947705442903,36.17289220917823,36.17289220917823,39.06976744186046,39.0,29.0,39.1875,40.0,30.3,40.07272727272727,39.0,32.0,37.59183673469388,38.0,27.6,39.276595744680854,37.0,29.0,37.81481481481482,39.0,29.6,40.119565217391305,39.0,32.0
ADI-47093,131.0,40.0,5.0,0.0004164176637379684,35.842274678111586,35.842274678111586,35.13948497854077,35.13948497854077,44.27575107296138,44.27575107296138,41.18347639484979,41.18347639484979,39.59605911330049,39.0,31.0,41.607142857142854,41.0,32.0,39.19607843137255,38.0,29.0,37.791666666666664,37.5,30.4,39.479166666666664,38.0,32.0,41.77777777777778,41.5,33.7,40.19101123595506,39.0,30.8
ADI-47297,207.0,58.0,7.0,0.0006861097576739885,64.24137931034483,64.24137931034483,68.6784715750233,68.6784715750233,56.33178005591798,56.33178005591798,59.80428704566636,59.80428704566636,39.57843137254902,39.0,31.0,40.186440677966104,40.0,30.8,40.06122448979592,39.0,31.8,38.170212765957444,37.0,30.200000000000003,39.714285714285715,38.0,31.6,41.142857142857146,42.0,31.0,39.88505747126437,39.0,31.0
ADI-45440,52.0,18.0,3.0,0.0001867816091954023,15.88177339901478,15.88177339901478,15.241379310344826,15.241379310344826,15.177339901477833,15.177339901477833,14.088669950738916,14.088669950738916,39.2122641509434,39.0,29.0,40.771929824561404,41.0,32.6,38.8421052631579,39.0,28.0,37.7,38.0,27.9,39.375,38.5,31.0,38.05263157894737,37.0,28.0,40.1578947368421,40.0,30.0
ADI-47209,194.0,56.0,7.0,0.0007065850815850816,67.124,67.124,62.08,62.08,47.918,47.918,47.724,47.724,39.367441860465114,39.0,30.0,39.77049180327869,40.0,31.0,40.25,40.0,29.0,37.916666666666664,37.5,29.7,39.28,37.5,30.9,39.24,37.0,29.200000000000003,40.20652173913044,40.0,30.1
ADI-46678,349.0,87.0,13.0,0.001050293721109399,114.28521126760563,114.28521126760563,116.43573943661973,116.43573943661973,94.93045774647888,94.93045774647888,101.99647887323944,101.99647887323944,39.411483253588514,39.0,31.0,39.96666666666667,40.0,32.0,40.35849056603774,39.0,31.2,37.3,36.0,29.0,39.891304347826086,38.0,32.0,38.0,36.5,26.6,40.67032967032967,40.0,32.0
ADI-47099,374.0,122.0,9.0,0.001286319612590799,145.75730735163862,145.75730735163862,106.00531443755537,106.00531443755537,101.69884853852967,101.69884853852967,97.72364924712134,97.72364924712134,38.908212560386474,39.0,30.0,39.70175438596491,39.0,30.6,39.05769230769231,39.0,30.1,37.6,37.0,29.0,39.166666666666664,37.0,31.7,36.583333333333336,36.5,23.900000000000002,40.188235294117646,40.0,31.0
ADI-47300,299.0,145.0,6.0,0.000929865154003085,96.73529411764706,96.73529411764706,76.74866310160428,76.74866310160428,98.60071301247773,98.60071301247773,102.0650623885918,102.0650623885918,39.25,39.0,30.0,40.25454545454546,40.0,31.0,39.22641509433962,39.0,29.2,37.6875,37.0,28.7,39.6875,38.0,31.7,39.714285714285715,38.0,31.0,39.758620689655174,39.0,30.6
