id,H_n_cdr,L_n_cdr,H_n_exposed,L_n_exposed,H_n_unresolved,L_n_unresolved,H_rasa_mapped,L_rasa_mapped
ADI-47061,31,20,59,52,0,0,True,True
ADI-47063,32,18,66,57,0,0,True,True
ADI-47064,30,22,60,58,0,0,True,True
ADI-47065,30,24,64,61,0,0,True,True
ADI-47066,31,24,64,61,0,0,True,True
ADI-47068,29,24,62,62,0,0,True,True
ADI-47069,33,18,67,53,0,0,True,True
ADI-47072,29,24,62,61,0,0,True,True
ADI-47073,28,23,60,59,0,0,True,True
ADI-47074,37,18,67,57,0,0,True,True
ADI-47075,31,24,64,62,0,0,True,True
ADI-47076,36,18,68,55,0,0,True,True
ADI-47078,26,16,59,57,0,0,True,True
ADI-47079,30,24,61,61,0,0,True,True
ADI-47081,28,18,59,60,0,0,True,True
ADI-47087,27,18,61,60,0,0,True,True
ADI-47089,37,20,68,57,0,0,True,True
ADI-47091,35,23,65,59,0,0,True,True
ADI-47094,32,18,62,58,0,0,True,True
ADI-47095,27,24,62,61,0,0,True,True
ADI-47096,35,23,65,60,0,0,True,True
ADI-47097,28,23,60,59,0,0,True,True
ADI-47098,31,20,62,54,0,0,True,True
ADI-47099,31,18,64,59,0,0,True,True
ADI-47100,32,23,65,60,0,0,True,True
ADI-47102,29,18,63,56,0,0,True,True
ADI-47103,28,24,61,59,0,0,True,True
ADI-47105,26,19,58,59,0,0,True,True
ADI-47111,28,24,62,61,0,0,True,True
ADI-47114,28,23,64,59,0,0,True,True
ADI-47117,42,18,71,56,0,0,True,True
ADI-47118,34,18,69,56,0,0,True,True
ADI-47122,32,23,64,62,0,0,True,True
ADI-47123,31,18,65,58,0,0,True,True
ADI-47130,35,21,65,56,0,0,True,True
ADI-47131,37,18,68,60,0,0,True,True
ADI-47132,26,18,63,57,0,0,True,True
ADI-47134,33,24,65,61,0,0,True,True
ADI-47139,33,22,65,56,0,0,True,True
ADI-47141,29,24,61,62,0,0,True,True
ADI-47145,31,24,65,60,0,0,True,True
ADI-47146,31,18,71,58,0,0,True,True
ADI-47147,39,18,73,58,0,0,True,True
ADI-47149,33,23,66,60,0,0,True,True
ADI-47151,31,22,62,60,0,0,True,True
ADI-47153,32,22,62,58,0,0,True,True
ADI-47154,33,18,63,56,0,0,True,True
ADI-47155,29,18,63,57,0,0,True,True
ADI-47156,36,23,66,58,0,0,True,True
ADI-47158,35,20,70,56,0,0,True,True
ADI-47159,37,20,64,58,0,0,True,True
ADI-47162,39,23,64,55,0,0,True,True
ADI-47163,27,17,61,56,0,0,True,True
ADI-47165,31,18,66,60,0,0,True,True
ADI-47176,31,18,64,56,0,0,True,True
ADI-47177,35,14,65,57,0,0,True,True
ADI-47180,26,19,60,58,0,0,True,True
ADI-47181,30,19,60,60,0,0,True,True
ADI-47183,27,18,62,61,0,0,True,True
ADI-47187,40,18,66,55,0,0,True,True
ADI-47188,35,25,67,61,0,0,True,True
ADI-47189,35,24,65,62,0,0,True,True
ADI-47195,29,22,62,61,0,0,True,True
ADI-47199,30,19,67,54,0,0,True,True
ADI-47204,34,20,68,57,0,0,True,True
ADI-47207,33,23,64,60,0,0,True,True
ADI-47209,31,24,61,60,0,0,True,True
ADI-47212,33,17,62,56,0,0,True,True
ADI-47213,29,22,63,61,0,0,True,True
ADI-47215,31,18,63,59,0,0,True,True
ADI-47216,33,18,71,55,0,0,True,True
ADI-47218,32,18,65,55,0,0,True,True
ADI-47219,30,24,63,59,0,0,True,True
ADI-47223,32,19,65,56,0,0,True,True
ADI-47224,30,24,63,61,0,0,True,True
ADI-47225,29,22,63,56,0,0,True,True
ADI-47227,34,24,62,60,0,0,True,True
ADI-47228,32,24,67,62,0,0,True,True
ADI-47230,27,17,63,57,0,0,True,True
ADI-47233,36,19,68,57,0,0,True,True
ADI-47234,34,18,62,58,0,0,True,True
ADI-47236,35,18,66,55,0,0,True,True
ADI-47238,36,23,68,60,0,0,True,True
ADI-47240,37,20,65,57,0,0,True,True
ADI-47241,36,19,69,56,0,0,True,True
ADI-47244,39,18,69,58,0,0,True,True
ADI-47247,30,18,67,55,0,0,True,True
ADI-47249,32,20,65,58,0,0,True,True
ADI-47250,31,20,67,55,0,0,True,True
ADI-47252,27,18,66,60,0,0,True,True
ADI-47254,34,19,68,56,0,0,True,True
ADI-47258,35,24,69,62,0,0,True,True
ADI-47259,33,23,65,62,0,0,True,True
ADI-47260,46,18,76,56,0,0,True,True
ADI-47262,39,18,71,59,0,0,True,True
ADI-47265,39,20,73,56,0,0,True,True
ADI-47267,28,18,62,61,0,0,True,True
ADI-47280,32,19,66,57,0,0,True,True
ADI-47283,33,24,67,62,0,0,True,True
ADI-47284,25,23,63,60,0,0,True,True
ADI-47285,36,18,69,58,0,0,True,True
ADI-47288,27,18,63,56,0,0,True,True
ADI-47289,28,19,62,59,0,0,True,True
ADI-47292,31,19,64,57,0,0,True,True
ADI-47297,27,18,64,60,0,0,True,True
ADI-47300,34,18,71,55,0,0,True,True
ADI-47301,28,22,62,62,0,0,True,True
ADI-47302,34,18,63,57,0,0,True,True
ADI-47308,35,18,66,60,0,0,True,True
ADI-47309,28,18,63,60,0,0,True,True
ADI-47312,27,18,64,61,0,0,True,True
ADI-47316,31,22,60,55,0,0,True,True
ADI-47317,34,22,63,58,0,0,True,True
ADI-37124,32,20,61,56,0,0,True,True
ADI-37125,33,19,67,58,0,0,True,True
ADI-38498,36,20,67,55,0,0,True,True
ADI-38500,31,22,62,57,0,0,True,True
ADI-38503,30,23,63,60,0,0,True,True
ADI-45368,31,17,63,57,0,0,True,True
ADI-45370,27,22,63,60,0,0,True,True
ADI-45373,31,19,62,56,0,0,True,True
ADI-45375,35,22,60,57,0,0,True,True
ADI-45378,32,25,61,62,0,0,True,True
ADI-45382,38,20,71,58,0,0,True,True
ADI-45383,34,20,63,58,0,0,True,True
ADI-45393,32,19,66,59,0,0,True,True
ADI-45395,31,19,67,58,0,0,True,True
ADI-45397,26,22,63,57,0,0,True,True
ADI-45404,30,23,64,60,0,0,True,True
ADI-45405,30,22,60,61,0,0,True,True
ADI-45407,34,22,64,59,0,0,True,True
ADI-45409,36,18,66,58,0,0,True,True
ADI-45410,36,19,72,57,0,0,True,True
ADI-45411,26,20,61,60,0,0,True,True
ADI-45428,38,23,65,58,0,0,True,True
ADI-45429,34,18,66,60,0,0,True,True
ADI-45433,33,21,66,58,0,0,True,True
ADI-45438,33,18,69,57,0,0,True,True
ADI-45442,31,19,61,56,0,0,True,True
ADI-45447,30,19,60,60,0,0,True,True
ADI-45448,28,24,64,60,0,0,True,True
ADI-45452,29,18,61,58,0,0,True,True
ADI-45456,32,18,62,58,0,0,True,True
ADI-45459,27,22,60,61,0,0,True,True
ADI-45460,31,23,62,58,0,0,True,True
ADI-45469,34,22,66,59,0,0,True,True
ADI-45470,29,22,64,57,0,0,True,True
ADI-45472,31,20,60,57,0,0,True,True
ADI-45476,29,22,62,58,0,0,True,True
ADI-45477,33,22,66,61,0,0,True,True
ADI-45481,27,20,63,55,0,0,True,True
ADI-45485,23,22,59,62,0,0,True,True
ADI-45486,38,23,67,61,0,0,True,True
ADI-45489,35,22,64,61,0,0,True,True
ADI-45498,35,22,70,60,0,0,True,True
ADI-46678,29,19,60,59,0,0,True,True
ADI-46689,25,18,59,59,0,0,True,True
ADI-46691,25,19,63,56,0,0,True,True
ADI-46692,30,17,62,56,0,0,True,True
ADI-46693,38,19,73,52,0,0,True,True
ADI-46696,33,21,68,55,0,0,True,True
ADI-46701,28,18,63,59,0,0,True,True
ADI-46706,31,18,64,57,0,0,True,True
ADI-46707,36,19,69,59,0,0,True,True
ADI-46713,28,19,59,60,0,0,True,True
ADI-47055,30,18,63,58,0,0,True,True
ADI-47056,32,19,63,58,0,0,True,True
ADI-47057,35,18,67,56,0,0,True,True
ADI-47058,28,20,61,58,0,0,True,True
ADI-47059,30,18,63,57,0,0,True,True
ADI-47062,29,18,62,59,0,0,True,True
ADI-47067,34,22,68,58,0,0,True,True
ADI-47070,36,22,66,58,0,0,True,True
ADI-47071,30,19,59,60,0,0,True,True
ADI-47077,31,20,59,59,0,0,True,True
ADI-47082,30,23,67,61,0,0,True,True
ADI-47083,32,22,65,57,0,0,True,True
ADI-47084,29,19,62,63,0,0,True,True
ADI-47085,29,19,66,59,0,0,True,True
ADI-47090,34,22,64,56,0,0,True,True
ADI-47092,31,23,68,57,0,0,True,True
ADI-47093,27,18,61,60,0,0,True,True
ADI-47104,33,18,66,59,0,0,True,True
ADI-47106,35,22,66,58,0,0,True,True
ADI-47107,24,23,60,63,0,0,True,True
ADI-47109,25,18,61,61,0,0,True,True
ADI-47112,30,20,61,56,0,0,True,True
ADI-47113,28,19,60,58,0,0,True,True
ADI-47116,28,25,59,63,0,0,True,True
ADI-47119,34,22,67,58,0,0,True,True
ADI-47120,33,22,63,55,0,0,True,True
ADI-47121,27,24,62,61,0,0,True,True
ADI-47124,34,21,62,53,0,0,True,True
ADI-47125,35,19,67,56,0,0,True,True
ADI-47126,32,19,65,58,0,0,True,True
ADI-47127,37,25,69,62,0,0,True,True
ADI-47129,36,18,66,58,0,0,True,True
ADI-47133,30,19,63,58,0,0,True,True
ADI-47135,40,20,73,59,0,0,True,True
ADI-47137,26,18,62,58,0,0,True,True
ADI-47140,37,23,67,61,0,0,True,True
ADI-47143,40,18,70,58,0,0,True,True
ADI-47148,35,16,68,55,0,0,True,True
ADI-47152,31,22,63,56,0,0,True,True
ADI-47160,30,21,68,58,0,0,True,True
ADI-47161,34,23,64,59,0,0,True,True
ADI-47166,37,22,72,60,0,0,True,True
ADI-47173,32,22,65,59,0,0,True,True
ADI-47174,29,23,59,59,0,0,True,True
ADI-47175,36,17,67,56,0,0,True,True
ADI-47178,31,18,63,56,0,0,True,True
ADI-47179,31,17,61,55,0,0,True,True
ADI-47182,35,18,68,54,0,0,True,True
ADI-47184,32,19,64,59,0,0,True,True
ADI-47186,32,22,62,59,0,0,True,True
ADI-47190,27,23,65,64,0,0,True,True
ADI-47191,32,23,60,62,0,0,True,True
ADI-47192,38,23,71,58,0,0,True,True
ADI-47193,28,18,64,57,0,0,True,True
ADI-47194,28,18,65,58,0,0,True,True
ADI-47196,35,22,64,57,0,0,True,True
ADI-47197,27,26,61,63,0,0,True,True
ADI-47198,31,19,60,59,0,0,True,True
ADI-47200,32,17,62,57,0,0,True,True
ADI-47201,27,22,62,57,0,0,True,True
ADI-47202,34,20,62,57,0,0,True,True
ADI-47203,26,23,59,61,0,0,True,True
ADI-47205,35,18,70,56,0,0,True,True
ADI-47206,29,18,63,60,0,0,True,True
ADI-47208,27,17,64,57,0,0,True,True
ADI-47214,31,18,64,58,0,0,True,True
ADI-47217,30,22,62,61,0,0,True,True
ADI-47220,30,18,62,57,0,0,True,True
ADI-47221,49,18,80,57,0,0,True,True
ADI-47222,35,18,69,60,0,0,True,True
ADI-47226,31,18,65,57,0,0,True,True
ADI-47229,36,19,64,57,0,0,True,True
ADI-47231,30,23,63,59,0,0,True,True
ADI-47232,43,19,75,56,0,0,True,True
ADI-47235,38,23,68,59,0,0,True,True
ADI-47237,35,24,64,59,0,0,True,True
ADI-47239,41,20,69,60,0,0,True,True
ADI-47243,35,17,62,56,0,0,True,True
ADI-47246,23,19,59,56,0,0,True,True
ADI-47248,28,21,62,59,0,0,True,True
ADI-47251,32,19,64,56,0,0,True,True
ADI-47253,30,18,62,59,0,0,True,True
ADI-47255,41,19,73,59,0,0,True,True
ADI-47256,30,32,61,68,0,0,True,True
ADI-47257,28,21,64,58,0,0,True,True
ADI-47261,29,17,67,54,0,0,True,True
ADI-47263,30,18,67,54,0,0,True,True
ADI-47264,35,23,66,58,0,0,True,True
ADI-47278,28,18,63,59,0,0,True,True
ADI-47279,27,22,61,58,0,0,True,True
ADI-47281,29,22,61,57,0,0,True,True
ADI-47282,32,18,65,57,0,0,True,True
ADI-47286,33,18,67,60,0,0,True,True
ADI-47287,36,18,68,60,0,0,True,True
ADI-47290,32,22,63,59,0,0,True,True
ADI-47291,36,18,67,56,0,0,True,True
ADI-47293,31,19,66,57,0,0,True,True
ADI-47294,26,23,61,65,0,0,True,True
ADI-47295,31,21,65,61,0,0,True,True
ADI-47296,28,19,65,60,0,0,True,True
ADI-47298,29,19,63,60,0,0,True,True
ADI-47299,23,23,60,65,0,0,True,True
ADI-47303,28,19,62,58,0,0,True,True
ADI-47304,27,25,61,62,0,0,True,True
ADI-47305,36,19,66,58,0,0,True,True
ADI-47306,31,18,60,58,0,0,True,True
ADI-47307,34,18,64,56,0,0,True,True
ADI-47310,29,17,63,58,0,0,True,True
ADI-47311,26,22,59,63,0,0,True,True
ADI-47313,29,18,65,62,0,0,True,True
