target,family,source,feature_path,dimension,molecular_scope,previous_evaluation_type,simple_tvt_already_run,simple_tvt_result_if_any,available_N,base_key,notes,label
TmApp,PACKING_CAVITY,structure_gap_closure,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_gap_closure/results/TMAPP_PACKING_CAVITY_FEATURES.csv,33,Fab,simple_tvt+strict,True,PΔ=-0.0779/SΔ=-0.1347/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,nan; RESCREEN_COMPLETE,
TmApp,BURIED_UNSAT,structure_gap_closure,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_gap_closure/results/TMAPP_BURIED_UNSAT_FEATURES.csv,20,Fab,simple_tvt+strict,True,PΔ=-0.0072/SΔ=+0.0499/DIRECT_MIXED;fixed=False,323,TmApp_BASE,nan; RESCREEN_COMPLETE,
TmApp,FAB_INTERFACE,structure_gap_closure,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_gap_closure/results/TMAPP_INTERFACE_FEATURES.csv,29,Fab,simple_tvt+strict,True,PΔ=-0.0254/SΔ=-0.0263/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,nan; RESCREEN_COMPLETE,
TmApp,CORE_DEFECT,structure_gap_closure,derived:pack+unsat,53,Fab,simple_tvt+strict,True,PΔ=-0.0832/SΔ=-0.0698/DIRECT_NO_IMPROVEMENT;fixed=False,323,TmApp_BASE,nan; RESCREEN_COMPLETE,
TmApp,GAP_ALL,structure_gap_closure,derived:core+iface,82,Fab,simple_tvt+strict,True,PΔ=-0.1567/SΔ=-0.1192/DIRECT_NO_IMPROVEMENT;fixed=False,323,TmApp_BASE,nan; RESCREEN_COMPLETE,
HIC,CONTINUOUS_SURFACE,structure_gap_closure,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_gap_closure/results/HIC_CONTINUOUS_SURFACE_FEATURES.csv,45,Fv,simple_tvt,True,PΔ=+0.0166/SΔ=+0.0018/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE_ARO,nan; RESCREEN_COMPLETE,
HIC,HIC_SURFACE_ALL,structure_gap_closure,derived:cont+aro,64,Fv,simple_tvt+strict,True,PΔ=+0.0228/SΔ=+0.0018/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE,BASE without ARO to avoid duplicate; RESCREEN_COMPLETE,
HIC,AROMATIC_TOPO,AROMATIC-TOPO,/workspace_developability_acquisition/organizer_extension/feature_prospecting/AROMATIC-TOPO/features_esmfold.parquet,19,Fv,standalone/residual,True,PΔ=+0.0061/SΔ=+0.0000/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE,BASE without ARO; RESCREEN_COMPLETE,
TmApp,INTERIM_DELTA_GEOM,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_DELTA_GEOM_FEATURES.csv,17,Fab,simple_tvt/strict provisional,True,PΔ=+0.0254/SΔ=-0.0366/DIRECT_MIXED;fixed=True,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_DELTA_ENV,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_DELTA_ENV_FEATURES.csv,17,Fab,simple_tvt/strict provisional,True,PΔ=+0.0288/SΔ=-0.2397/DIRECT_MIXED;fixed=False,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_CONSTANT,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_CONSTANT_FEATURES.csv,20,Fab,simple_tvt/strict provisional,True,PΔ=+0.1160/SΔ=+0.0512/DIRECT_STRONG_CANDIDATE;fixed=True,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_INTERFACE,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_INTERFACE_FEATURES.csv,18,Fab,simple_tvt/strict provisional,True,PΔ=+0.0620/SΔ=-0.0309/DIRECT_MIXED;fixed=False,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_FULL_FAB_NORMALIZED,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_FULL_FAB_NORMALIZED_FEATURES.csv,3,Fab,simple_tvt/strict provisional,True,PΔ=-0.0083/SΔ=-0.0070/DIRECT_NO_IMPROVEMENT;fixed=False,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_COMBINED_PREDECLARED,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_COMBINED_PREDECLARED_FEATURES.csv,93,Fab,simple_tvt/strict provisional,True,PΔ=+0.0896/SΔ=-0.1590/DIRECT_MIXED;fixed=False,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,INTERIM_PREP_RELAX_SENSITIVITY,fennix_fab_context_interim_audit,/workspace_developability_acquisition/organizer_extension/feature_prospecting/fennix_fab_context_interim_audit/results/INTERIM_PREP_RELAX_SENSITIVITY_FEATURES.csv,17,Fab,simple_tvt/strict provisional,True,PΔ=+0.0771/SΔ=+0.0583/DIRECT_STRONG_CANDIDATE;fixed=True,199,TmApp_BASE,PROVISIONAL_SIMPLE_CV; RESCREEN_COMPLETE,PROVISIONAL_SIMPLE_CV
TmApp,S1_STRUCTURE_GUIDED_POOLING,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/structure_guided_pooling/S1_FEATURES.csv,17920,Fv,standalone/OOF scorecard,True,PΔ=-0.0130/SΔ=+0.0011/DIRECT_MIXED;fixed=False,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,S1_STRUCTURE_GUIDED_POOLING,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/structure_guided_pooling/S1_FEATURES.csv,17920,Fv,standalone/OOF scorecard,True,PΔ=-0.0044/SΔ=-0.0073/DIRECT_NO_IMPROVEMENT;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,S2_GENERATOR_DISAGREEMENT,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/generator_disagreement/S2_DISAGREEMENT_FEATURES.csv,14,Fv,standalone/OOF scorecard,True,PΔ=+0.0073/SΔ=+0.0643/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,S2_GENERATOR_DISAGREEMENT,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/generator_disagreement/S2_DISAGREEMENT_FEATURES.csv,14,Fv,standalone/OOF scorecard,True,PΔ=+0.0005/SΔ=-0.0041/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,S3_SURFACE_PATCH_GRAPH,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/surface_patch_graph/S3_FEATURES.csv,26,Fv,standalone/OOF scorecard,True,PΔ=-0.0886/SΔ=+0.1011/DIRECT_MIXED;fixed=True,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,S3_SURFACE_PATCH_GRAPH,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/surface_patch_graph/S3_FEATURES.csv,26,Fv,standalone/OOF scorecard,True,PΔ=-0.0118/SΔ=+0.0203/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,S4_CONTACT_GRAPH,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/contact_graph/S4_FEATURES.csv,19,Fv,standalone/OOF scorecard,True,PΔ=-0.0420/SΔ=+0.0193/DIRECT_MIXED;fixed=False,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,S4_CONTACT_GRAPH,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/contact_graph/S4_FEATURES.csv,19,Fv,standalone/OOF scorecard,True,PΔ=-0.0048/SΔ=-0.0010/DIRECT_NO_IMPROVEMENT;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,M1_PROTEINMPNN,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/proteinmpnn/M1_FEATURES.csv,1,Fv,standalone/OOF scorecard,True,PΔ=+0.0258/SΔ=+0.0192/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,M1_PROTEINMPNN,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/proteinmpnn/M1_FEATURES.csv,1,Fv,standalone/OOF scorecard,True,PΔ=+0.0008/SΔ=-0.0002/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,M2_ESM_IF1,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/esm_if1/M2_ESMIF1_FEATURES.csv,4,Fv,standalone/OOF scorecard,True,PΔ=+0.0224/SΔ=-0.0219/DIRECT_MIXED;fixed=False,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,M2_ESM_IF1,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/esm_if1/M2_ESMIF1_FEATURES.csv,4,Fv,standalone/OOF scorecard,True,PΔ=+0.0010/SΔ=-0.0014/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,M3_SAPROT,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/saprot/M3_FEATURES.csv,1442,Fv,standalone/OOF scorecard,True,PΔ=+0.0058/SΔ=+0.0257/DIRECT_WEAK_CANDIDATE;fixed=True,324,TmApp_BASE,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,M3_SAPROT,structure_marathon,/workspace_developability_acquisition/organizer_extension/feature_prospecting/structure_marathon/saprot/M3_FEATURES.csv,1442,Fv,standalone/OOF scorecard,True,PΔ=-0.0036/SΔ=-0.0008/DIRECT_NO_IMPROVEMENT;fixed=False,324,HIC_BASE_ARO,PCA32 if dim>200; SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,ANM_SPECTRUM,ANM-SPECTRUM,/workspace_developability_acquisition/organizer_extension/feature_prospecting/ANM-SPECTRUM/features_esmfold.parquet,34,Fv,standalone/residual,True,PΔ=+0.0290/SΔ=-0.0456/DIRECT_MIXED;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,VHL_ANGLE,VHL-ANGLE,/workspace_developability_acquisition/organizer_extension/feature_prospecting/VHL-ANGLE/features_esmfold.parquet,8,Fv,standalone/residual,True,PΔ=-0.0146/SΔ=-0.0128/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,PKA_SHIFT_CORRECTED,TECHNICAL_CORRECTION,/workspace_developability_acquisition/organizer_extension/feature_prospecting/PKA-SHIFT/TECHNICAL_CORRECTION/features_esmfold.parquet,30,Fv,standalone/residual,True,PΔ=+0.0509/SΔ=-0.0044/DIRECT_MIXED;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,VOID_EXPLICIT,VOID-EXPLICIT,/workspace_developability_acquisition/organizer_extension/feature_prospecting/VOID-EXPLICIT/features_esmfold.parquet,13,Fv,standalone/residual,True,PΔ=-0.0006/SΔ=-0.0116/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,POLAR_SAT,POLAR-SAT,/workspace_developability_acquisition/organizer_extension/feature_prospecting/POLAR-SAT/features_esmfold.parquet,11,Fv,standalone/residual,True,PΔ=-0.0347/SΔ=-0.0023/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,OPENMM_STRAIN,OPENMM-STRAIN,/workspace_developability_acquisition/organizer_extension/feature_prospecting/OPENMM-STRAIN/features_esmfold.parquet,20,Fv,standalone/residual,True,PΔ=-672.0812/SΔ=-370.6715/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,INTERFACE_ENERGY,INTERFACE-ENERGY,/workspace_developability_acquisition/organizer_extension/feature_prospecting/INTERFACE-ENERGY/features_esmfold.parquet,15,Fv,standalone/residual,True,PΔ=-0.0126/SΔ=-0.0541/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,3DI_FROZEN,3DI-FROZEN,/workspace_developability_acquisition/organizer_extension/feature_prospecting/3DI-FROZEN/features_esmfold.parquet,2050,Fv,standalone/residual,True,PΔ=-0.1448/SΔ=-0.0496/DIRECT_NO_IMPROVEMENT;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,STATIC_SAP,STATIC-SAP,/workspace_developability_acquisition/organizer_extension/feature_prospecting/STATIC-SAP/features_esmfold.parquet,18,Fv,standalone/residual,True,PΔ=+0.0065/SΔ=+0.0006/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE_ARO,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,HYDRO_FIELD,HYDRO-FIELD,/workspace_developability_acquisition/organizer_extension/feature_prospecting/HYDRO-FIELD/features_esmfold.parquet,16,Fv,standalone/residual,True,PΔ=+0.0082/SΔ=+0.0029/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE_ARO,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,ELEC_HYDRO_COPATCH,ELEC-HYDRO-COPATCH,/workspace_developability_acquisition/organizer_extension/feature_prospecting/ELEC-HYDRO-COPATCH/features_esmfold.parquet,10,Fv,standalone/residual,True,PΔ=-0.0050/SΔ=+0.0034/DIRECT_MIXED;fixed=False,324,HIC_BASE_ARO,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
TmApp,TITRATION_SHAPE,TITRATION-SHAPE,/workspace_developability_acquisition/organizer_extension/feature_prospecting/TITRATION-SHAPE/features_esmfold.parquet,18,Fv,standalone/residual,True,PΔ=-0.0491/SΔ=+0.0131/DIRECT_MIXED;fixed=False,324,TmApp_BASE,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
HIC,TITRATION_SHAPE,TITRATION-SHAPE,/workspace_developability_acquisition/organizer_extension/feature_prospecting/TITRATION-SHAPE/features_esmfold.parquet,18,Fv,standalone/residual,True,PΔ=+0.0022/SΔ=+0.0087/DIRECT_WEAK_CANDIDATE;fixed=True,324,HIC_BASE_ARO,SIMPLE_TVT_NOT_YET_RUN; RESCREEN_COMPLETE,
