id,sequence,label,elisa_flags,source
ibalizumab,WAS,0.0,0,jain2017_pnas
imgatuzumab,NTN,1.0,5,jain2017_pnas
infliximab,YAS,0.0,0,jain2017_pnas
inotuzumab,GIS,,3,jain2017_pnas
ipilimumab,GAF,0.0,0,jain2017_pnas
ixekizumab,KVS,1.0,6,jain2017_pnas
lampalizumab,GGN,0.0,0,jain2017_pnas
lebrikizumab,LAS,0.0,0,jain2017_pnas
lenzilumab,STS,1.0,6,jain2017_pnas
lintuzumab,AAS,0.0,0,jain2017_pnas
lirilumab,DAS,0.0,0,jain2017_pnas
lumiliximab,VAS,0.0,0,jain2017_pnas
matuzumab,DTS,0.0,0,jain2017_pnas
mavrilimumab,HNN,0.0,0,jain2017_pnas
mepolizumab,GAS,0.0,0,jain2017_pnas
mogamulizumab,KVS,0.0,0,jain2017_pnas
motavizumab,DTS,,1,jain2017_pnas
muromonab,DTS,0.0,0,jain2017_pnas
natalizumab,YTS,0.0,0,jain2017_pnas
necitumumab,DAS,0.0,0,jain2017_pnas
nimotuzumab,KVS,0.0,0,jain2017_pnas
nivolumab,DAS,0.0,0,jain2017_pnas
obinutuzumab,QMS,0.0,0,jain2017_pnas
ocrelizumab,APS,0.0,0,jain2017_pnas
ofatumumab,DAS,0.0,0,jain2017_pnas
olaratumab,DAS,0.0,0,jain2017_pnas
olokizumab,NAN,0.0,0,jain2017_pnas
omalizumab,AAS,0.0,0,jain2017_pnas
onartuzumab,WAS,0.0,0,jain2017_pnas
otelixizumab,DDD,0.0,0,jain2017_pnas
otlertuzumab,FAK,0.0,0,jain2017_pnas
ozanezumab,LMS,,3,jain2017_pnas
palivizumab,DTS,0.0,0,jain2017_pnas
panitumumab,DAS,0.0,0,jain2017_pnas
panobacumab,KVS,0.0,0,jain2017_pnas
parsatuzumab,RVS,1.0,6,jain2017_pnas
patritumab,WAS,1.0,4,jain2017_pnas
pembrolizumab,LAS,0.0,0,jain2017_pnas
pertuzumab,SAS,0.0,0,jain2017_pnas
pinatuzumab,KVS,0.0,0,jain2017_pnas
polatuzumab,AAS,0.0,0,jain2017_pnas
ponezumab,QIS,1.0,4,jain2017_pnas
radretumab,YAS,0.0,0,jain2017_pnas
ramucirumab,DAS,0.0,0,jain2017_pnas
ranibizumab,FTS,,1,jain2017_pnas
reslizumab,GAN,0.0,0,jain2017_pnas
rilotumumab,GAS,0.0,0,jain2017_pnas
rituximab,ATS,0.0,0,jain2017_pnas
robatumumab,YAS,1.0,4,jain2017_pnas
romosozumab,YTS,0.0,0,jain2017_pnas
sarilumab,GAS,0.0,0,jain2017_pnas
secukinumab,GAS,0.0,0,jain2017_pnas
seribantumab,EVS,0.0,0,jain2017_pnas
sifalimumab,GAS,,3,jain2017_pnas
siltuximab,DTS,0.0,0,jain2017_pnas
simtuzumab,RMS,1.0,6,jain2017_pnas
sirukumab,DMS,1.0,5,jain2017_pnas
tabalumab,DAS,0.0,0,jain2017_pnas
tanezumab,YTS,,1,jain2017_pnas
teplizumab,DTS,,2,jain2017_pnas
tigatuzumab,WAS,0.0,0,jain2017_pnas
tildrakizumab,NAK,0.0,0,jain2017_pnas
tocilizumab,YTS,0.0,0,jain2017_pnas
tovetumab,AAS,0.0,0,jain2017_pnas
tralokinumab,DDG,0.0,0,jain2017_pnas
trastuzumab,SAS,0.0,0,jain2017_pnas
tremelimumab,AAS,0.0,0,jain2017_pnas
urelumab,DAS,0.0,0,jain2017_pnas
ustekinumab,AAS,,3,jain2017_pnas
vedolizumab,GIS,0.0,0,jain2017_pnas
veltuzumab,ATS,0.0,0,jain2017_pnas
visilizumab,DTS,,3,jain2017_pnas
zalutumumab,DAS,,1,jain2017_pnas
zanolimumab,AAS,0.0,0,jain2017_pnas
