antibody_id,cluster_id,role,split
ADI-45428,7,Dev,canonical
ADI-47149,53,Private,canonical
ADI-47151,78,Dev,canonical
ADI-47152,43,Public,canonical
ADI-47259,53,Private,canonical
ADI-47260,24,Private,canonical
ADI-47261,12,Dev,canonical
ADI-47155,79,Private,canonical
ADI-47153,80,Dev,canonical
ADI-47158,81,Public,canonical
ADI-45438,82,Public,canonical
ADI-47161,83,Dev,canonical
ADI-38498,60,Public,canonical
ADI-38500,84,Dev,canonical
ADI-38499,85,Dev,canonical
ADI-45397,43,Public,canonical
ADI-45456,86,Public,canonical
ADI-45455,87,Private,canonical
ADI-45450,87,Private,canonical
ADI-45465,88,Dev,canonical
ADI-45464,24,Private,canonical
ADI-46692,89,Public,canonical
ADI-45390,42,Dev,canonical
ADI-45395,47,Dev,canonical
ADI-46690,0,Public,canonical
ADI-45393,47,Dev,canonical
ADI-46685,9,Dev,canonical
ADI-45460,7,Dev,canonical
ADI-45389,90,Private,canonical
ADI-46689,91,Private,canonical
ADI-45459,7,Dev,canonical
ADI-45463,85,Dev,canonical
ADI-45470,7,Dev,canonical
ADI-47295,92,Dev,canonical
ADI-45452,93,Dev,canonical
ADI-45454,28,Dev,canonical
ADI-45388,53,Private,canonical
ADI-47205,94,Dev,canonical
ADI-46695,95,Dev,canonical
ADI-46684,87,Private,canonical
ADI-47213,42,Dev,canonical
ADI-46696,96,Dev,canonical
ADI-46697,53,Private,canonical
ADI-47104,97,Public,canonical
ADI-47219,28,Dev,canonical
ADI-45391,90,Private,canonical
ADI-45461,53,Private,canonical
ADI-47116,47,Dev,canonical
ADI-47309,24,Private,canonical
ADI-45453,98,Dev,canonical
ADI-46693,47,Dev,canonical
ADI-47233,9,Dev,canonical
ADI-47137,99,Private,canonical
ADI-45383,75,Dev,canonical
ADI-45469,7,Dev,canonical
ADI-45422,87,Private,canonical
ADI-45485,7,Dev,canonical
ADI-45495,42,Dev,canonical
ADI-46691,31,Dev,canonical
ADI-45425,100,Private,canonical
ADI-45451,28,Dev,canonical
ADI-45499,87,Private,canonical
ADI-45497,24,Private,canonical
ADI-37123,101,Dev,canonical
ADI-37125,47,Dev,canonical
ADI-38503,7,Dev,canonical
ADI-47223,102,Dev,canonical
ADI-37124,103,Private,canonical
ADI-47176,104,Dev,canonical
ADI-47061,105,Dev,canonical
ADI-45402,106,Dev,canonical
ADI-46701,107,Dev,canonical
ADI-47286,108,Dev,canonical
ADI-47065,109,Public,canonical
ADI-47287,4,Public,canonical
ADI-47071,110,Dev,canonical
ADI-47072,28,Dev,canonical
ADI-45472,60,Public,canonical
ADI-47075,28,Dev,canonical
ADI-47288,111,Dev,canonical
ADI-45404,112,Dev,canonical
ADI-47076,24,Private,canonical
ADI-47189,113,Public,canonical
ADI-47078,114,Dev,canonical
ADI-47190,115,Public,canonical
ADI-47081,116,Dev,canonical
ADI-47194,4,Public,canonical
ADI-47193,117,Public,canonical
ADI-47291,118,Private,canonical
ADI-47082,119,Public,canonical
ADI-47197,120,Public,canonical
ADI-47085,121,Private,canonical
ADI-47084,122,Dev,canonical
ADI-47087,123,Public,canonical
ADI-47292,124,Public,canonical
ADI-47200,125,Public,canonical
ADI-47089,126,Private,canonical
ADI-47090,36,Private,canonical
ADI-47202,127,Dev,canonical
ADI-47203,6,Dev,canonical
ADI-47294,6,Dev,canonical
ADI-47091,53,Private,canonical
ADI-47296,128,Dev,canonical
ADI-47092,129,Private,canonical
ADI-47206,130,Private,canonical
ADI-47094,131,Private,canonical
ADI-47207,132,Public,canonical
ADI-47208,19,Private,canonical
ADI-47095,28,Dev,canonical
ADI-47096,53,Private,canonical
ADI-47097,53,Private,canonical
ADI-47298,133,Dev,canonical
ADI-47299,6,Dev,canonical
ADI-47098,134,Dev,canonical
ADI-47212,135,Private,canonical
ADI-47214,136,Dev,canonical
ADI-47102,137,Dev,canonical
ADI-47103,138,Dev,canonical
ADI-47107,6,Dev,canonical
ADI-47220,139,Dev,canonical
ADI-47111,28,Dev,canonical
ADI-47303,140,Dev,canonical
ADI-47221,141,Dev,canonical
ADI-47222,142,Dev,canonical
ADI-47305,47,Dev,canonical
ADI-47114,143,Dev,canonical
ADI-47226,144,Dev,canonical
ADI-47227,28,Dev,canonical
ADI-47118,145,Dev,canonical
ADI-47306,4,Public,canonical
ADI-47267,146,Dev,canonical
ADI-47307,147,Public,canonical
ADI-47228,28,Dev,canonical
ADI-47310,148,Dev,canonical
ADI-47229,47,Dev,canonical
ADI-47230,135,Private,canonical
ADI-47124,149,Public,canonical
ADI-47125,150,Dev,canonical
ADI-47127,151,Dev,canonical
ADI-47234,131,Private,canonical
ADI-47312,24,Private,canonical
ADI-47236,152,Private,canonical
ADI-47249,87,Private,canonical
ADI-47129,153,Public,canonical
ADI-47131,154,Dev,canonical
ADI-47246,155,Public,canonical
ADI-47133,47,Dev,canonical
ADI-47134,28,Dev,canonical
ADI-47316,156,Private,canonical
ADI-47239,157,Public,canonical
ADI-47240,158,Public,canonical
ADI-47241,159,Dev,canonical
ADI-47139,160,Public,canonical
ADI-47181,9,Dev,canonical
ADI-47248,161,Dev,canonical
ADI-47141,162,Dev,canonical
ADI-47250,87,Private,canonical
ADI-47251,163,Dev,canonical
ADI-47252,164,Dev,canonical
ADI-47145,28,Dev,canonical
ADI-47254,165,Public,canonical
ADI-47146,15,Dev,canonical
ADI-47147,166,Public,canonical
ADI-45489,167,Dev,canonical
ADI-47165,168,Dev,canonical
ADI-47148,169,Dev,canonical
ADI-47159,170,Dev,canonical
ADI-47156,171,Dev,canonical
ADI-47154,172,Dev,canonical
ADI-47263,173,Dev,canonical
ADI-47160,174,Dev,canonical
ADI-47265,87,Private,canonical
ADI-47163,175,Dev,canonical
ADI-47126,47,Dev,canonical
ADI-45411,37,Public,canonical
ADI-45488,176,Dev,canonical
ADI-47285,24,Private,canonical
ADI-46713,47,Dev,canonical
ADI-46708,24,Private,canonical
ADI-45406,15,Dev,canonical
ADI-46704,87,Private,canonical
ADI-46706,117,Public,canonical
ADI-45430,28,Dev,canonical
ADI-45409,117,Public,canonical
ADI-45405,7,Dev,canonical
ADI-47188,177,Dev,canonical
ADI-45408,28,Dev,canonical
ADI-45479,24,Private,canonical
ADI-45407,36,Private,canonical
ADI-47218,24,Private,canonical
ADI-45476,36,Private,canonical
ADI-45480,24,Private,canonical
ADI-45481,60,Public,canonical
ADI-47117,24,Private,canonical
ADI-47120,43,Public,canonical
ADI-46705,24,Private,canonical
ADI-47235,7,Dev,canonical
ADI-47130,57,Dev,canonical
ADI-47255,178,Dev,canonical
ADI-46707,31,Dev,canonical
ADI-47257,92,Dev,canonical
ADI-45477,167,Dev,canonical
ADI-45493,28,Dev,canonical
ADI-47262,24,Private,canonical
ADI-45410,31,Dev,canonical
ADI-47264,7,Dev,canonical
ADI-47162,85,Dev,canonical
ADI-45435,28,Dev,canonical
ADI-45433,167,Dev,canonical
ADI-45498,36,Private,canonical
ADI-45486,179,Dev,canonical
