feature_id,feature_name,feature_family,subfamily,bundle_name,stage_first_introduced,physical_quantity,biological_interpretation,dimensionality,unit,sign_meaning,structure_source,chain_scope,region_scope,exact_definition,aggregation_method,normalization,thresholds,cutoff_distance,neighborhood_radius,hydrophobicity_scale,residue_classes,weighting_method,pH,ionic_strength,other_fixed_conditions,software,software_version,library,implementation_function,source_file,source_lines_or_symbol,command_or_API,preprocessing_required,hydrogens_added,protonation_assigned,structure_relaxed,atom_completion,numbering_or_region_mapping,failure_handling,computed,saved_to_feature_table,used_in_model,target_TmApp_used,target_HIC_used,selected_in_best_model,representative_experiment_ids,artifact_path,manifest_path,code_evidence,notes,quantity_tier,also_computed_ABBodyBuilder2
ST3_ESM_VL_frac_rasa_gt_0_20,VL_frac_rasa_gt_0_20,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_frac_rasa_gt_0_25,VL_frac_rasa_gt_0_25,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_frac_rasa_gt_0_50,VL_frac_rasa_gt_0_50,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_frac_rasa_gt_1,VL_frac_rasa_gt_1,SASA_RASA,RASA,STRUCT_RASA,Stage3,residue-level RASA (SASA/MaxASA),antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,framework,fraction of residues with RASA above threshold,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_n_res,VL_n_res,GLOBAL_GEOMETRY,GLOBAL,STRUCT_GLOBAL,Stage3,structure-derived scalar aggregate,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_GLOBAL,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,False,TmApp__ESMFold__STRUCT_GLOBAL__ElasticNet;TmApp__ESMFold__STRUCT_GLOBAL__Ridge;HIC__ESMFold__STRUCT_GLOBAL__ElasticNet;HIC__ESMFold__STRUCT_GLOBAL__Ridge,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_n_exposed,VL_n_exposed,SASA_RASA,RASA,STRUCT_RASA,Stage3,structure-derived scalar aggregate,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,count residues with RASA >= 0.20,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_RASA__ElasticNet;TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt;TmApp__ESMFold__STRUCT_RASA__Ridge;HIC__ESMFold__STRUCT_RASA__ElasticNet;HIC__ESMFold__STRUCT_RASA__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_sasa_hydrophobic,VL_sasa_hydrophobic,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,sum SASA where aa in AILMFVW,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,Kyte-Doolittle KD,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_sasa_aromatic,VL_sasa_aromatic,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_sasa_positive,VL_sasa_positive,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_sasa_negative,VL_sasa_negative,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_sasa_polar,VL_sasa_polar,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level SASA,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_rasa_w_hydrophobicity_sum,VL_rasa_w_hydrophobicity_sum,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level RASA × KD hydrophobicity,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,sum(RASA × KD) over region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,Kyte-Doolittle KD,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_rasa_w_hydrophobicity_mean,VL_rasa_w_hydrophobicity_mean,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level RASA × KD hydrophobicity,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,Kyte-Doolittle KD,"{""hydrophobic"": ""AILMFVW"", ""aromatic"": ""FWY"", ""positive"": ""KRH"", ""negative"": ""DE"", ""polar"": ""STNQ""}",RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_rasa_w_charge_sum,VL_rasa_w_charge_sum,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level RASA × charge weight,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,radius of gyration from CA coordinates,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,Kyte-Doolittle KD,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",custom Python (Stage3 packing),repo,numpy,aggregate|surface_patches|interface_features|packing_from_cas,virtual_participant/stage3_structure/scripts/run_stage3.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,virtual_participant/stage3_structure/scripts/run_stage3.py,from gate_b2 SASA cache + Stage3 packing,AGGREGATED,True
ST3_ESM_VL_exposed_pos,VL_exposed_pos,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level RASA × charge weight,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,sum RASA for K/R/H in region,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
ST3_ESM_VL_exposed_neg,VL_exposed_neg,SURFACE_CHEMISTRY,SURFACE_CHEM,STRUCT_SURFACE_CHEM,Stage3,residue-level RASA × charge weight,antibody surface/geometry descriptor for developability,scalar,Å² or dimensionless or count (mixed by column),context-dependent; higher SASA/RASA = more exposure,ESMFold,Light,whole,see code: STRUCT_SURFACE_CHEM,region sum/mean/median/max/count per gate_b2 aggregate() or surface_patches(),RASA uses MaxASA Tien2013; ratios divide by total SASA,RASA exposed >= 0.2; patch adjacency 8.0Å,8.0,,,,RASA weight for chem columns; KD for hydrophobicity,,,"{""probe_radius_A"": 1.4, ""sasa_n_points"": 100}",ShrakeRupley,1.88 (via BioPython),BioPython,aggregate|surface_patches|interface_features|packing_from_cas,gate_b2/scripts/03_structure_features.py,see code_reference_index.csv,"ShrakeRupley(probe_radius=1.4,n_points=100)",PDB parse; chain H/L map; region tag (IMGT or author segments),no,no,no,CA for graph; full atoms for SASA,ESMFold: author segment lengths; ABB: IMGT resseq,missing PDB → skip; interface NaN → median impute in modeling,True,True,True,True,True,True,TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;TmApp__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt;TmApp__ESMFold__STRUCT_SURFACE_CHEM__Ridge;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNet;HIC__ESMFold__STRUCT_SURFACE_CHEM__ElasticNetOpt,virtual_participant/stage3_structure/cache/features_ESMFold.csv,virtual_participant/stage3_structure/stage3_feature_manifest.csv,gate_b2/scripts/03_structure_features.py,gate_b2 precomputed,AGGREGATED,True
