antibody_id,structure_source,pdb_path,exists,heavy_match,light_match,vh_len_pdb,vl_len_pdb,chain_H,chain_L,n_chains,complete,malformed,notes
ADI-45464,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45464.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-45465,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45465.pdb,True,True,True,120,110,A,B,2,True,False,
ADI-45479,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45479.pdb,True,True,True,124,107,A,B,2,True,False,
ADI-45480,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45480.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-45488,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45488.pdb,True,True,True,123,110,A,B,2,True,False,
ADI-45490,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45490.pdb,True,True,True,124,109,A,B,2,True,False,
ADI-45491,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45491.pdb,True,True,True,120,113,A,B,2,True,False,
ADI-45493,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45493.pdb,True,True,True,125,113,A,B,2,True,False,
ADI-45495,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45495.pdb,True,True,True,118,110,A,B,2,True,False,
ADI-45497,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45497.pdb,True,True,True,128,107,A,B,2,True,False,
ADI-45499,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-45499.pdb,True,True,True,130,109,A,B,2,True,False,
ADI-46677,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46677.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-46682,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46682.pdb,True,True,True,116,107,A,B,2,True,False,
ADI-46684,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46684.pdb,True,True,True,129,109,A,B,2,True,False,
ADI-46685,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46685.pdb,True,True,True,123,108,A,B,2,True,False,
ADI-46690,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46690.pdb,True,True,True,114,107,A,B,2,True,False,
ADI-46695,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46695.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-46697,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46697.pdb,True,True,True,121,112,A,B,2,True,False,
ADI-46704,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46704.pdb,True,True,True,128,109,A,B,2,True,False,
ADI-46705,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46705.pdb,True,True,True,124,107,A,B,2,True,False,
ADI-46708,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46708.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-46710,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-46710.pdb,True,True,True,125,107,A,B,2,True,False,
ADI-47054,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47054.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-47060,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47060.pdb,True,True,True,119,107,A,B,2,True,False,
ADI-47061,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47061.pdb,True,True,True,122,108,A,B,2,True,False,
ADI-47063,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47063.pdb,True,True,True,123,107,A,B,2,True,False,
ADI-47064,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47064.pdb,True,True,True,121,110,A,B,2,True,False,
ADI-47065,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47065.pdb,True,True,True,121,113,A,B,2,True,False,
ADI-47066,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47066.pdb,True,True,True,122,113,A,B,2,True,False,
ADI-47068,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47068.pdb,True,True,True,120,113,A,B,2,True,False,
ADI-47069,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47069.pdb,True,True,True,124,107,A,B,2,True,False,
ADI-47072,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47072.pdb,True,True,True,120,113,A,B,2,True,False,
ADI-47073,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47073.pdb,True,True,True,119,111,A,B,2,True,False,
ADI-47074,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47074.pdb,True,True,True,128,107,A,B,2,True,False,
ADI-47075,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47075.pdb,True,True,True,122,113,A,B,2,True,False,
ADI-47076,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47076.pdb,True,True,True,127,107,A,B,2,True,False,
ADI-47078,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47078.pdb,True,True,True,117,105,A,B,2,True,False,
ADI-47079,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47079.pdb,True,True,True,121,113,A,B,2,True,False,
ADI-47081,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47081.pdb,True,True,True,119,107,A,B,2,True,False,
ADI-47087,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47087.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47089,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47089.pdb,True,True,True,128,108,A,B,2,True,False,
ADI-47091,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47091.pdb,True,True,True,126,112,A,B,2,True,False,
ADI-47094,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47094.pdb,True,True,True,123,107,A,B,2,True,False,
ADI-47095,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47095.pdb,True,True,True,118,113,A,B,2,True,False,
ADI-47096,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47096.pdb,True,True,True,126,112,A,B,2,True,False,
ADI-47097,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47097.pdb,True,True,True,119,112,A,B,2,True,False,
ADI-47098,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47098.pdb,True,True,True,122,108,A,B,2,True,False,
ADI-47099,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47099.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47100,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47100.pdb,True,True,True,123,112,A,B,2,True,False,
ADI-47102,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47102.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-47103,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47103.pdb,True,True,True,119,113,A,B,2,True,False,
ADI-47105,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47105.pdb,True,True,True,117,108,A,B,2,True,False,
ADI-47111,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47111.pdb,True,True,True,119,113,A,B,2,True,False,
ADI-47114,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47114.pdb,True,True,True,119,112,A,B,2,True,False,
ADI-47117,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47117.pdb,True,True,True,133,107,A,B,2,True,False,
ADI-47118,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47118.pdb,True,True,True,125,107,A,B,2,True,False,
ADI-47122,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47122.pdb,True,True,True,123,112,A,B,2,True,False,
ADI-47123,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47123.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47130,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47130.pdb,True,True,True,126,109,A,B,2,True,False,
ADI-47131,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47131.pdb,True,True,True,128,107,A,B,2,True,False,
ADI-47132,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47132.pdb,True,True,True,117,107,A,B,2,True,False,
ADI-47134,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47134.pdb,True,True,True,124,113,A,B,2,True,False,
ADI-47139,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47139.pdb,True,True,True,124,110,A,B,2,True,False,
ADI-47141,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47141.pdb,True,True,True,120,113,A,B,2,True,False,
ADI-47145,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47145.pdb,True,True,True,122,113,A,B,2,True,False,
ADI-47146,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47146.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47147,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47147.pdb,True,True,True,130,107,A,B,2,True,False,
ADI-47149,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47149.pdb,True,True,True,124,112,A,B,2,True,False,
ADI-47151,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47151.pdb,True,True,True,122,110,A,B,2,True,False,
ADI-47153,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47153.pdb,True,True,True,123,110,A,B,2,True,False,
ADI-47154,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47154.pdb,True,True,True,124,107,A,B,2,True,False,
ADI-47155,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47155.pdb,True,True,True,120,107,A,B,2,True,False,
ADI-47156,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47156.pdb,True,True,True,127,111,A,B,2,True,False,
ADI-47158,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47158.pdb,True,True,True,126,109,A,B,2,True,False,
ADI-47159,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47159.pdb,True,True,True,128,109,A,B,2,True,False,
ADI-47162,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47162.pdb,True,True,True,130,111,A,B,2,True,False,
ADI-47163,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47163.pdb,True,True,True,118,106,A,B,2,True,False,
ADI-47165,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47165.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47176,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47176.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47177,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47177.pdb,True,True,True,126,103,A,B,2,True,False,
ADI-47180,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47180.pdb,True,True,True,117,108,A,B,2,True,False,
ADI-47181,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47181.pdb,True,True,True,121,108,A,B,2,True,False,
ADI-47183,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47183.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47187,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47187.pdb,True,True,True,131,107,A,B,2,True,False,
ADI-47188,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47188.pdb,True,True,True,126,115,A,B,2,True,False,
ADI-47189,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47189.pdb,True,True,True,126,113,A,B,2,True,False,
ADI-47195,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47195.pdb,True,True,True,120,110,A,B,2,True,False,
ADI-47199,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47199.pdb,True,True,True,121,108,A,B,2,True,False,
ADI-47204,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47204.pdb,True,True,True,125,108,A,B,2,True,False,
ADI-47207,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47207.pdb,True,True,True,124,112,A,B,2,True,False,
ADI-47209,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47209.pdb,True,True,True,122,113,A,B,2,True,False,
ADI-47212,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47212.pdb,True,True,True,124,106,A,B,2,True,False,
ADI-47213,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47213.pdb,True,True,True,120,110,A,B,2,True,False,
ADI-47215,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47215.pdb,True,True,True,122,107,A,B,2,True,False,
ADI-47216,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47216.pdb,True,True,True,124,107,A,B,2,True,False,
ADI-47218,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47218.pdb,True,True,True,123,107,A,B,2,True,False,
ADI-47219,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47219.pdb,True,True,True,121,113,A,B,2,True,False,
ADI-47223,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47223.pdb,True,True,True,123,108,A,B,2,True,False,
ADI-47224,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47224.pdb,True,True,True,121,113,A,B,2,True,False,
ADI-47225,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47225.pdb,True,True,True,120,110,A,B,2,True,False,
ADI-47227,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47227.pdb,True,True,True,125,113,A,B,2,True,False,
ADI-47228,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47228.pdb,True,True,True,123,113,A,B,2,True,False,
ADI-47230,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47230.pdb,True,True,True,118,106,A,B,2,True,False,
ADI-47233,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47233.pdb,True,True,True,127,108,A,B,2,True,False,
ADI-47234,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47234.pdb,True,True,True,125,107,A,B,2,True,False,
ADI-47236,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47236.pdb,True,True,True,126,107,A,B,2,True,False,
ADI-47238,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47238.pdb,True,True,True,127,112,A,B,2,True,False,
ADI-47240,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47240.pdb,True,True,True,128,109,A,B,2,True,False,
ADI-47241,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47241.pdb,True,True,True,127,108,A,B,2,True,False,
ADI-47244,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47244.pdb,True,True,True,130,107,A,B,2,True,False,
ADI-47247,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47247.pdb,True,True,True,121,107,A,B,2,True,False,
ADI-47249,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47249.pdb,True,True,True,123,109,A,B,2,True,False,
ADI-47250,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47250.pdb,True,True,True,122,109,A,B,2,True,False,
ADI-47252,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47252.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47254,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47254.pdb,True,True,True,125,108,A,B,2,True,False,
ADI-47258,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47258.pdb,True,True,True,126,113,A,B,2,True,False,
ADI-47259,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47259.pdb,True,True,True,124,112,A,B,2,True,False,
ADI-47260,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47260.pdb,True,True,True,137,107,A,B,2,True,False,
ADI-47262,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47262.pdb,True,True,True,130,107,A,B,2,True,False,
ADI-47265,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47265.pdb,True,True,True,130,109,A,B,2,True,False,
ADI-47267,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47267.pdb,True,True,True,117,107,A,B,2,True,False,
ADI-47280,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47280.pdb,True,True,True,123,108,A,B,2,True,False,
ADI-47283,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47283.pdb,True,True,True,124,113,A,B,2,True,False,
ADI-47284,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47284.pdb,True,True,True,116,111,A,B,2,True,False,
ADI-47285,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47285.pdb,True,True,True,127,107,A,B,2,True,False,
ADI-47288,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47288.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47289,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47289.pdb,True,True,True,119,108,A,B,2,True,False,
ADI-47292,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47292.pdb,True,True,True,122,108,A,B,2,True,False,
ADI-47297,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47297.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47300,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47300.pdb,True,True,True,125,107,A,B,2,True,False,
ADI-47301,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47301.pdb,True,True,True,119,110,A,B,2,True,False,
ADI-47302,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47302.pdb,True,True,True,125,107,A,B,2,True,False,
ADI-47308,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47308.pdb,True,True,True,126,107,A,B,2,True,False,
ADI-47309,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47309.pdb,True,True,True,119,107,A,B,2,True,False,
ADI-47312,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47312.pdb,True,True,True,118,107,A,B,2,True,False,
ADI-47316,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47316.pdb,True,True,True,122,110,A,B,2,True,False,
ADI-47317,ESMFold_native,/workspace_developability_acquisition/esmfold_native/ADI-47317.pdb,True,True,True,125,110,A,B,2,True,False,
ADI-37123,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/86e8a52a665af976d72912b6c38798d1.pdb,True,True,True,119,107,H,L,2,True,False,
ADI-38499,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/4f8074ab8223459f88277e89b5f72c86.pdb,True,True,True,118,111,H,L,2,True,False,
ADI-38501,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/973fb4db445c0685b7b358949fdd63c6.pdb,True,True,True,119,108,H,L,2,True,False,
ADI-38502,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/112097525bd8e8fb903f15ef8bd9843a.pdb,True,True,True,123,107,H,L,2,True,False,
ADI-45379,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/8d26098a909b02da95955857f05e76cc.pdb,True,True,True,118,108,H,L,2,True,False,
ADI-45388,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/4a2fb5485cca970084281df53595bf43.pdb,True,True,True,122,112,H,L,2,True,False,
ADI-45389,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/cfdef1c6920959ab375132d336a712fb.pdb,True,True,True,117,110,H,L,2,True,False,
ADI-45390,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/72cf9c2e715d8677143317011c32b382.pdb,True,True,True,119,110,H,L,2,True,False,
ADI-45391,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/c00d4ca18c48f32ebfc8a37d71aa5de2.pdb,True,True,True,118,110,H,L,2,True,False,
ADI-45402,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/7e5f50017224e5059df0bad0fc53d8fa.pdb,True,True,True,124,113,H,L,2,True,False,
ADI-45406,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/70ad68c734fbd25676c6d876ee235362.pdb,True,True,True,122,107,H,L,2,True,False,
ADI-45408,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/9ff37f04b5c11bb31d09366481949120.pdb,True,True,True,119,113,H,L,2,True,False,
ADI-45422,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/bf514614011f0d05ccf7d48fae411519.pdb,True,True,True,122,109,H,L,2,True,False,
ADI-45425,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/076cb9d0b5e38b482ed9a614750e4934.pdb,True,True,True,126,111,H,L,2,True,False,
ADI-45430,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/7ad3533757c0dbf371988f8df0fae2a0.pdb,True,True,True,121,113,H,L,2,True,False,
ADI-45435,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/43928dc068527dbdaa3cf8e36272c846.pdb,True,True,True,126,113,H,L,2,True,False,
ADI-45439,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/6b32c2ed603f1bae635aa99cfa4fba8f.pdb,True,True,True,121,107,H,L,2,True,False,
ADI-45440,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/ac1d6045228234ee207cb893a80c14ff.pdb,True,True,True,119,111,H,L,2,True,False,
ADI-45450,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/e89ba2ac4008709fac797e9f1a1675e6.pdb,True,True,True,119,109,H,L,2,True,False,
ADI-45451,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/1204ff749a5351424ce9ebae661195df.pdb,True,True,True,126,113,H,L,2,True,False,
ADI-45453,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/96f62315d3559f91bfe27c42336eff03.pdb,True,True,True,120,107,H,L,2,True,False,
ADI-45454,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/ee399482a49026eee530520c8f831929.pdb,True,True,True,122,113,H,L,2,True,False,
ADI-45455,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/a03902b973f9aa84dc3fe88b68c465d4.pdb,True,True,True,123,109,H,L,2,True,False,
ADI-45461,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/24548cd2379bdc83b73e97c6cea1d839.pdb,True,True,True,127,112,H,L,2,True,False,
ADI-45463,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/0ec215f8993900af67ad085f606d75f0.pdb,True,True,True,120,111,H,L,2,True,False,
ADI-45464,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/eefc94c92e81402509c50f28a6eb888d.pdb,True,True,True,120,107,H,L,2,True,False,
ADI-45465,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/7fa2b706486485a24a3170c83a124362.pdb,True,True,True,120,110,H,L,2,True,False,
ADI-45479,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/43ec2724b38b06ad1a7ef56cdb9d2c67.pdb,True,True,True,124,107,H,L,2,True,False,
ADI-45480,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/61ef97b43c1259aa8f5a0d4f94449fb3.pdb,True,True,True,122,107,H,L,2,True,False,
ADI-45488,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/adc2a850fa33888ec8d4dd1511018486.pdb,True,True,True,123,110,H,L,2,True,False,
ADI-45490,ABodyBuilder2,/workspace_developability_acquisition/gate_b1/cache/structures/abodybuilder2/f772bd63c1a22dff81905d5191cc8d9a.pdb,True,True,True,124,109,H,L,2,True,False,
