id,plain_kfold_k4,shuffled_kfold_k4_s42,strat_sturges_tm_k4_s42,strat_sturges_hic_k4_s42,strat_q8_tm_k4_s42,strat_q8_hic_k4_s42,strat_hybrid_hic_k4_s42,strat_joint_cart4x4_k4_s42,group_only_k4_s42,stratgroup_hic_hybrid_k4_s42,stratgroup_joint_k4_s42,opt_joint_group_k4_s42,opt_joint_group_k4_s2026,plain_kfold_k5,shuffled_kfold_k5_s42,strat_sturges_tm_k5_s42,strat_sturges_hic_k5_s42,strat_q8_tm_k5_s42,strat_q8_hic_k5_s42,strat_hybrid_hic_k5_s42,strat_joint_cart4x4_k5_s42,group_only_k5_s42,stratgroup_hic_hybrid_k5_s42,stratgroup_joint_k5_s42,opt_joint_group_k5_s42,opt_joint_group_k5_s2026,plain_kfold_k6,shuffled_kfold_k6_s42,strat_sturges_tm_k6_s42,strat_sturges_hic_k6_s42,strat_q8_tm_k6_s42,strat_q8_hic_k6_s42,strat_hybrid_hic_k6_s42,strat_joint_cart4x4_k6_s42,group_only_k6_s42,stratgroup_hic_hybrid_k6_s42,stratgroup_joint_k6_s42,opt_joint_group_k6_s42,opt_joint_group_k6_s2026,opt_joint_group_k5_s7,shuffled_kfold_k5_s7,opt_joint_group_k5_s123,shuffled_kfold_k5_s123
ADI-46705,1,1,1,3,2,0,2,0,1,1,2,2,2,1,2,1,4,3,0,2,0,2,3,4,4,1,1,2,1,5,3,1,3,0,5,0,3,4,0,2,4,1,2
ADI-46708,1,0,2,2,2,0,0,1,3,1,3,3,2,1,1,3,3,2,0,1,1,0,4,2,2,2,1,1,4,4,3,0,1,2,3,2,1,5,4,2,0,0,1
ADI-46710,1,2,0,3,2,2,0,3,1,3,1,1,1,1,3,1,4,2,3,0,4,4,0,0,1,2,1,4,1,5,2,4,1,5,3,0,0,1,5,4,0,2,1
ADI-47054,1,2,0,3,1,3,0,1,2,1,0,0,1,1,2,0,4,1,4,0,1,4,2,4,4,1,1,3,0,5,2,5,0,1,4,0,0,4,4,3,2,2,4
ADI-47060,1,3,3,1,0,3,1,2,0,0,0,0,2,1,4,4,1,0,3,2,3,3,2,2,4,4,1,5,5,1,0,4,2,4,2,2,5,2,0,2,2,4,2
ADI-47061,1,2,2,0,0,2,2,2,0,0,3,2,0,1,3,3,0,1,3,3,2,4,3,3,3,4,1,3,4,0,1,3,3,3,0,2,2,0,2,2,1,3,4
ADI-47063,1,3,1,1,2,0,0,1,3,3,2,0,2,1,4,1,2,2,0,0,2,0,4,0,0,1,1,5,1,2,3,0,0,2,3,0,3,4,4,4,2,4,2
ADI-47064,1,0,1,1,2,1,0,3,3,2,2,0,3,1,0,1,2,3,2,0,4,0,3,0,1,2,1,0,2,2,3,2,0,5,5,3,3,2,1,2,1,4,2
ADI-47065,1,3,3,1,2,2,3,0,2,3,3,1,2,1,4,4,1,2,2,4,0,4,3,0,1,3,1,5,5,1,3,2,4,0,2,5,4,5,1,4,1,4,3
ADI-47066,1,2,2,1,3,1,2,3,3,2,2,1,0,1,3,3,2,4,1,3,4,2,1,0,1,1,1,3,3,2,4,1,4,4,5,5,3,0,3,3,2,1,0
ADI-47068,1,3,1,2,0,3,0,2,1,3,0,3,2,1,4,1,2,0,4,0,3,3,1,4,2,4,2,4,2,3,1,5,1,3,3,5,0,2,3,3,2,1,2
ADI-47069,1,0,0,3,3,3,3,1,1,1,1,0,1,1,0,0,4,4,3,4,1,1,2,4,3,3,2,0,1,5,5,4,5,1,5,2,4,5,5,4,4,3,4
ADI-47072,1,0,1,2,0,1,1,2,3,3,1,2,2,1,0,2,3,0,1,1,3,4,3,1,3,1,2,1,2,4,0,2,2,3,1,5,4,1,2,0,4,4,2
ADI-47073,1,3,2,0,3,0,3,2,0,0,1,3,3,1,4,3,0,4,0,4,3,3,4,4,4,0,2,5,4,1,5,0,5,3,2,0,1,1,1,4,3,1,4
ADI-47074,1,3,3,2,2,0,1,2,1,2,1,3,0,1,4,3,2,3,0,1,3,1,0,1,0,1,2,5,4,3,3,1,1,3,3,1,4,3,5,1,2,4,3
ADI-47075,1,3,1,3,3,3,3,1,1,0,0,0,1,1,3,1,4,4,4,3,1,0,2,3,3,3,2,4,1,5,5,4,4,1,1,5,3,5,3,0,2,3,1
ADI-47076,1,0,0,2,2,2,1,1,1,0,3,2,0,1,0,1,3,3,3,1,1,3,0,2,1,4,2,1,0,4,4,3,1,1,1,3,5,3,2,2,1,3,0
ADI-47078,1,2,1,2,0,2,2,2,3,2,2,0,2,1,2,2,3,0,3,3,2,2,3,3,2,0,2,3,3,3,1,3,3,3,1,3,5,4,0,3,3,1,1
ADI-47079,1,2,3,1,2,0,2,2,0,3,3,1,0,1,2,4,2,3,1,3,3,3,4,0,2,1,2,3,5,2,4,1,3,4,4,0,0,3,4,4,1,1,1
ADI-47081,1,3,1,2,3,2,2,2,3,1,3,1,3,1,4,1,3,4,3,2,3,4,3,1,1,0,2,4,1,4,5,4,3,2,3,4,2,0,2,3,0,0,0
ADI-47087,1,1,3,0,2,3,2,0,1,0,2,1,3,1,2,4,0,3,3,3,1,3,3,2,4,2,2,2,5,0,4,4,4,1,3,1,1,5,4,0,3,0,3
ADI-47089,1,1,3,1,1,1,3,3,2,2,0,3,2,1,1,4,1,1,2,3,3,1,3,0,3,4,2,1,5,2,2,2,4,4,2,3,3,1,1,1,1,3,0
ADI-47091,1,0,2,0,0,0,3,0,0,3,0,3,1,2,0,3,0,0,0,4,0,0,0,0,2,2,2,0,3,0,0,0,4,0,0,0,0,5,1,0,1,0,4
ADI-47094,1,1,2,2,3,2,0,2,3,2,2,3,0,2,1,3,3,4,3,0,3,4,4,3,0,4,2,1,4,4,5,4,0,4,5,2,1,2,5,2,4,2,2
ADI-47095,1,1,3,1,2,3,0,1,1,3,1,3,2,2,1,4,2,2,4,0,2,0,2,2,1,3,2,2,5,2,3,4,0,2,1,5,4,1,5,1,4,2,4
ADI-47096,1,0,2,3,3,1,0,1,0,3,0,3,1,2,1,3,4,4,1,0,1,0,0,0,2,2,2,1,3,5,5,1,0,1,0,0,0,5,1,0,4,0,3
ADI-47097,1,2,3,2,3,0,1,3,1,0,2,2,3,2,3,3,2,4,0,1,4,3,1,4,1,0,2,4,4,3,5,1,1,5,5,4,3,2,0,4,1,4,3
ADI-47098,1,3,0,3,3,0,2,1,0,0,0,3,1,2,4,0,4,4,0,2,1,0,3,2,2,3,2,5,0,5,5,0,3,2,0,4,3,3,3,4,3,0,2
ADI-47099,1,3,0,0,0,0,1,1,0,0,1,2,0,2,3,1,0,0,1,2,2,3,2,2,4,0,2,4,1,0,0,1,2,1,4,5,1,4,3,1,4,2,0
ADI-47100,1,2,1,2,0,3,3,0,3,2,2,3,2,2,2,1,2,0,3,4,0,4,3,3,3,4,2,3,2,3,1,4,4,0,1,3,0,1,4,3,3,0,4
ADI-47102,1,3,3,2,2,2,2,2,1,2,3,2,3,2,4,4,3,3,2,3,3,1,4,1,4,3,2,5,5,3,4,3,4,4,3,0,2,0,1,3,0,2,0
ADI-47103,1,0,2,0,3,2,1,1,3,3,0,2,0,2,0,3,0,4,3,2,2,0,1,0,3,4,2,0,3,0,4,3,2,2,5,1,2,4,5,2,4,0,3
ADI-47105,1,1,3,2,2,0,3,3,3,2,1,1,2,2,1,4,2,3,0,4,4,3,1,1,1,1,2,2,5,3,3,0,5,5,1,1,3,5,0,0,2,3,3
ADI-47111,1,2,2,1,3,2,2,1,0,1,1,0,0,2,3,3,1,4,2,3,1,3,3,2,3,4,2,3,4,1,5,3,3,2,0,0,2,4,3,0,1,1,3
ADI-47114,1,0,3,1,0,2,3,2,3,0,0,1,3,2,0,4,1,0,2,3,3,3,3,4,0,2,2,1,4,1,0,3,4,3,5,1,5,4,5,2,1,3,4
ADI-47117,1,1,2,0,1,1,1,1,1,0,0,1,3,2,2,2,0,1,1,1,1,0,3,1,4,2,2,3,2,1,1,1,1,1,5,1,0,2,4,1,1,2,1
ADI-47118,1,2,2,2,0,3,3,0,1,2,2,3,0,2,3,3,2,1,4,3,0,4,4,0,3,1,2,3,4,3,1,5,4,0,1,4,4,4,0,2,0,4,3
ADI-47122,1,1,2,3,1,3,0,0,0,2,2,1,3,2,1,2,4,1,4,0,0,2,1,0,0,4,3,1,3,4,2,5,0,1,4,0,4,1,0,3,2,0,2
ADI-47123,2,1,1,0,3,1,3,1,0,1,3,3,1,2,1,1,0,4,1,4,1,3,4,1,3,4,3,1,2,1,5,2,4,3,2,0,4,0,0,4,0,2,1
ADI-47130,2,2,2,2,3,2,2,1,2,2,3,0,3,2,3,3,3,3,3,3,1,0,3,3,2,3,3,4,3,3,4,4,4,1,2,1,1,2,1,1,4,1,4
ADI-47131,2,0,3,1,2,3,3,0,3,1,0,0,1,2,0,4,1,2,4,4,0,3,4,1,2,0,3,0,4,1,3,5,5,0,3,5,1,1,4,4,0,3,4
ADI-47132,2,1,1,3,3,3,1,0,2,2,1,3,1,2,1,1,4,4,4,2,0,2,4,3,3,2,3,1,1,5,5,5,2,2,2,2,1,4,3,3,1,4,3
ADI-47134,2,1,0,1,0,3,0,2,2,0,0,2,2,2,2,0,1,0,3,0,3,4,2,0,2,0,3,2,0,1,0,4,0,3,4,1,0,2,3,2,0,0,2
ADI-47139,2,3,0,3,1,1,1,3,2,3,3,1,3,2,4,0,4,2,1,2,4,0,0,0,2,0,3,5,0,5,2,1,2,4,4,1,4,1,1,1,4,1,2
ADI-47141,2,3,2,2,0,0,2,1,0,0,2,0,0,2,4,3,2,0,1,2,1,1,2,1,1,1,3,5,4,3,0,1,3,1,4,5,4,2,4,2,0,3,2
ADI-47145,2,2,2,0,1,2,3,0,0,0,0,3,1,2,3,3,0,1,3,3,1,4,2,3,0,0,3,4,3,1,2,3,4,1,0,4,0,4,1,1,4,1,0
ADI-47146,2,0,3,3,1,2,0,3,1,2,2,1,1,2,1,3,4,2,3,0,3,3,0,0,0,2,3,1,4,5,2,4,1,4,1,5,4,3,4,0,2,2,0
ADI-47147,2,2,3,0,3,1,3,1,3,1,1,0,0,2,3,3,0,4,1,4,1,1,1,0,4,0,3,4,4,0,5,2,5,2,3,0,4,3,5,4,3,2,1
ADI-47149,2,3,1,2,0,2,1,2,3,0,2,1,3,2,4,1,3,0,2,1,3,2,3,3,1,3,3,5,2,3,0,3,2,4,3,3,0,3,3,3,4,3,4
ADI-47151,2,2,2,1,1,0,0,1,0,1,0,1,1,2,2,3,1,2,0,1,2,2,1,4,4,1,3,3,3,1,3,0,1,2,2,5,3,1,1,0,3,4,0
ADI-47153,2,0,3,3,0,1,0,0,0,0,3,3,0,2,0,4,3,0,2,0,1,2,3,4,3,0,3,0,3,4,0,3,1,0,0,0,5,5,0,1,0,4,3
ADI-47154,2,1,1,0,1,3,1,2,0,2,2,0,2,2,2,1,0,2,4,1,2,0,0,1,0,2,3,2,1,0,2,5,1,3,4,2,5,5,5,1,0,1,2
ADI-47155,2,1,2,2,2,3,3,3,0,3,0,3,3,2,1,3,2,3,3,4,4,0,2,3,1,1,3,1,2,2,4,4,5,5,4,1,3,0,5,3,3,3,4
ADI-47156,2,0,0,3,1,1,2,3,2,0,0,3,3,2,0,0,4,2,1,2,3,2,4,0,1,0,3,0,0,4,3,2,3,4,0,2,3,2,4,4,3,2,3
ADI-47158,2,0,0,1,3,2,3,1,0,3,2,0,0,3,0,0,1,4,3,4,2,0,3,4,1,3,3,0,0,5,5,4,5,2,4,5,2,2,4,4,2,1,4
ADI-47159,2,3,3,2,3,1,0,1,2,1,3,0,1,3,4,4,3,3,1,0,1,3,4,4,3,1,3,5,5,3,4,1,0,2,0,2,1,1,5,0,2,1,4
ADI-47162,2,0,2,0,1,3,0,0,2,1,2,0,2,3,0,2,0,1,4,0,0,4,4,2,3,4,3,0,3,0,2,5,0,0,0,4,2,0,2,0,3,4,3
ADI-47163,2,0,1,3,0,0,0,1,1,0,3,2,1,3,0,1,4,0,0,0,1,4,3,4,2,4,3,0,2,5,0,0,0,1,4,0,4,0,0,2,0,2,0
ADI-47165,2,3,1,1,0,0,1,3,3,0,0,3,0,3,4,2,1,1,0,1,4,1,2,3,1,0,3,5,3,1,1,1,1,5,5,5,2,5,0,1,0,3,3
ADI-47176,2,3,0,3,1,3,3,0,2,0,2,3,3,3,4,0,3,1,4,4,0,1,1,0,4,0,3,5,1,4,1,5,5,0,2,0,1,5,0,0,4,1,0
ADI-47177,2,0,0,2,1,0,2,1,2,1,1,2,3,3,0,0,3,1,0,3,1,1,4,1,2,4,3,0,0,3,2,1,4,2,4,1,1,3,4,2,2,2,1
ADI-47180,2,0,3,2,3,2,3,1,2,2,0,3,1,3,0,4,2,3,2,4,2,3,1,0,2,2,3,1,5,3,4,3,5,2,4,0,5,0,3,2,3,3,4
ADI-47181,2,3,2,0,3,1,3,1,1,3,1,3,2,3,4,3,0,4,1,4,2,2,3,1,0,2,3,5,4,0,5,2,5,1,3,1,1,3,3,1,3,1,4
ADI-47183,2,3,0,1,0,1,1,2,3,2,2,1,0,3,4,0,1,1,1,1,2,1,0,3,4,1,3,4,0,2,1,1,1,3,3,4,0,5,0,0,0,0,1
ADI-47187,2,1,0,2,1,1,0,2,0,3,3,0,1,3,1,1,3,2,2,0,2,1,4,2,2,1,4,2,1,3,2,2,0,4,2,2,1,5,1,3,1,4,2
ADI-47188,2,0,2,3,1,0,0,0,1,0,2,3,3,3,0,3,4,1,0,0,0,2,1,2,1,3,4,0,4,4,2,0,0,0,3,1,2,4,1,2,2,1,4
ADI-47189,2,2,1,0,1,2,1,0,2,1,0,0,1,3,3,2,0,2,2,1,0,4,3,1,4,4,4,4,2,1,2,3,2,0,2,4,1,0,1,1,4,2,2
ADI-47195,2,2,2,1,1,3,0,0,2,3,3,0,0,3,2,3,1,1,4,0,1,0,4,4,1,4,4,3,4,2,1,5,0,0,0,0,0,2,2,1,2,0,4
ADI-47199,2,1,2,1,1,0,1,1,3,3,1,1,1,3,2,2,1,1,0,1,1,2,1,3,1,3,4,2,3,1,1,0,1,2,5,0,0,0,3,4,4,1,1
ADI-47204,2,2,0,3,2,3,2,1,2,2,1,3,3,3,3,0,4,3,4,2,1,0,4,1,1,1,4,4,0,5,3,5,3,2,0,3,0,0,5,4,2,4,4
ADI-47207,2,1,0,2,3,3,0,1,3,1,2,3,0,3,2,0,3,3,4,0,2,0,0,4,3,1,4,2,0,4,4,5,0,3,5,2,5,1,3,3,0,3,0
ADI-47209,2,1,3,0,2,0,3,3,2,0,1,0,3,3,1,3,0,3,0,4,4,2,1,4,1,1,4,1,4,0,3,0,5,5,0,5,4,5,2,1,0,4,3
ADI-47212,2,3,3,0,3,0,1,2,2,3,2,0,1,3,4,4,0,4,0,2,3,0,2,3,4,2,4,5,5,0,5,0,2,3,0,2,3,3,3,0,0,3,0
ADI-47213,2,2,1,3,3,2,3,0,1,2,3,1,2,3,3,1,3,4,2,4,0,3,0,4,1,4,4,3,1,4,5,3,5,0,5,0,5,4,0,2,1,1,0
ADI-47215,2,1,3,0,3,1,2,3,0,1,0,2,1,3,2,4,0,4,1,3,4,1,0,3,0,2,4,2,5,0,5,2,4,5,2,5,3,0,4,1,3,2,3
ADI-47216,2,2,3,3,0,3,1,2,3,2,2,1,0,3,2,4,4,0,4,1,3,1,1,4,4,4,4,3,4,5,1,5,1,3,5,5,3,3,4,2,1,0,2
ADI-47218,2,1,0,1,0,2,1,3,1,0,0,2,1,3,2,1,2,0,3,2,4,0,4,0,2,1,4,2,1,2,0,3,2,5,3,4,5,2,2,1,3,1,1
ADI-47219,2,3,3,1,0,1,3,2,0,3,3,3,2,3,4,4,2,0,1,4,2,0,0,3,4,3,4,5,5,2,0,2,5,3,2,1,2,4,1,2,1,4,1
ADI-47223,3,2,1,3,1,3,1,0,3,0,1,0,0,3,2,2,4,1,4,1,0,2,4,1,4,0,4,3,2,5,1,5,2,0,1,4,3,2,2,4,0,4,2
ADI-47224,3,2,1,1,0,1,1,3,2,0,1,1,2,3,3,1,1,0,2,1,4,2,2,2,3,0,4,4,2,2,0,2,1,5,4,2,5,3,4,0,3,2,4
ADI-47225,3,0,2,3,1,3,0,2,3,0,0,0,3,3,1,3,4,1,3,0,2,3,4,1,0,1,4,1,4,5,1,4,0,4,3,3,0,4,2,3,3,1,4
ADI-47227,3,2,0,1,1,3,2,0,2,3,2,2,1,3,3,1,1,2,4,3,0,3,0,4,2,1,4,3,1,1,2,4,4,1,4,4,0,2,2,1,1,4,0
ADI-47228,3,2,2,1,1,1,1,2,2,0,0,3,2,3,2,2,1,1,2,1,3,3,4,1,2,2,4,3,3,2,2,2,2,4,2,5,4,3,1,0,3,4,4
ADI-47230,3,1,0,2,2,2,1,3,0,0,2,1,1,3,1,0,3,2,2,1,4,4,2,4,3,0,4,2,0,4,3,3,2,5,4,5,2,0,4,2,4,2,0
ADI-47233,3,1,1,1,2,3,1,0,1,2,0,0,2,3,1,1,1,3,4,2,0,4,0,3,0,3,4,2,1,2,3,5,2,1,1,3,2,1,3,3,3,4,3
ADI-47234,3,3,3,3,3,1,1,0,1,0,1,2,1,3,4,3,4,4,1,1,0,4,0,3,1,3,4,5,4,5,5,2,1,0,5,0,5,5,4,3,0,2,0
ADI-47236,3,3,2,0,2,1,3,2,1,2,2,1,1,4,4,2,0,3,2,4,2,4,0,2,1,4,4,5,2,0,4,3,5,3,3,2,3,3,3,2,0,3,0
ADI-47238,3,0,3,0,2,0,0,2,1,1,0,3,3,4,0,4,1,2,0,0,2,1,3,0,1,1,4,0,5,1,3,0,0,3,3,3,0,5,0,1,2,2,3
ADI-47240,3,1,1,0,1,1,2,2,2,2,2,2,0,4,1,2,0,2,2,2,2,2,0,2,4,4,4,1,3,0,2,3,3,2,2,3,2,4,5,4,2,0,2
ADI-47241,3,0,0,0,3,2,2,3,1,0,1,0,3,4,0,0,0,4,3,3,4,1,1,3,1,0,4,1,0,0,5,4,4,5,1,0,2,2,5,3,1,3,1
ADI-47244,3,2,3,1,2,2,2,2,1,2,2,1,3,4,2,4,2,3,2,2,3,2,1,4,0,1,4,3,5,2,3,3,3,4,1,5,3,5,0,4,3,0,1
ADI-47247,3,3,0,3,1,3,2,3,2,1,1,1,2,4,4,0,4,1,4,3,3,4,1,4,3,2,5,4,0,5,2,5,3,4,0,1,5,1,3,0,4,4,2
