id,disulfide_cys_count,n_titratable,frac_abs_mass_from_sentinel,sentinel_in_cdr,sentinel_in_interface,sentinel_in_buried
ADI-46691,4,51,0.8870582500609311,0,0,4
ADI-46692,4,52,0.889377611612052,0,0,4
ADI-46693,4,64,0.852085967130215,0,0,4
ADI-46695,4,49,0.9018286337281332,0,0,4
ADI-46696,4,57,0.8784938450398262,0,0,4
ADI-46697,4,61,0.8982674366948021,0,0,4
ADI-46701,4,58,0.8824770264044807,0,0,4
ADI-46704,4,58,0.8683287605869021,0,0,4
ADI-46705,4,57,0.8969834384858043,0,0,4
ADI-46706,4,51,0.8924963217263362,0,0,4
ADI-46707,4,58,0.8552495535294671,0,0,4
ADI-46708,4,56,0.8876640163894444,0,0,4
ADI-46710,4,58,0.8874043009704004,0,0,4
ADI-46713,4,53,0.9035525433827364,0,0,4
ADI-47054,4,48,0.9041361321574959,0,0,4
ADI-47055,4,57,0.8850091185410334,0,0,4
ADI-47056,4,49,0.885741403226984,0,0,4
ADI-47057,4,59,0.839759119540389,0,0,4
ADI-47058,4,56,0.8879238838741156,0,0,4
ADI-47059,4,49,0.8949322579851974,0,0,4
ADI-47060,4,54,0.887555783158973,0,0,4
ADI-47061,4,61,0.8857845165372729,0,0,4
ADI-47062,4,53,0.8920369598784345,0,0,4
ADI-47063,4,52,0.8964090438894637,0,0,4
ADI-47064,4,56,0.8971382089772979,0,0,4
ADI-47065,4,61,0.8590242866246548,0,0,4
ADI-47066,4,66,0.8622805562794663,0,0,4
ADI-47067,4,54,0.8887261006519669,0,0,4
ADI-47068,4,58,0.8852243706676396,0,0,4
ADI-47069,4,64,0.8737696259662938,0,0,4
ADI-47070,6,62,0.9144264107331288,2,0,6
ADI-47071,4,49,0.8710511200459508,0,0,4
ADI-47072,4,62,0.8850306390428945,0,0,4
ADI-47073,4,55,0.8874908558888075,0,0,4
ADI-47074,4,54,0.876821894047074,0,0,4
ADI-47075,4,59,0.860262834452113,0,0,4
ADI-47076,4,58,0.8779852366478506,0,0,4
ADI-47077,4,53,0.8938113948919448,0,0,4
ADI-47078,4,53,0.8884657634566095,0,0,4
ADI-47079,4,56,0.8717187200613145,0,0,4
ADI-47081,4,58,0.8919276576973975,0,0,4
ADI-47082,6,65,0.9132180254926233,2,0,5
ADI-47083,4,56,0.901114137162664,0,0,4
ADI-47084,6,57,0.9270504330106979,2,0,6
ADI-47085,4,47,0.9089002097692538,0,0,4
ADI-47087,4,56,0.8771811433529355,0,0,4
ADI-47089,4,61,0.8616885269188882,0,0,4
ADI-47090,6,59,0.912271906958091,2,0,6
ADI-47091,6,67,0.9165449508939812,2,0,5
ADI-47092,4,59,0.8751352521099328,0,0,4
ADI-47093,4,58,0.8696358596960718,0,0,4
ADI-47094,6,65,0.9018882262567526,2,0,6
ADI-47095,4,62,0.8637334472447672,0,0,4
ADI-47096,6,66,0.9147328384967244,2,0,6
ADI-47097,4,53,0.8891603351818826,0,0,4
ADI-47098,4,57,0.8930437983069562,0,0,4
ADI-47099,4,55,0.8968950221784129,0,0,4
ADI-47100,4,56,0.8658498869989294,0,0,4
ADI-47102,4,54,0.8615865350472268,0,0,4
ADI-47103,4,57,0.8858060747663552,0,0,4
ADI-47104,4,60,0.8735179762876206,0,0,4
ADI-47105,4,57,0.8813017579543804,0,0,4
ADI-47106,4,55,0.8958353844639164,0,0,4
ADI-47107,4,55,0.8821989528795812,0,0,4
ADI-47109,4,56,0.8742943621033414,0,0,4
ADI-47111,4,56,0.8861295741728142,0,0,4
ADI-47112,4,61,0.8703221023936489,0,0,4
ADI-47113,4,60,0.8551892666651003,0,0,4
ADI-47114,4,64,0.8501354760347566,0,0,4
ADI-47116,4,55,0.8757037678648768,0,0,4
ADI-47117,4,57,0.8730569948186528,0,0,4
ADI-47118,4,54,0.8891820580474935,0,0,4
ADI-47119,4,53,0.8850306390428947,0,0,4
ADI-47120,4,53,0.8846649327921053,0,0,4
ADI-47121,4,55,0.8831408327671552,0,0,4
ADI-47122,4,63,0.8903131115459881,0,0,4
ADI-47123,4,43,0.9149091274729142,0,0,4
ADI-47124,4,58,0.8861511492014023,0,0,4
ADI-47125,4,56,0.8647184604419101,0,0,4
ADI-47126,4,55,0.9016275670721134,0,0,4
ADI-47127,6,57,0.9107956156887604,2,0,6
ADI-47129,4,55,0.8752825741907557,0,0,4
ADI-47130,4,66,0.837594642487285,0,0,4
ADI-47131,4,56,0.8697605505902595,0,0,4
ADI-47132,4,49,0.8919495159906875,0,0,4
ADI-47133,4,54,0.8995773499097853,0,0,4
ADI-47134,4,60,0.880193470374849,0,0,4
ADI-47135,4,68,0.8241101349515443,0,0,4
ADI-47137,4,49,0.8883790182821157,0,0,4
ADI-47139,4,51,0.8878155872667399,0,0,4
ADI-47140,4,62,0.8845144356955379,0,0,4
ADI-47141,4,64,0.8638769552111273,0,0,4
ADI-47143,4,57,0.8821989528795812,0,0,4
ADI-47145,4,59,0.8672735071248153,0,0,4
ADI-47146,4,52,0.8840417779936847,0,0,4
ADI-47147,4,55,0.8909451421017843,0,0,4
ADI-47148,4,49,0.8976913970007893,0,0,4
ADI-47149,4,56,0.8682044798549653,0,0,4
ADI-47151,4,58,0.8933945359483542,0,0,4
ADI-47152,4,51,0.8964973644021873,0,0,4
ADI-47153,4,56,0.8849660806769275,0,0,4
ADI-47154,4,47,0.9036198420974226,0,0,4
ADI-47155,4,52,0.9065457806117366,0,0,4
ADI-47156,6,62,0.922523192348637,2,0,5
ADI-47158,4,54,0.8954166359140897,0,0,4
ADI-47159,4,59,0.8676042908224074,0,0,4
ADI-47160,4,48,0.8866908665675931,0,0,4
ADI-47161,4,59,0.8901824585432667,0,0,4
ADI-47162,4,55,0.8225084745762713,0,0,4
ADI-47163,4,54,0.9031041413364435,0,0,4
ADI-47165,6,55,0.9363519423720092,2,0,5
ADI-47166,4,54,0.8873610298420126,0,0,4
ADI-47173,6,66,0.9084011381220982,2,0,5
ADI-47174,4,65,0.8745254457206018,0,0,4
ADI-47175,4,61,0.8872528704809731,0,0,4
ADI-47176,4,55,0.8833337378346239,0,0,4
ADI-47177,6,64,0.8982083216794722,2,0,6
ADI-47178,4,51,0.9018286337281332,0,0,4
ADI-47179,4,54,0.8742943621033414,0,0,4
ADI-47180,4,52,0.8890300202740664,0,0,4
ADI-47181,4,53,0.897160323407612,0,0,4
ADI-47182,4,58,0.8754510030307404,0,0,4
ADI-47183,4,50,0.8966298778084353,0,0,4
ADI-47184,4,56,0.8975585696670778,0,0,4
ADI-47186,4,56,0.8873177629333464,0,0,4
ADI-47187,4,56,0.8888563264708038,0,0,4
ADI-47188,6,60,0.9186733303044072,2,0,6
ADI-47189,4,63,0.8650884198516828,0,0,4
ADI-47190,4,57,0.8952404378305252,0,0,4
ADI-47191,6,55,0.9316382252559726,2,0,5
ADI-47192,6,60,0.9090666888685371,2,0,4
ADI-47193,4,50,0.9099,0,0,4
ADI-47194,4,46,0.8909887634948225,0,0,4
ADI-47195,4,53,0.8910978356674175,0,0,4
ADI-47196,6,52,0.9215110390925665,2,0,6
ADI-47197,4,63,0.896696149202986,0,0,4
ADI-47198,4,54,0.8788756882063169,0,0,4
ADI-47199,4,52,0.9239204934886908,0,0,4
ADI-47200,6,62,0.9110235957681139,2,0,5
ADI-47201,4,50,0.9030145143282473,0,0,4
ADI-47202,4,50,0.8978021164804262,0,0,4
ADI-47203,4,63,0.8892472330132668,0,0,4
ADI-47204,4,58,0.8734131650308367,0,0,4
ADI-47205,6,51,0.93406104571585,2,0,6
ADI-47206,4,51,0.8967182418448804,0,0,4
ADI-47207,4,60,0.8703845418021808,0,0,4
ADI-47208,4,54,0.8953946073607559,0,0,4
ADI-47209,4,56,0.8813657827824192,0,0,4
ADI-47212,6,55,0.9411622735187133,2,0,6
ADI-47213,4,51,0.897160323407612,0,0,4
ADI-47214,4,41,0.9034179760220418,0,0,4
ADI-47215,4,54,0.9008019008019008,0,0,4
ADI-47216,4,50,0.8978464119199742,0,0,4
ADI-47217,4,55,0.9060718464487539,0,0,4
ADI-47218,6,56,0.927034691209183,2,0,5
ADI-47219,4,61,0.8828195114851918,0,0,4
ADI-47220,4,57,0.8971160956371703,0,0,4
ADI-47221,4,63,0.8542057829515582,0,0,4
ADI-47222,4,55,0.9000890295776042,0,0,4
ADI-47223,4,50,0.9102868719205661,0,0,4
ADI-47224,4,54,0.8872745002437834,0,0,4
ADI-47225,4,48,0.8902695562839391,0,0,4
ADI-47226,4,57,0.875366780508923,0,0,4
ADI-47227,4,59,0.8807472655115672,0,0,4
ADI-47228,4,58,0.8869285505409884,0,0,4
ADI-47229,6,56,0.9274756638295705,2,0,6
ADI-47230,4,50,0.9039340353665807,0,0,4
ADI-47231,4,52,0.8795978539320412,0,0,4
ADI-47232,4,55,0.8677904675615746,0,0,4
ADI-47233,4,53,0.8779217020044867,0,0,4
ADI-47234,4,51,0.8821134270479882,0,0,4
ADI-47235,6,56,0.9170376093931095,2,0,6
ADI-47236,4,58,0.8749669447315912,0,0,4
ADI-47237,4,53,0.8779852366478506,0,0,4
ADI-47238,6,52,0.9205011043855065,2,0,5
ADI-47239,6,69,0.9090666888685369,2,0,4
ADI-47240,4,61,0.8728685516943665,0,0,4
ADI-47241,4,62,0.8767374075590777,0,0,4
ADI-47243,4,58,0.8886176082816545,0,0,4
ADI-47244,4,49,0.9064328941797625,0,0,4
ADI-47246,4,61,0.8991995256448265,0,0,4
ADI-47247,4,51,0.8915343915343918,0,0,4
ADI-47248,4,53,0.8970055452865064,0,0,4
ADI-47249,4,58,0.8766107083503938,0,0,4
ADI-47250,2,54,0.813936845871724,0,0,2
ADI-47251,4,57,0.8935480703132672,0,0,4
ADI-47252,4,49,0.9037320289027388,0,0,4
ADI-47253,4,50,0.8805341849325011,0,0,4
ADI-47254,4,53,0.9000890295776042,0,0,4
ADI-47255,4,51,0.8963207407772251,0,0,4
ADI-47256,4,57,0.8754088897440833,0,0,4
ADI-47257,4,46,0.9096271118664402,0,0,4
ADI-47258,4,59,0.8923212709620476,0,0,4
ADI-47259,4,54,0.8810030983733539,0,0,4
ADI-47260,4,65,0.8244461559371177,0,0,4
ADI-47261,4,55,0.8861295741728141,0,0,4
ADI-47262,6,51,0.9199272065514106,2,0,4
ADI-47263,4,55,0.8742943621033415,0,0,4
ADI-47264,4,67,0.8160538116591928,0,0,4
ADI-47265,4,55,0.8627506755795763,0,0,4
ADI-47267,4,48,0.9054857569349423,0,0,4
ADI-47278,4,56,0.8869069376416404,0,0,4
ADI-47279,4,53,0.8933506786774995,0,0,4
ADI-47280,4,51,0.8974479102453458,0,0,4
ADI-47281,4,56,0.8817074057026576,0,0,4
ADI-47282,4,60,0.8762519260400616,0,0,4
ADI-47283,6,56,0.9291330542224038,2,0,6
ADI-47284,4,49,0.9098317626178036,0,0,4
ADI-47285,6,53,0.9287063026282214,2,0,4
ADI-47286,2,56,0.7966903073286051,0,0,2
ADI-47287,6,58,0.9123176417506391,2,0,5
ADI-47288,4,59,0.8887261006519669,0,0,4
ADI-47289,4,55,0.8787059391598262,0,0,4
ADI-47290,4,50,0.8969171246211094,0,0,4
ADI-47291,4,57,0.8723455251426107,0,0,4
ADI-47292,4,54,0.8964752826424296,0,0,4
ADI-47293,4,54,0.9039564861038671,0,0,4
ADI-47294,4,56,0.8906835034138463,0,0,4
ADI-47295,6,49,0.9397042876568497,2,0,5
ADI-47296,4,51,0.9138294667068395,0,0,4
ADI-47297,4,53,0.889290688298678,0,0,4
ADI-47298,4,47,0.9220713417105797,0,0,4
ADI-47299,4,60,0.9002671415850401,0,0,4
ADI-47300,4,51,0.8967403355754305,0,0,4
ADI-47301,4,52,0.8742733605572902,0,0,4
ADI-47302,4,54,0.8921025540467667,0,0,4
ADI-47303,4,61,0.8752404771065794,0,0,4
ADI-47304,4,55,0.9150931536469464,0,0,4
ADI-47305,4,60,0.8769697845886948,0,0,4
ADI-47306,4,53,0.8803425005442276,0,0,4
ADI-47307,4,58,0.8901824585432666,0,0,4
ADI-47308,4,48,0.9166834575861375,0,0,4
ADI-47309,4,48,0.904068756520443,0,0,4
ADI-47310,4,50,0.9064328941797625,0,0,4
ADI-47311,4,49,0.9033507073715561,0,0,4
ADI-47312,4,47,0.9158760914970179,0,0,4
ADI-47313,4,45,0.9075856565757319,0,0,4
ADI-47316,4,52,0.8967403355754305,0,0,4
ADI-47317,4,62,0.8602425015954053,0,0,4
